rank,date,region,trend,streams,track_id
1,2018-11-01,Mexico,SAME_POSITION,703533.0,4w8niZpiMy6qz1mntFA5uM
2,2018-11-01,Mexico,SAME_POSITION,556477.0,116H0KvKr2Zl4RPuVBruDO
3,2018-11-01,Mexico,SAME_POSITION,358492.0,2zDj4WjbNDmrRL6Z4YjjCA
4,2018-11-01,Mexico,SAME_POSITION,315257.0,5qFeMRz4TvetPmzjre9Dq7
5,2018-11-01,Mexico,SAME_POSITION,305867.0,48zFZh27QU5qsrBjn4C2FA
6,2018-11-01,Mexico,SAME_POSITION,300306.0,7ATATJztoWLcqDAcVVof0C
7,2018-11-01,Mexico,SAME_POSITION,253141.0,2XXMDz7SPZ4mSFN1PXfHUy
8,2018-11-01,Mexico,SAME_POSITION,251516.0,7uQmJ1jgNzBpATSoWKSPFu
9,2018-11-01,Mexico,SAME_POSITION,242973.0,62o8KoI44JfN7aYxgTnPvh
10,2018-11-01,Mexico,MOVE_UP,237914.0,3rPAD722s5FFNnwjC91t7Z
11,2018-11-01,Mexico,MOVE_DOWN,236386.0,3V8UKqhEK5zBkBb6d6ub8i
12,2018-11-01,Mexico,MOVE_UP,230488.0,6oGQpaoaJd2tnVob3zi8S4
13,2018-11-01,Mexico,MOVE_DOWN,226849.0,0E9ZjEAyAwOXZ7wJC0PD33
14,2018-11-01,Mexico,MOVE_UP,211722.0,2dpaYNEQHiRxtZbfNsse99
15,2018-11-01,Mexico,MOVE_DOWN,208426.0,5N5k9nd479b1xpDZ4usjrg
16,2018-11-01,Mexico,MOVE_UP,203752.0,6o8ogTrSX8H0F66Pdz3Tsc
17,2018-11-01,Mexico,MOVE_DOWN,202021.0,71iAechwVKGu26pahzFL0k
18,2018-11-01,Mexico,SAME_POSITION,188948.0,1LO951RWD10l9Vys0NrFty
19,2018-11-01,Mexico,SAME_POSITION,183053.0,2ijef6ni2amuunRoKTlgww
20,2018-11-01,Mexico,SAME_POSITION,182141.0,3RD0PGolM0mETGHaprwgMn
21,2018-11-01,Mexico,MOVE_UP,181918.0,63USmok1OioBzKuWGW9wAg
22,2018-11-01,Mexico,MOVE_UP,172909.0,00EPIEnX1JFjff8sC6bccd
23,2018-11-01,Mexico,SAME_POSITION,170243.0,1DcxnVNFAyVl2sDQ646pXS
24,2018-11-01,Mexico,MOVE_UP,170224.0,2QmsKag0YaqhAbpR9Nwmpn
25,2018-11-01,Mexico,MOVE_UP,165650.0,3ao3OVxHlb3C08vAaApUlm
26,2018-11-01,Mexico,MOVE_DOWN,164381.0,2VxeLyX666F8uXCJ0dZF8B
27,2018-11-01,Mexico,MOVE_UP,161062.0,7DrluKkTviBwCc8AV3VGmf
28,2018-11-01,Mexico,MOVE_DOWN,160305.0,2LskIZrCeLxRvCiGP8gxlh
29,2018-11-01,Mexico,SAME_POSITION,152557.0,2G7V7zsVDxg1yRsu7Ew9RJ
30,2018-11-01,Mexico,SAME_POSITION,149103.0,45sVRPegWSGpIcsrDoaaCY
31,2018-11-01,Mexico,MOVE_UP,148213.0,0oCSitNlzsQfuIapF9tXRQ
32,2018-11-01,Mexico,MOVE_UP,148079.0,5iwz1NiezX7WWjnCgY5TH4
33,2018-11-01,Mexico,SAME_POSITION,146641.0,56CvVCJYRQNWwM4vF4neCD
34,2018-11-01,Mexico,SAME_POSITION,146091.0,1h9P5WJwyvK8OB7O2YiXgp
35,2018-11-01,Mexico,MOVE_DOWN,140681.0,4zIO3ilp5HvTeK3HJHxhMP
36,2018-11-01,Mexico,MOVE_DOWN,139430.0,6q8Lb50EtqNeeJXXe8mMAH
37,2018-11-01,Mexico,MOVE_UP,139325.0,1A6OTy97kk0mMdm78rHsm8
38,2018-11-01,Mexico,MOVE_DOWN,138139.0,58q2HKrzhC3ozto2nDdN4z
39,2018-11-01,Mexico,MOVE_UP,134185.0,0s5DNDV6LAKn2u2Ufa3VjQ
40,2018-11-01,Mexico,MOVE_UP,133908.0,5OUGSwa2eadrcAsMdUItmO
41,2018-11-01,Mexico,MOVE_DOWN,133138.0,7fa9MBXhVfQ8P8Df9OEbD8
42,2018-11-01,Mexico,SAME_POSITION,132703.0,0mAGeks6ns4FZWBPkjD9HR
43,2018-11-01,Mexico,MOVE_DOWN,131229.0,5N4erncE7kuUccm7zEmwzk
44,2018-11-01,Mexico,MOVE_UP,129917.0,1uKjQoh8JZj9ryuYRhpd7E
45,2018-11-01,Mexico,MOVE_UP,128861.0,1j6xOGusnyXq3l6IryKF3G
46,2018-11-01,Mexico,MOVE_DOWN,127968.0,7nD2JPaxIKUdxd2UWgnaGL
47,2018-11-01,Mexico,MOVE_DOWN,127507.0,7ef4DlsgrMEH11cDZd32M6
48,2018-11-01,Mexico,SAME_POSITION,127490.0,0VKkyBKCXyR99navhVRqcP
49,2018-11-01,Mexico,MOVE_UP,124545.0,6De0lHrwBfPfrhorm9q1Xl
50,2018-11-01,Mexico,MOVE_DOWN,122294.0,0pqnGHJpmpxLKifKRmU6WP
51,2018-11-01,Mexico,MOVE_UP,116845.0,6jA8JUuPCGYjFcgw0AoM5T
52,2018-11-01,Mexico,MOVE_UP,114843.0,2alIsNw1mqEShbWyO1HXZZ
53,2018-11-01,Mexico,MOVE_UP,114838.0,7tFiyTwD0nx5a1eklYtX2J
54,2018-11-01,Mexico,SAME_POSITION,113313.0,3TnhQSRwT3AVMdXw5JPq0x
55,2018-11-01,Mexico,MOVE_DOWN,112512.0,3IPJg1sdqLj12kFIndaonN
56,2018-11-01,Mexico,MOVE_UP,111077.0,04cd1MHVq1D8v1nuTZoCdv
57,2018-11-01,Mexico,MOVE_UP,108719.0,3aUTkuo4ObA6QPtZSu5NBq
58,2018-11-01,Mexico,MOVE_DOWN,107352.0,1mlGScrDQqHqmhdIqE8MmA
