rank,date,region,trend,streams,track_id
1,2019-12-01,Morocco,SAME_POSITION,4292.0,1rgnBhdG2JDFTbYkYRZAku
2,2019-12-01,Morocco,MOVE_UP,2541.0,57vxBYXtHMk6H1aD29V7PU
3,2019-12-01,Morocco,MOVE_DOWN,2433.0,3eekarcy7kvN4yt5ZFzltW
4,2019-12-01,Morocco,MOVE_UP,2327.0,67BBC30YX6nwugVuUOWEHH
5,2019-12-01,Morocco,MOVE_DOWN,2317.0,1Asv77Jhpw1FA6YjA5wwuV
6,2019-12-01,Morocco,MOVE_UP,2177.0,3ZCTVFBt2Brf31RLEnCkWJ
7,2019-12-01,Morocco,MOVE_DOWN,2123.0,0sf12qNH5qcw8qpgymFOqD
8,2019-12-01,Morocco,MOVE_DOWN,2062.0,696DnlkuDOXcMAnKlTgXXK
9,2019-12-01,Morocco,MOVE_DOWN,2053.0,1Nyh4t2z67Lp7kiTDccWtu
10,2019-12-01,Morocco,MOVE_DOWN,2024.0,0FOXfIud0Tngb9FKcY3GmC
11,2019-12-01,Morocco,MOVE_UP,1983.0,2b8fOow8UzyDFAE27YhOZM
12,2019-12-01,Morocco,MOVE_UP,1874.0,3JS2xB6j5bvtlTQ4XT8wP9
13,2019-12-01,Morocco,MOVE_UP,1819.0,21jGcNKet2qwijlDFuPiPb
14,2019-12-01,Morocco,MOVE_DOWN,1792.0,2O866dotlltmzcngBvEa31
15,2019-12-01,Morocco,MOVE_UP,1768.0,2Fxmhks0bxGSBdJ92vM42m
16,2019-12-01,Morocco,SAME_POSITION,1698.0,4eJE5ZNP3lYj4ZLv7oRblQ
17,2019-12-01,Morocco,MOVE_DOWN,1694.0,1SVuEeerYIwjCRsF5MGzX3
18,2019-12-01,Morocco,MOVE_UP,1690.0,3HJdVPapi1uQJsbdzz4akB
19,2019-12-01,Morocco,MOVE_DOWN,1665.0,7qo7FsdN1VsOmTtz9hEfP7
20,2019-12-01,Morocco,MOVE_UP,1610.0,02i751eiU2c0lKnvBTWuD8
21,2019-12-01,Morocco,MOVE_UP,1588.0,6WrI0LAC5M1Rw2MnX2ZvEg
22,2019-12-01,Morocco,MOVE_DOWN,1588.0,6v3KW9xbzN5yKLt9YKDYA2
23,2019-12-01,Morocco,MOVE_UP,1563.0,20SY4SHwiKL7j4lZTKkQyU
24,2019-12-01,Morocco,MOVE_UP,1559.0,5kXsXhXlm01XGdHgSkSo8y
25,2019-12-01,Morocco,MOVE_DOWN,1488.0,51Fjme0JiitpyXKuyQiCDo
26,2019-12-01,Morocco,MOVE_UP,1451.0,20GGj4yDFkeinW0YolAdmy
27,2019-12-01,Morocco,MOVE_DOWN,1446.0,5jkT15oLKovAivf5abLr4q
28,2019-12-01,Morocco,MOVE_DOWN,1444.0,68av1mZz0VsIYXJWATZWUW
29,2019-12-01,Morocco,MOVE_UP,1435.0,7gNlaZaMIjRUfnAYd9Dvmt
30,2019-12-01,Morocco,SAME_POSITION,1426.0,4TnFANpjVwVKWzkxNzIyFH
31,2019-12-01,Morocco,MOVE_DOWN,1420.0,4TnjEaWOeW0eKTKIEvJyCa
32,2019-12-01,Morocco,MOVE_UP,1396.0,1HfMVBKM75vxSfsQ5VefZ5
33,2019-12-01,Morocco,MOVE_UP,1287.0,2JixJsGhTrxfI43ovxYNpE
34,2019-12-01,Morocco,MOVE_UP,1282.0,7qEHsqek33rTcFNT9PFqLf
35,2019-12-01,Morocco,MOVE_UP,1267.0,1KCBKqqyBIEa2btXmfuPyk
36,2019-12-01,Morocco,MOVE_UP,1261.0,5lCxlSBFyP5g4EhVypAoOu
37,2019-12-01,Morocco,MOVE_DOWN,1257.0,47yhjEwyOgNPPLHLL8OGLV
38,2019-12-01,Morocco,MOVE_DOWN,1235.0,4U5h7GaXXXNOLpuo5vr3dU
39,2019-12-01,Morocco,MOVE_UP,1219.0,3pkwwEMeus1d9l6b6GDnnI
40,2019-12-01,Morocco,MOVE_UP,1207.0,3LM6LWSAHNfcYrOdoUdNlg
