rank,trend,streams,track_id
1,SAME_POSITION,16701.0,1EYeZGTMCjV7uVey5fNWXM
2,SAME_POSITION,14018.0,2OZVq7Q1zcI1RDhy5ORf4m
3,SAME_POSITION,10853.0,6er3lHDqA1L9IXtf8Nej9g
4,SAME_POSITION,8703.0,0HhJkBC9NC5rYwWsxCB16d
5,SAME_POSITION,8383.0,1diDQ6oxUeaMWzGxeITGmF
6,SAME_POSITION,8102.0,2YTco398182eSCcjCsq6JR
7,SAME_POSITION,7667.0,2SUjVxW58Oof4jbBt8oe5c
8,SAME_POSITION,6924.0,1qyW1JwKt2ZIJwGpwWAxo7
9,MOVE_UP,6466.0,3uwmEuilZP6sA0TLLNxd9x
10,MOVE_DOWN,6363.0,6aNxF6lbcwr8iA8EHOW3Xr
11,MOVE_DOWN,5822.0,205HNJ73cgpC0LAOnuQiWT
12,SAME_POSITION,5662.0,73jpPysVoCCErgJk4g91R4
13,MOVE_UP,5609.0,4OxGLH7f7DZzkUGXFSMd8y
14,MOVE_DOWN,5403.0,5YdiwpVgKP1J6m2ESKvwSa
15,SAME_POSITION,4996.0,5jZFFTqz6ALemEVcdlcVbZ
16,MOVE_UP,4633.0,7hxHWCCAIIxFLCzvDgnQHX
17,MOVE_UP,4575.0,4IMYgmXkjzzOmbDNbQZnVe
18,MOVE_DOWN,4489.0,3tjFYV6RSFtuktYl3ZtYcq
19,MOVE_DOWN,4295.0,0t1kP63rueHleOhQkYSXFY
20,SAME_POSITION,3953.0,6tiswA827O0KYqigq6V8SV
21,SAME_POSITION,3799.0,2ET8K5jJLaCCRn7M6u2ExO
22,SAME_POSITION,3569.0,4Oun2ylbjFKMPTiaSbbCih
23,MOVE_UP,3543.0,4qnmWklH3MwTy41kDCbex9
24,MOVE_DOWN,3517.0,0PvFJmanyNQMseIFrU708S
25,MOVE_UP,3432.0,0QPlafvsnmTJBvGNek2cI8
26,MOVE_DOWN,3423.0,2XoeD3lix5eVNEa40ZFtHW
27,MOVE_DOWN,3420.0,2nf1owFJaeOw5YubEW52ga
28,MOVE_DOWN,3305.0,7ytR5pFWmSjzHJIeQkgog4
29,SAME_POSITION,3196.0,4FurrzPajAoNGcY4P3pu2W
30,MOVE_UP,3150.0,64HC3afpYKfxi58vHDbBTQ
31,MOVE_DOWN,3128.0,52X7AoBCW2cOweH2wDF2V7
32,MOVE_DOWN,2968.0,6EDO9iiTtwNv6waLwa1UUq
33,MOVE_UP,2893.0,4jVBIpuOiMj1crqd8LoCrJ
34,MOVE_DOWN,2888.0,4ZU4yHDLZcMcy8BF6Y89fu
35,MOVE_UP,2827.0,6vKyfHzDJLmOe1iC1IKPml
36,MOVE_UP,2757.0,2A17I9810aeJa9BHIvHYxp
37,MOVE_DOWN,2693.0,4GT3AbzLso7sQ0J3H4qXlT
38,MOVE_DOWN,2680.0,0BD9boQC7jUTWkAoib4Z0d
