rank,date,region,trend,streams,track_id
1,2021-11-01,Netherlands,SAME_POSITION,296555.0,0gplL1WMoJ6iYaPgMCL0gX
2,2021-11-01,Netherlands,MOVE_UP,266586.0,5Epo9KIQxMprDVCaPzfnys
3,2021-11-01,Netherlands,MOVE_DOWN,246689.0,2B4GHvToeLTOBB4QLzW3Ni
4,2021-11-01,Netherlands,MOVE_UP,210571.0,1JIBI7cFTKZM0CcIVqA3Nl
5,2021-11-01,Netherlands,MOVE_DOWN,203977.0,50nfwKoDiSYg8zOCREWAm5
6,2021-11-01,Netherlands,SAME_POSITION,200984.0,02MWAaffLxlfxAUY7c5dvx
7,2021-11-01,Netherlands,MOVE_DOWN,182786.0,5fWyEc2ER2kselpeWQ6Yc7
8,2021-11-01,Netherlands,MOVE_UP,181925.0,0c96n8Km3Y2yudzZPAf16x
9,2021-11-01,Netherlands,MOVE_DOWN,174452.0,3rmo8F54jFF8OgYsqTxm5d
10,2021-11-01,Netherlands,MOVE_DOWN,173980.0,7rglLriMNBPAyuJOMGwi39
11,2021-11-01,Netherlands,MOVE_UP,172788.0,7lP1zUASWfS5TLBdQDj3DA
12,2021-11-01,Netherlands,MOVE_UP,171965.0,20on25jryn53hWghthWWW3
13,2021-11-01,Netherlands,MOVE_UP,170793.0,2wCZt5PKfSE81iXdRlRhaU
14,2021-11-01,Netherlands,MOVE_DOWN,165005.0,3uUuGVFu1V7jTQL60S1r8z
15,2021-11-01,Netherlands,MOVE_DOWN,164054.0,5PjdY0CKGZdEuoNab3yDmX
16,2021-11-01,Netherlands,MOVE_UP,135844.0,2USlegnFJLrVLpoVfPimKB
17,2021-11-01,Netherlands,MOVE_DOWN,133674.0,2Xr1dTzJee307rmrkt8c0g
18,2021-11-01,Netherlands,MOVE_UP,126524.0,2gpWyfu7eZ01zzncHpxOtA
19,2021-11-01,Netherlands,SAME_POSITION,126095.0,2KqRs4eFBBo4xkZWbZhGPc
20,2021-11-01,Netherlands,MOVE_DOWN,121289.0,5feza64dOl5JSSiuFsqrZq
21,2021-11-01,Netherlands,MOVE_UP,118063.0,3AT0yKs2cWdKII3JBxzmqv
22,2021-11-01,Netherlands,SAME_POSITION,116093.0,2z43Tcnc82QqrOCHv5GG9J
23,2021-11-01,Netherlands,MOVE_DOWN,114567.0,0e8nrvls4Qqv5Rfa2UhqmO
24,2021-11-01,Netherlands,MOVE_UP,109335.0,275765DrtmWP29V5kVzU9g
25,2021-11-01,Netherlands,MOVE_UP,108582.0,6feiJqgHqeSvkGUzf11AYs
26,2021-11-01,Netherlands,MOVE_DOWN,108193.0,46HNZY1i7O6jwTA7Slo2PI
27,2021-11-01,Netherlands,MOVE_DOWN,104377.0,6OufwUcCqo81guU2jAlDVP
28,2021-11-01,Netherlands,MOVE_DOWN,101718.0,4btFHqumCO31GksfuBLLv3
29,2021-11-01,Netherlands,MOVE_UP,97768.0,6Dy1jexKYriXAVG6evyUTJ
30,2021-11-01,Netherlands,MOVE_DOWN,97432.0,7LZQAYj5NmW7Db2y8k7dXm
31,2021-11-01,Netherlands,MOVE_UP,96457.0,6EqWfORn8udIwOBx6NSktf
32,2021-11-01,Netherlands,MOVE_UP,96226.0,5jHfomwwBzN6rD2ByERafC
