rank,date,region,trend,streams,track_id
1,2017-02-01,New Zealand,SAME_POSITION,65357.0,7qiZfU4dY1lWllzX7mPBI3
2,2017-02-01,New Zealand,SAME_POSITION,43934.0,6PCUP3dWmTjcTtXY02oFdT
3,2017-02-01,New Zealand,SAME_POSITION,36122.0,3NdDpSvN911VPGivFlV5d0
4,2017-02-01,New Zealand,MOVE_UP,34408.0,72jbDTw1piOOj770jWNeaG
5,2017-02-01,New Zealand,MOVE_DOWN,34397.0,5hYTyyh2odQKphUbMqc5gN
6,2017-02-01,New Zealand,SAME_POSITION,30446.0,5knuzwU65gJK7IF5yJsuaW
7,2017-02-01,New Zealand,SAME_POSITION,28783.0,78rIJddV4X0HkNAInEcYde
8,2017-02-01,New Zealand,SAME_POSITION,27975.0,5GXAXm5YOmYT0kL5jHvYBt
9,2017-02-01,New Zealand,SAME_POSITION,26241.0,5uCax9HTNlzGybIStD3vDh
10,2017-02-01,New Zealand,SAME_POSITION,25431.0,1PSBzsahR2AKwLJgx8ehBj
11,2017-02-01,New Zealand,SAME_POSITION,24933.0,1yNyoWWWikbLhwIGWjZuDW
12,2017-02-01,New Zealand,MOVE_UP,24236.0,3AsAuGTaDQzavZZThyYlop
13,2017-02-01,New Zealand,MOVE_DOWN,24133.0,7BKLCZ1jbUBVqRi2FVlTVw
14,2017-02-01,New Zealand,MOVE_UP,24062.0,4Km5HrUvYTaSUfiSGPJeQR
15,2017-02-01,New Zealand,MOVE_DOWN,23866.0,5v9N8Rx3QsFvr50cxyQcA3
16,2017-02-01,New Zealand,MOVE_UP,23573.0,0fg8CqpjdojMyXLNzM2PaJ
17,2017-02-01,New Zealand,MOVE_DOWN,23566.0,5aAx2yezTd8zXrkmtKl66Z
18,2017-02-01,New Zealand,SAME_POSITION,22759.0,4nMlau89VAjmV7agkl7OY3
19,2017-02-01,New Zealand,SAME_POSITION,22530.0,43jBqV3j3Xi1g6wO0bhIMd
20,2017-02-01,New Zealand,SAME_POSITION,20206.0,5MFzQMkrl1FOOng9tq6R9r
21,2017-02-01,New Zealand,MOVE_UP,19574.0,3ebXMykcMXOcLeJ9xZ17XH
22,2017-02-01,New Zealand,MOVE_UP,19251.0,1cG0umU5TKStygKsPFZ9pY
23,2017-02-01,New Zealand,MOVE_DOWN,19202.0,4Q4jmPHwu0wrJvqrld0FQ6
24,2017-02-01,New Zealand,MOVE_DOWN,19108.0,343YBumqHu19cGoGARUTsd
25,2017-02-01,New Zealand,MOVE_DOWN,18644.0,2XMTqoHHSH0lvuXrvIEdco
26,2017-02-01,New Zealand,SAME_POSITION,18557.0,0Zx8khUcEfCFK2AEoIhC92
27,2017-02-01,New Zealand,MOVE_DOWN,18408.0,6b8Be6ljOzmkOmFslEb23P
28,2017-02-01,New Zealand,MOVE_DOWN,17978.0,7aV2mflaASUmGhCErm7kBO
29,2017-02-01,New Zealand,MOVE_DOWN,17925.0,5Ua3GXyHwiSfpNTMjq6m2z
30,2017-02-01,New Zealand,MOVE_UP,17769.0,0jVPEBd4wyHupkTHwzQRyc
31,2017-02-01,New Zealand,MOVE_DOWN,17493.0,4vb4mFvYsr2h6enhjJsq9Y
32,2017-02-01,New Zealand,SAME_POSITION,17065.0,5GFDrUTLGJix84sNhjCG0g
33,2017-02-01,New Zealand,MOVE_UP,16487.0,3EmmCZoqpWOTY1g2GBwJoR
34,2017-02-01,New Zealand,MOVE_DOWN,16396.0,1sXUWdKx03aP9Gmzft58rt
35,2017-02-01,New Zealand,MOVE_UP,15716.0,6DNtNfH8hXkqOX1sjqmI7p
36,2017-02-01,New Zealand,MOVE_DOWN,15370.0,1qOLh0tI7trd1zdDKxYZTe
37,2017-02-01,New Zealand,MOVE_DOWN,15127.0,1vvNmPOiUuyCbgWmtc6yfm
38,2017-02-01,New Zealand,SAME_POSITION,15045.0,4pdPtRcBmOSQDlJ3Fk945m
39,2017-02-01,New Zealand,SAME_POSITION,14308.0,58zsLZPvfflaiIbNWoA22O
40,2017-02-01,New Zealand,SAME_POSITION,13892.0,6fujklziTHa8uoM5OQSfIo
41,2017-02-01,New Zealand,SAME_POSITION,13854.0,0prNGof3XqfTvNDxHonvdK
42,2017-02-01,New Zealand,MOVE_UP,13811.0,0SGkqnVQo9KPytSri1H6cF
43,2017-02-01,New Zealand,MOVE_UP,13690.0,1xznGGDReH1oQq0xzbwXa3
44,2017-02-01,New Zealand,MOVE_DOWN,13475.0,6nxQdXa1uAL0rY72wPZu89
45,2017-02-01,New Zealand,MOVE_UP,13260.0,4pLwZjInHj3SimIyN9SnOz
46,2017-02-01,New Zealand,MOVE_UP,13197.0,04DwTuZ2VBdJCCC5TROn7L
47,2017-02-01,New Zealand,MOVE_DOWN,13162.0,0kN8xEmgMW9mh7UmDYHlJP
