rank,trend,streams,track_id
1,SAME_POSITION,64250.0,2rPE9A1vEgShuZxxzR2tZH
2,MOVE_UP,37866.0,4ofwffwvvnbSkrMSCKQDaC
3,MOVE_DOWN,37384.0,2VxeLyX666F8uXCJ0dZF8B
4,MOVE_UP,33348.0,0bYg9bo50gSsH3LtXe2SQn
5,MOVE_DOWN,32131.0,1A6OTy97kk0mMdm78rHsm8
6,MOVE_DOWN,30523.0,5p7ujcrUXASCNwRaWNHR1C
7,MOVE_DOWN,29355.0,6zeeWid2sgw4lap2jV61PZ
8,MOVE_DOWN,29349.0,2dpaYNEQHiRxtZbfNsse99
9,MOVE_UP,28006.0,0d2iYfpKoM0QCKvcLCkBao
10,MOVE_UP,27849.0,25sgk305KZfyuqVBQIahim
11,MOVE_DOWN,27578.0,14JzyD6FlBD5z0wV5P07YI
12,SAME_POSITION,27506.0,7l3E7lcozEodtVsSTCkcaA
13,MOVE_DOWN,27358.0,2xLMifQCjDGFmkHkpNLD9h
14,MOVE_DOWN,22808.0,1xzBco0xcoJEDXktl7Jxrr
15,MOVE_UP,21957.0,5EKITWJXROxWdc0bcRrMLy
16,MOVE_DOWN,21589.0,7K7MUBCnzgBAvMVW2RTWNs
17,SAME_POSITION,20928.0,3EPXxR3ImUwfayaurPi3cm
18,MOVE_DOWN,20884.0,2LskIZrCeLxRvCiGP8gxlh
19,MOVE_UP,20747.0,7tFiyTwD0nx5a1eklYtX2J
20,MOVE_UP,20631.0,2FRnf9qhLbvw8fu4IBXx78
21,MOVE_DOWN,20597.0,4w8niZpiMy6qz1mntFA5uM
22,MOVE_UP,20574.0,0lLdorYw7lVrJydTINhWdI
23,MOVE_UP,18738.0,0lizgQ7Qw35od7CYaoMBZb
24,MOVE_UP,18523.0,2iUXsYOEPhVqEBwsqP70rE
25,MOVE_DOWN,18193.0,2rbDhOo9Fh61Bbu23T2qCk
26,MOVE_DOWN,18182.0,7wC5eZcFS1Q1BsQ35DU6H4
27,MOVE_DOWN,17981.0,5N5k9nd479b1xpDZ4usjrg
28,SAME_POSITION,17517.0,0E9ZjEAyAwOXZ7wJC0PD33
29,MOVE_DOWN,17486.0,1Q8OgsmxcnoGev6T7KUenD
30,SAME_POSITION,17453.0,5JEx7HbmvHQQswJCsoo9rA
31,MOVE_UP,17232.0,5IaHrVsrferBYDm0bDyABy
32,MOVE_DOWN,17091.0,7dt6x5M1jzdTEt8oCbisTK
33,SAME_POSITION,17083.0,7fa9MBXhVfQ8P8Df9OEbD8
34,MOVE_UP,17034.0,0247StOpd3AkeBQzANX4Zf
35,MOVE_DOWN,16889.0,5Fla3zyOCcIRqrDoKLU0DP
36,SAME_POSITION,16516.0,2RSHsoi04658QL5xgQVov3
37,MOVE_DOWN,16465.0,0u2P5u6lvoDfwTYjAADbn4
38,MOVE_UP,16258.0,4S8d14HvHb70ImctNgVzQQ
39,MOVE_DOWN,15954.0,5tAa8Uaqr4VvA3693mbIhU
40,MOVE_DOWN,15907.0,6Gy7rXB6Ku5vIWC7WGWsl3
41,MOVE_DOWN,15836.0,1oJ8EDr2pv94IvSd6ZmDgo
42,SAME_POSITION,15538.0,3KLygy1YWhmrQx0GRs7IOx
43,MOVE_DOWN,15431.0,1rqqCSm0Qe4I9rUvWncaom
44,MOVE_DOWN,15295.0,4jvjzW7Hm0yK4LvvE0Paz9
45,MOVE_DOWN,14833.0,4CH66Rxcjcj3VBHwmIBj4T
46,MOVE_DOWN,14626.0,0s3nnoMeVWz3989MkNQiRf
47,MOVE_UP,14478.0,27rdGxbavYJeBphck5MZAF
48,MOVE_DOWN,14407.0,222B3aljXx6fFwKmFjuBED
49,MOVE_UP,14376.0,5hslUAKq9I9CG2bAulFkHN
50,MOVE_DOWN,14363.0,3ee8Jmje8o58CHK66QrVC2
51,MOVE_DOWN,13719.0,4m5Cd9kAbIxg6t9sMrQWtk
52,MOVE_DOWN,13672.0,0JP9xo3adEtGSdUEISiszL
53,MOVE_DOWN,13573.0,0QIjsbm2fh1cJ45XO9eGqq
54,MOVE_DOWN,13528.0,3id2EVGKc3eFAMn9nFnB0r
55,MOVE_UP,13367.0,7inXu0Eaeg02VsM8kHNvzM
56,MOVE_DOWN,12606.0,78QR3Wp35dqAhFEc2qAGjE
57,MOVE_UP,12291.0,3zJw3rugfpVrmBeDDnUYzy
58,MOVE_DOWN,12127.0,6LKYeyLt4G4SlZ6OJwFhVS
59,MOVE_UP,12099.0,7xapw9Oy21WpfEcib2ErSA
60,MOVE_DOWN,11861.0,2BgEsaKNfHUdlh97KmvFyo
61,MOVE_DOWN,11689.0,0e7ipj03S05BNilyu5bRzt
62,MOVE_DOWN,11517.0,2G7V7zsVDxg1yRsu7Ew9RJ
63,MOVE_DOWN,11302.0,7ycWLEP1GsNjVvcjawXz3z
64,MOVE_DOWN,11285.0,75ZvA4QfFiZvzhj2xkaWAh
65,MOVE_DOWN,11185.0,2E124GmJRnBJuXbTb4cPUB
66,MOVE_UP,11102.0,4rERoP56GEEjKmshbphPBK
67,MOVE_DOWN,11046.0,5vdp5UmvTsnMEMESIF2Ym7
68,MOVE_UP,10977.0,4qBejt9FeqLI9blHI1Nq1x
69,MOVE_UP,10970.0,2EjXfH91m7f8HiJN1yQg97
70,MOVE_UP,10952.0,6pVW5LRWgeLaHudxauOTJU
71,MOVE_UP,10946.0,7vQbuQcyTflfCIOu3Uzzya
