rank,date,region,trend,streams,track_id
1,2019-07-04,Nicaragua,SAME_POSITION,6440.0,0fea68AdmYNygeTGI4RC18
2,2019-07-04,Nicaragua,SAME_POSITION,6407.0,2TH65lNHgvLxCKXM3apjxI
3,2019-07-04,Nicaragua,SAME_POSITION,5158.0,1Ej96GIBCTvgH7tNX1r3qr
4,2019-07-04,Nicaragua,SAME_POSITION,4107.0,1c0hsvHLELX6y8qymnpLKL
5,2019-07-04,Nicaragua,MOVE_UP,3002.0,4lzxJ4jCuFDXXGkE1LmpKR
6,2019-07-04,Nicaragua,MOVE_DOWN,2888.0,25ZAibhr3bdlMCLmubZDVt
7,2019-07-04,Nicaragua,SAME_POSITION,2860.0,7g8YaUQABMal0zWe7a2ijz
8,2019-07-04,Nicaragua,MOVE_UP,2471.0,7anSoGdgtmJTAPZBzcPhO6
9,2019-07-04,Nicaragua,SAME_POSITION,2446.0,0TK2YIli7K1leLovkQiNik
10,2019-07-04,Nicaragua,MOVE_DOWN,2411.0,4R8BJggjosTswLxtkw8V7P
11,2019-07-04,Nicaragua,MOVE_UP,2231.0,5w9c2J52mkdntKOmRLeM2m
12,2019-07-04,Nicaragua,MOVE_UP,2220.0,2qG5sZ7Si6sdK74qLxedYM
13,2019-07-04,Nicaragua,MOVE_DOWN,1983.0,7hynhxDoDpgMIV12JuVtNa
14,2019-07-04,Nicaragua,SAME_POSITION,1918.0,059bcIhyc2SBwm6sw2AZzd
15,2019-07-04,Nicaragua,SAME_POSITION,1905.0,5KbBGUpIZd6gVFUU8tqYiQ
16,2019-07-04,Nicaragua,MOVE_UP,1817.0,6u7jPi22kF8CTQ3rb9DHE7
17,2019-07-04,Nicaragua,MOVE_UP,1753.0,7KbF6AdprOXEEHlsq11Z6d
18,2019-07-04,Nicaragua,MOVE_DOWN,1720.0,71pEiUWwfDFiRO6RmFpnBf
19,2019-07-04,Nicaragua,MOVE_UP,1687.0,7BuSE9uTIw931wtZYzvZcQ
20,2019-07-04,Nicaragua,MOVE_DOWN,1659.0,5jW3rF4URMdK7tO2xjS5EI
21,2019-07-04,Nicaragua,MOVE_UP,1634.0,56f5qnyAlZdlz8wrUDA50h
