rank,trend,streams,track_id
1,SAME_POSITION,8663.0,4MzXwWMhyBbmu6hOcLVD49
2,SAME_POSITION,7559.0,7Bk0uXKk1uPT0XuQbpFzvs
3,SAME_POSITION,6689.0,2XIc1pqjXV3Cr2BQUGNBck
4,SAME_POSITION,6683.0,1xK1Gg9SxG8fy2Ya373oqb
5,SAME_POSITION,5031.0,6tDDoYIxWvMLTdKpjFkc1B
6,MOVE_UP,4975.0,1WvrDdouh6C51In1SdATbq
7,MOVE_DOWN,4884.0,5YYW3yRktprLRr47WK219Y
8,SAME_POSITION,4697.0,3VvA1wSxukMLsvXoXtlwWx
9,MOVE_UP,4257.0,21N4Buj4xsyLb218lYle61
10,MOVE_UP,4195.0,1yoMvmasuxZfqHEipJhRbp
11,MOVE_DOWN,4093.0,5RubKOuDoPn5Kj5TLVxSxY
12,MOVE_UP,4037.0,15OjBeqNX3bShsGYQbteRv
13,MOVE_UP,4028.0,4loQgPwJHocL3dFwLfjb1J
14,MOVE_DOWN,3991.0,26w9NTiE9NGjW1ZvIOd1So
15,MOVE_DOWN,3950.0,2mM3gZ0BbPwPPMelbA8vgt
16,MOVE_UP,3619.0,478g4LSkyMB1PMkVOVmIaE
17,MOVE_DOWN,3594.0,4iJyoBOLtHqaGxP12qzhQI
18,SAME_POSITION,3530.0,4HYDUMY0xSpeBr0AMY9cUz
19,SAME_POSITION,3431.0,2bgcUk2A3jjKbCJ7KPquTi
20,SAME_POSITION,3342.0,0EhpEsp4L0oRGM0vmeaN5e
21,SAME_POSITION,3226.0,7ndTONDDRFGiPnnhOzOXxq
22,MOVE_UP,3068.0,16ONd70tvWAaLIc6hcLzaG
23,MOVE_DOWN,3010.0,2TksvaRivgAEj780DgRB73
24,SAME_POSITION,2996.0,2tFwfmceQa1Y6nRPhYbEtC
25,MOVE_DOWN,2933.0,35UUpTmrcFXNIVIN26ujXl
26,MOVE_UP,2884.0,0VjIjW4GlUZAMYd2vXMi3b
27,MOVE_DOWN,2794.0,079Ey5uxL04AKPQgVQwx5h
