rank,trend,streams,track_id
1,SAME_POSITION,140692.0,7wGoVu4Dady5GV0Sv4UIsx
2,SAME_POSITION,130810.0,6mrKP2jyIQmM0rw6fQryjr
3,SAME_POSITION,122312.0,5yFSF6qQA1rcLsQRnBsZgb
4,SAME_POSITION,113691.0,0Zbbxnx4SGGHoIow4PpISP
5,SAME_POSITION,109465.0,7EmGUiUaOSGDnUUQUDrOXC
6,SAME_POSITION,100999.0,1j4kHkkpqZRBwE0A4CN4Yv
7,SAME_POSITION,96338.0,7vGuf3Y35N4wmASOKLUVVU
8,SAME_POSITION,82153.0,2DGa7iaidT5s0qnINlwMjJ
9,SAME_POSITION,80609.0,4aSfgWmRa9KsISD4Jmx7QB
10,SAME_POSITION,77855.0,5SDCeGVT08a1RMXIBJF2O5
11,MOVE_UP,77826.0,6QgjcU0zLnzq5OrUoSZ3OK
12,MOVE_DOWN,74020.0,1EViub0jFugd66uE2pTeBj
13,SAME_POSITION,71914.0,0Clb9aiXWa0dvVff5aN4VN
14,MOVE_UP,69248.0,0tgVpDi06FyKpA1z0VMD4v
15,MOVE_DOWN,68943.0,5tz69p7tJuGPeMGwNTxYuV
16,SAME_POSITION,66886.0,2ekn2ttSfGqwhhate0LSR0
17,SAME_POSITION,64177.0,0ofbQMrRDsUaVKq2mGLEAb
18,MOVE_UP,61743.0,7FIcIjKaQJpy0vWWFZMZGH
19,MOVE_DOWN,59284.0,43ZyHQITOjhciSUUNPVRHc
20,MOVE_DOWN,56428.0,0mel2N9Ws9r4yLQn5QE21Y
21,SAME_POSITION,53666.0,2UxfcZJCphbEkfbZ6nLiDx
22,SAME_POSITION,53054.0,0CokSRCu5hZgPxcZBaEzVE
23,SAME_POSITION,51277.0,6WbADFqMvR8N5u0BvtsWQE
24,MOVE_UP,50791.0,4BM4ml3TgBFALLaCaJtVhi
25,SAME_POSITION,50145.0,066JQ4SAbj2CHQ1gKU6pJv
26,MOVE_DOWN,49737.0,0pxVWo0sFtffiizPFEQabe
27,SAME_POSITION,49173.0,7aF09WaavZAmAWuUeYxlYD
28,SAME_POSITION,47542.0,75ZvA4QfFiZvzhj2xkaWAh
29,SAME_POSITION,45420.0,2OALaHcDdKkjYEpAr0Qzab
30,MOVE_UP,43340.0,2xmrfQpmS2iJExTlklLoAL
31,MOVE_DOWN,43204.0,7jHzO2EPJzt1JgHQ80aRu0
32,MOVE_DOWN,41872.0,1wjzFQodRWrPcQ0AnYnvQ9
33,MOVE_DOWN,40020.0,7m9OqQk4RVRkw9JJdeAw96
34,SAME_POSITION,38695.0,5AEtlRudpgdT5FtNiuly6Y
35,SAME_POSITION,36227.0,3PEgB3fkiojxms35ntsTgs
36,SAME_POSITION,36053.0,5CtI0qwDJkDQGwXD1H1cLb
37,MOVE_UP,36017.0,4v094LQ9eF10k2O2Te2ngK
38,SAME_POSITION,35974.0,164C9bSF4ryqWXI4XgxTE0
39,MOVE_UP,34593.0,6iAvbGaAuLdperGD7VmLHt
40,MOVE_DOWN,33993.0,3hXGamYfZIrMsvMWLA0JXW
41,MOVE_DOWN,33849.0,7nZmah2llfvLDiUjm0kiyz
42,MOVE_UP,33364.0,0Qh38w01QRXK6KHIv0e3hb
43,MOVE_DOWN,33080.0,3B54sVLJ402zGa6Xm4YGNe
44,MOVE_UP,32925.0,0sspUhPJPkLZKwTz7fDSgm
45,MOVE_DOWN,32917.0,5Z3GHaZ6ec9bsiI5BenrbY
46,SAME_POSITION,32879.0,2kLf4myxQME1Nd0voeKZri
47,MOVE_UP,31052.0,7GX5flRQZVHRAGd6B4TmDO
48,MOVE_DOWN,30337.0,7qiZfU4dY1lWllzX7mPBI3
49,MOVE_UP,29989.0,2nUJvBO87SkxCViQsLc9Zr
50,MOVE_DOWN,28967.0,5bcTCxgc7xVfSaMV3RuVke
51,MOVE_DOWN,28678.0,0tKcYR2II1VCQWT79i5NrW
52,MOVE_UP,26587.0,5u6vkDnOyaf8LsteDAj2ub
53,SAME_POSITION,26347.0,32DGGj6KlNuBr6WaqRxpxi
54,SAME_POSITION,24791.0,5yuShbu70mtHXY0yLzCQLQ
55,MOVE_UP,23748.0,7iDa6hUg2VgEL1o1HjmfBn
56,MOVE_UP,23688.0,7EI6Iki24tBHAMxtb4xQN2
57,MOVE_DOWN,23463.0,3m660poUr1chesgkkjQM7P
58,MOVE_DOWN,23460.0,0V9cosR5jWa4fr2koARmhD
59,MOVE_DOWN,22723.0,2rb5MvYT7ZIxbKW5hfcHx8
60,MOVE_DOWN,22508.0,3a1lNhkSLSkpJE4MSHpDu9
61,MOVE_UP,22327.0,6Quljc8cZdeAmFQmpvfLJn
62,MOVE_DOWN,21882.0,2fQrGHiQOvpL9UgPvtYy6G
63,MOVE_UP,21328.0,3H6v3mwhvH92lRQfETaGTQ
64,MOVE_DOWN,21162.0,2bjUaPcNAcVekh2SJ3SIR8
65,MOVE_DOWN,20940.0,7F9vK8hNFMml4GtHsaXui6
66,MOVE_UP,20450.0,5QlzAsY94Z53wi2ygJfB1y
67,MOVE_DOWN,20387.0,0FiTRdHUovREFRGDNyAQ3q
68,MOVE_UP,20361.0,0oxC48oJtC8cd9VngkGwFF
69,MOVE_DOWN,20188.0,3eR23VReFzcdmS7TYCrhCe
70,MOVE_UP,19361.0,6EcTjceNc3WhEqrWzXIFwA
71,MOVE_UP,19333.0,4iLqG9SeJSnt0cSPICSjxv
