rank,date,region,trend,streams,track_id
1,2018-12-01,Norway,SAME_POSITION,209928.0,4hS14RwcNzMrO9QZ76mVII
2,2018-12-01,Norway,MOVE_UP,140554.0,0bYg9bo50gSsH3LtXe2SQn
3,2018-12-01,Norway,SAME_POSITION,134082.0,4XfNiOFDFFcDn9DTAPglQ3
4,2018-12-01,Norway,MOVE_UP,125225.0,2FRnf9qhLbvw8fu4IBXx78
5,2018-12-01,Norway,MOVE_DOWN,122205.0,25sgk305KZfyuqVBQIahim
6,2018-12-01,Norway,MOVE_UP,115731.0,3E0fq2gqsNbQo5paAuEcmc
7,2018-12-01,Norway,MOVE_UP,100868.0,0lLdorYw7lVrJydTINhWdI
8,2018-12-01,Norway,MOVE_DOWN,98034.0,3lMtC1Fze3KGUoecHz3RH3
9,2018-12-01,Norway,MOVE_UP,97565.0,7xapw9Oy21WpfEcib2ErSA
10,2018-12-01,Norway,MOVE_DOWN,92567.0,2rPE9A1vEgShuZxxzR2tZH
11,2018-12-01,Norway,MOVE_DOWN,92415.0,4J4zx8xGJpuGndrVc06KaT
12,2018-12-01,Norway,MOVE_UP,89050.0,0lizgQ7Qw35od7CYaoMBZb
13,2018-12-01,Norway,MOVE_UP,84729.0,3Z3QhZAZpqwZa1phsbQ3JZ
14,2018-12-01,Norway,MOVE_UP,83807.0,0WFyQgDzbQCfJuxcHW4Zrt
15,2018-12-01,Norway,MOVE_DOWN,82141.0,2VxeLyX666F8uXCJ0dZF8B
16,2018-12-01,Norway,MOVE_DOWN,70780.0,3EPXxR3ImUwfayaurPi3cm
17,2018-12-01,Norway,MOVE_DOWN,65771.0,09rj7jigutgAkveJGpSDBT
18,2018-12-01,Norway,MOVE_UP,64765.0,1Qi2wh8fFgDV7tl4Sj3f2K
19,2018-12-01,Norway,MOVE_UP,64433.0,0eekaX32hUmJgcinPCL1iZ
20,2018-12-01,Norway,MOVE_DOWN,62092.0,14JzyD6FlBD5z0wV5P07YI
21,2018-12-01,Norway,MOVE_DOWN,60887.0,14sOS5L36385FJ3OL8hew4
22,2018-12-01,Norway,MOVE_DOWN,59911.0,6Gy7rXB6Ku5vIWC7WGWsl3
23,2018-12-01,Norway,MOVE_DOWN,59682.0,6sWtJNUxC5SYEKQ0zFGeNT
24,2018-12-01,Norway,MOVE_UP,58288.0,3VTNVsTTu05dmTsVFrmGpK
25,2018-12-01,Norway,MOVE_UP,57928.0,3E6Ydoy1H8ePoigc10Mgsa
26,2018-12-01,Norway,MOVE_DOWN,57194.0,5p7ujcrUXASCNwRaWNHR1C
27,2018-12-01,Norway,MOVE_UP,56962.0,0FZHpDOVQ8N1HJLahZsTT1
28,2018-12-01,Norway,MOVE_UP,56444.0,4fzyvSu73BhGvi96p2zwjL
29,2018-12-01,Norway,MOVE_DOWN,53440.0,7cfivmjZltpH75EZseJhwx
30,2018-12-01,Norway,MOVE_DOWN,53151.0,2LskIZrCeLxRvCiGP8gxlh
31,2018-12-01,Norway,MOVE_UP,51887.0,74yQRKUunP1sRjnnMks4SG
32,2018-12-01,Norway,MOVE_UP,51317.0,7vQbuQcyTflfCIOu3Uzzya
33,2018-12-01,Norway,MOVE_UP,51161.0,3zJw3rugfpVrmBeDDnUYzy
34,2018-12-01,Norway,MOVE_DOWN,50627.0,7l3E7lcozEodtVsSTCkcaA
35,2018-12-01,Norway,MOVE_UP,49739.0,4m0iwkcDIoKeyCYwElaoYD
36,2018-12-01,Norway,MOVE_DOWN,48492.0,3id2EVGKc3eFAMn9nFnB0r
37,2018-12-01,Norway,MOVE_UP,47807.0,2EjXfH91m7f8HiJN1yQg97
38,2018-12-01,Norway,MOVE_DOWN,47266.0,4m5Cd9kAbIxg6t9sMrQWtk
39,2018-12-01,Norway,MOVE_DOWN,46811.0,2RSHsoi04658QL5xgQVov3
40,2018-12-01,Norway,MOVE_UP,45993.0,5hslUAKq9I9CG2bAulFkHN
41,2018-12-01,Norway,MOVE_DOWN,43999.0,1ynVxkQjPcDRlJwYkApoNy
42,2018-12-01,Norway,MOVE_DOWN,43642.0,0S0n02HdUboPxJSpDtOqS5
43,2018-12-01,Norway,MOVE_DOWN,42756.0,2b2Ji9u1hRwfvO5dk1ixYi
44,2018-12-01,Norway,MOVE_DOWN,42538.0,2qxmye6gAegTMjLKEBoR3d
45,2018-12-01,Norway,MOVE_DOWN,41650.0,2dpaYNEQHiRxtZbfNsse99
46,2018-12-01,Norway,MOVE_UP,41576.0,0zCU35nRISaqZqlUXNEL5Z
