rank,trend,streams,track_id
1,SAME_POSITION,11225.0,2rb5MvYT7ZIxbKW5hfcHx8
2,SAME_POSITION,7602.0,2cnKEkpVUSV4wnjQiTWfH6
3,SAME_POSITION,7509.0,6De0lHrwBfPfrhorm9q1Xl
4,SAME_POSITION,6905.0,22eADXu8DfOAUEDw4vU8qy
5,SAME_POSITION,6454.0,0qYTZCo5Bwh1nsUFGZP3zn
6,SAME_POSITION,6291.0,0Szp49tpFasIjX04Mcsydp
7,SAME_POSITION,6289.0,2LW4Zu7FcrwjWm3t5Rv3Oq
8,SAME_POSITION,6268.0,7MHN1aCFtLXjownGhvEQlF
9,SAME_POSITION,5630.0,7lRsNbdOGykkMAgsqs4R1C
10,MOVE_UP,4766.0,209gZgcfLq2aUuu51vOWBl
11,MOVE_UP,4761.0,6SIrNxmmdbv1KUbFBu1PaN
12,MOVE_UP,4735.0,5q2JbCNi4FcnglgPfxcV65
13,MOVE_DOWN,4725.0,7qiZfU4dY1lWllzX7mPBI3
14,MOVE_UP,4655.0,3B54sVLJ402zGa6Xm4YGNe
15,MOVE_DOWN,4626.0,693iqPOQvhI7PobtR8CC8v
16,MOVE_UP,4382.0,4z3GJkrtH97Bj6fRta983T
17,SAME_POSITION,4364.0,1OAh8uOEOvTDqkKFsKksCi
18,MOVE_DOWN,4250.0,6r46lnXFbE9fr2d3KNaGbe
19,SAME_POSITION,4213.0,3A7qX2QjDlPnazUsRk5y0M
20,SAME_POSITION,4212.0,4okba5wu9mMLXx79DXLKi3
21,SAME_POSITION,4126.0,6qDF4wWL49CAVbgT7yuHl8
22,MOVE_UP,3921.0,4yN6xPLopmTLvc27pO9LIE
23,MOVE_UP,3764.0,0ERbK7qVqveCaBWIiYCrl3
24,MOVE_UP,3712.0,3QwBODjSEzelZyVjxPOHdq
25,MOVE_DOWN,3705.0,6kex4EBAj0WHXDKZMEJaaF
26,MOVE_UP,3693.0,5bcTCxgc7xVfSaMV3RuVke
27,MOVE_UP,3526.0,13X0XdLMOdtbXVtAj2ox4h
28,MOVE_DOWN,3526.0,61HHDBLqF3AmSvLfHKNGd2
29,SAME_POSITION,3407.0,5P45f6HakSHDwdFj5dO5K5
30,MOVE_UP,3363.0,5CtI0qwDJkDQGwXD1H1cLb
31,MOVE_DOWN,3318.0,5i50gKdLAjjIr7UxRT5IVy
32,MOVE_DOWN,3316.0,4qknM1pQz53QOyfDVTjcM9
33,MOVE_UP,3310.0,7JNh1cfm0eXjqFVOzKLyau
34,MOVE_DOWN,3298.0,3DXncPQOG4VBw3QHh3S817
35,MOVE_UP,3284.0,0XLOf9LhyazPX9Ld8jPiUq
36,MOVE_DOWN,3229.0,3umS4y3uQDkqekNjVpiRUs
37,MOVE_UP,3228.0,4N1c5rmWOzRmB9SMacr5wB
38,MOVE_DOWN,3151.0,3BY2mafsbsoKGqS380Xnuz
39,MOVE_UP,3060.0,2FrnTVSHjgnEylKGdHRUK1
40,SAME_POSITION,3015.0,7nKBxz47S9SD79N086fuhn
41,MOVE_UP,3014.0,2Vdub5mY4lad7w64bFPUez
42,MOVE_DOWN,2972.0,20ZAJdsKB5IGbGj4ilRt2o
43,MOVE_UP,2970.0,4iLqG9SeJSnt0cSPICSjxv
44,SAME_POSITION,2874.0,5hEM0JchdVzQ5PwvSfITeX
45,MOVE_DOWN,2819.0,4aWmUDTfIPGksMNLV2rQP2
46,MOVE_UP,2773.0,10nQ3Pj0o1XotcikgJPVKD
47,MOVE_DOWN,2698.0,0RFFFGtPn6a58RHY3ccVYX
48,MOVE_UP,2670.0,4UG962ViiLqoUyx0RjCcwP
49,MOVE_UP,2656.0,6VHdcVbiKLYYOcMbIqBcuK
50,MOVE_DOWN,2635.0,3AEZUABDXNtecAOSC1qTfo
51,SAME_POSITION,2514.0,6m2LNopVJKsvBB9l7Z1rwn
52,MOVE_UP,2480.0,25C5CowdsfXld2jJanbiex
53,MOVE_DOWN,2347.0,2wgDAPgBhFA7pnIbm0YOhP
54,MOVE_DOWN,2339.0,6RUKPb4LETWmmr3iAEQktW
55,MOVE_DOWN,2321.0,5xMzazov0IHYllrc8U2K6F
56,MOVE_UP,2181.0,79cuOz3SPQTuFrp8WgftAu
57,MOVE_UP,2076.0,3dQDid3IUNhZy1OehIfYfE
58,SAME_POSITION,2041.0,05ZXXyeZFhZtA6DAP3Aw7x
59,MOVE_UP,2027.0,0NiXXAI876aGImAd6rTj8w
60,MOVE_UP,2027.0,2ekn2ttSfGqwhhate0LSR0
61,MOVE_DOWN,2018.0,1WbXIpiGBJkCiv3hn40iPB
62,MOVE_DOWN,1957.0,6urlj8N8TL3MK0ATNGIZYW
63,MOVE_UP,1930.0,5J1c3M4EldCfNxXwrwt8mT
64,MOVE_DOWN,1885.0,6jA8HL9i4QGzsj6fjoxp8Y
65,MOVE_UP,1884.0,6rQSrBHf7HlZjtcMZ4S4bO
66,MOVE_DOWN,1869.0,5MT96Zz0ymUJNm8obKZQr0
67,MOVE_DOWN,1847.0,5EnYT6F7wEcdege6mDHEfO
68,MOVE_UP,1830.0,3Ytr1SUCUi6J3L9dRFx5iH
69,MOVE_UP,1826.0,04f13iELcsYpY2yeLiAcfq
70,MOVE_DOWN,1810.0,0tKcYR2II1VCQWT79i5NrW
71,MOVE_DOWN,1804.0,5hKjEpYrJIJs6uPl7zw6Y6
72,MOVE_UP,1752.0,46HdsiK0uR26B2dY9QPzda
73,MOVE_DOWN,1715.0,5mey7CLLuFToM2P68Qu1gF
74,SAME_POSITION,1703.0,2OxUtaKYeahAGNaBiahXtR
75,MOVE_DOWN,1699.0,6mICuAdrwEjh6Y6lroV2Kg
76,MOVE_DOWN,1690.0,0KKkJNfGyhkQ5aFogxQAPU
77,SAME_POSITION,1689.0,0dA2Mk56wEzDgegdC6R17g
78,MOVE_UP,1684.0,2eMwDehkIC1j68U6FA3Eiq
79,SAME_POSITION,1622.0,3eR23VReFzcdmS7TYCrhCe
80,MOVE_UP,1616.0,6EpRaXYhGOB3fj4V2uDkMJ
81,MOVE_DOWN,1602.0,7F9vK8hNFMml4GtHsaXui6
82,MOVE_UP,1592.0,3PEgB3fkiojxms35ntsTgs
83,MOVE_UP,1591.0,0a9b4sUavOWgyc9jeScv7Y
84,MOVE_DOWN,1589.0,21lnmphofXWWeSSx0PEMjc
85,MOVE_UP,1578.0,1SJtlNRJDeYHioymcvsqev
86,MOVE_DOWN,1565.0,0CcQNd8CINkwQfe1RDtGV6
87,MOVE_DOWN,1548.0,7DM4BPaS7uofFul3ywMe46
88,MOVE_UP,1534.0,0PE1dlvMZeBqEbm4BtVVSZ
89,MOVE_UP,1493.0,0B6GRS3vGtzu6w5BQXqWMq
90,MOVE_DOWN,1490.0,4J1e3hbf0e5YUZjkxyJWD3
91,MOVE_UP,1483.0,5knuzwU65gJK7IF5yJsuaW
92,MOVE_DOWN,1466.0,626rYyBfeAeleh1F5t4B70
93,MOVE_DOWN,1459.0,1sCxVKWImDZSZKvG0U9B23
94,SAME_POSITION,1441.0,7tr2za8SQg2CI8EDgrdtNl
95,MOVE_UP,1431.0,6stYbAJgTszHAHZMPxWWCY
96,MOVE_UP,1411.0,5ZF3889W92eTBOROe0lPNN
97,MOVE_UP,1407.0,3H179O48ynsu9q8LOnFQZY
98,MOVE_DOWN,1385.0,1x5sYLZiu9r5E43kMlt9f8
99,MOVE_DOWN,1374.0,70lnL3QaSOIIyMa2X9aVRL
100,MOVE_UP,1374.0,5vZfgeDfNhlkKeJqjzSAmg
101,MOVE_UP,1366.0,2FIm6YsSGL5acOqSuJDh5s
102,MOVE_DOWN,1355.0,6041gM9Th1ViQcnzkIxnuv
103,MOVE_UP,1341.0,1louJpMmzEicAn7lzDalPW
104,MOVE_DOWN,1334.0,17nOaHsTn06jxuU9NpHuFU
105,MOVE_UP,1292.0,7jzpAD8q77nwEmSsqUeUjy
106,MOVE_DOWN,1284.0,4pdPtRcBmOSQDlJ3Fk945m
107,MOVE_UP,1272.0,7KXjTSCq5nL1LoYtL7XAwS
108,MOVE_UP,1269.0,2Gl0FzuLxflY6nPifJp5Dr
109,MOVE_DOWN,1255.0,6NSMQFKgjpQb0KkjMDYIK0
110,MOVE_UP,1222.0,1CKd1PnqfYx0H12V9MSaIY
111,MOVE_UP,1196.0,1lxswgIpzV6HhENRvkflES
112,SAME_POSITION,1195.0,3a1lNhkSLSkpJE4MSHpDu9
113,MOVE_UP,1191.0,7BKLCZ1jbUBVqRi2FVlTVw
114,MOVE_UP,1181.0,7gLApUvGknNvpqeRtgp7S9
115,MOVE_UP,1173.0,3Gqj86AgnD8EiIOFIGLubs
116,MOVE_UP,1171.0,5HABnFSYvl6mTmg8nSdzHa
117,MOVE_DOWN,1154.0,5GXAXm5YOmYT0kL5jHvYBt
118,MOVE_DOWN,1153.0,3ebXMykcMXOcLeJ9xZ17XH
119,MOVE_DOWN,1151.0,0sXvAOmXgjR2QUqLK1MltU
120,MOVE_UP,1130.0,68EMU2RD1ECNeOeJ5qAXCV
121,MOVE_DOWN,1118.0,1xznGGDReH1oQq0xzbwXa3
122,MOVE_DOWN,1117.0,6fxVffaTuwjgEk5h9QyRjy
123,MOVE_DOWN,1109.0,2uWg6P3lEsS1qQ2qg11TUx
124,NEW_ENTRY,1107.0,1wjzFQodRWrPcQ0AnYnvQ9
125,NEW_ENTRY,1105.0,4ocmZDCb43B5WRYMKZSxhM
126,MOVE_DOWN,1102.0,60a0Rd6pjrkxjPbaKzXjfq
127,NEW_ENTRY,1102.0,167NczpNbRF7oWakJaY3Hh
128,MOVE_DOWN,1102.0,2habSXqcJGExM6JJyskY7O
129,NEW_ENTRY,1096.0,3uPLiBTUgz7wrGJ2mw1rzM
130,SAME_POSITION,1095.0,6DUdDIRgLqCGq1DwkNWQTN
131,MOVE_UP,1091.0,498YWgZPJWIA4lphXtCNma
132,NEW_ENTRY,1079.0,0QetVR4wwvyiTezQeFNdeZ
133,MOVE_DOWN,1075.0,2sA4woGW5KgEgGXXxOKPAZ
134,MOVE_DOWN,1071.0,11zRKpjEZwmcBBBGzB4pMn
135,NEW_ENTRY,1066.0,3nUNwSYEUv9bmUc3de0Owv
136,MOVE_DOWN,1065.0,2twUPIYOTqVivev47pf7bU
137,NEW_ENTRY,1058.0,3NdDpSvN911VPGivFlV5d0
138,NEW_ENTRY,1054.0,3rOSwuTsUlJp0Pu0MkN8r8
139,MOVE_DOWN,1045.0,7hDc8b7IXETo14hHIHdnhd
140,NEW_ENTRY,1043.0,5Ohxk2dO5COHF1krpoPigN
141,NEW_ENTRY,1041.0,5eqK0tbzUPo2SoeZsov04s
142,NEW_ENTRY,1032.0,6BdAwMv1YorLfkBWlE493X
143,NEW_ENTRY,1026.0,2nLtzopw4rPReszdYBJU6h
144,NEW_ENTRY,1024.0,1Slwb6dOYkBlWal1PGtnNg
145,NEW_ENTRY,1018.0,0H7cz1bR7w9PulJL7Na774
146,MOVE_DOWN,1015.0,5NNlUMcOEOdoOIwwaWXv0k
1,SAME_POSITION,11648.0,2rb5MvYT7ZIxbKW5hfcHx8
2,SAME_POSITION,8036.0,2cnKEkpVUSV4wnjQiTWfH6
3,SAME_POSITION,7809.0,6De0lHrwBfPfrhorm9q1Xl
4,SAME_POSITION,7306.0,22eADXu8DfOAUEDw4vU8qy
5,SAME_POSITION,6723.0,0qYTZCo5Bwh1nsUFGZP3zn
6,SAME_POSITION,6594.0,0Szp49tpFasIjX04Mcsydp
7,MOVE_UP,6583.0,7MHN1aCFtLXjownGhvEQlF
8,MOVE_DOWN,6581.0,2LW4Zu7FcrwjWm3t5Rv3Oq
9,SAME_POSITION,5696.0,7lRsNbdOGykkMAgsqs4R1C
10,MOVE_UP,4981.0,4z3GJkrtH97Bj6fRta983T
11,MOVE_DOWN,4966.0,209gZgcfLq2aUuu51vOWBl
12,SAME_POSITION,4930.0,5q2JbCNi4FcnglgPfxcV65
13,MOVE_DOWN,4831.0,6SIrNxmmdbv1KUbFBu1PaN
14,MOVE_UP,4827.0,693iqPOQvhI7PobtR8CC8v
15,MOVE_DOWN,4713.0,3B54sVLJ402zGa6Xm4YGNe
16,MOVE_DOWN,4702.0,7qiZfU4dY1lWllzX7mPBI3
17,MOVE_UP,4531.0,4okba5wu9mMLXx79DXLKi3
18,MOVE_DOWN,4358.0,1OAh8uOEOvTDqkKFsKksCi
19,MOVE_DOWN,4270.0,6r46lnXFbE9fr2d3KNaGbe
20,MOVE_DOWN,4248.0,3A7qX2QjDlPnazUsRk5y0M
21,SAME_POSITION,4219.0,6qDF4wWL49CAVbgT7yuHl8
22,SAME_POSITION,3992.0,4yN6xPLopmTLvc27pO9LIE
23,MOVE_UP,3928.0,3QwBODjSEzelZyVjxPOHdq
24,MOVE_UP,3870.0,5bcTCxgc7xVfSaMV3RuVke
25,MOVE_DOWN,3859.0,0ERbK7qVqveCaBWIiYCrl3
26,MOVE_DOWN,3857.0,6kex4EBAj0WHXDKZMEJaaF
27,SAME_POSITION,3783.0,13X0XdLMOdtbXVtAj2ox4h
28,SAME_POSITION,3696.0,61HHDBLqF3AmSvLfHKNGd2
29,MOVE_UP,3647.0,5CtI0qwDJkDQGwXD1H1cLb
30,MOVE_UP,3569.0,4qknM1pQz53QOyfDVTjcM9
31,SAME_POSITION,3527.0,5i50gKdLAjjIr7UxRT5IVy
32,MOVE_DOWN,3491.0,5P45f6HakSHDwdFj5dO5K5
33,SAME_POSITION,3455.0,7JNh1cfm0eXjqFVOzKLyau
34,MOVE_UP,3445.0,4N1c5rmWOzRmB9SMacr5wB
35,MOVE_UP,3338.0,3umS4y3uQDkqekNjVpiRUs
36,MOVE_UP,3283.0,3BY2mafsbsoKGqS380Xnuz
37,MOVE_UP,3261.0,20ZAJdsKB5IGbGj4ilRt2o
38,MOVE_DOWN,3225.0,3DXncPQOG4VBw3QHh3S817
39,MOVE_DOWN,3222.0,0XLOf9LhyazPX9Ld8jPiUq
40,SAME_POSITION,3214.0,7nKBxz47S9SD79N086fuhn
41,SAME_POSITION,3192.0,2Vdub5mY4lad7w64bFPUez
42,MOVE_UP,3174.0,4iLqG9SeJSnt0cSPICSjxv
43,MOVE_UP,3127.0,5hEM0JchdVzQ5PwvSfITeX
44,MOVE_DOWN,3032.0,2FrnTVSHjgnEylKGdHRUK1
45,MOVE_UP,3008.0,6VHdcVbiKLYYOcMbIqBcuK
46,MOVE_UP,2955.0,6m2LNopVJKsvBB9l7Z1rwn
47,MOVE_DOWN,2913.0,10nQ3Pj0o1XotcikgJPVKD
48,MOVE_DOWN,2852.0,4aWmUDTfIPGksMNLV2rQP2
49,MOVE_DOWN,2842.0,0RFFFGtPn6a58RHY3ccVYX
50,SAME_POSITION,2819.0,3AEZUABDXNtecAOSC1qTfo
51,MOVE_DOWN,2713.0,4UG962ViiLqoUyx0RjCcwP
52,SAME_POSITION,2477.0,25C5CowdsfXld2jJanbiex
53,MOVE_UP,2416.0,5xMzazov0IHYllrc8U2K6F
54,MOVE_UP,2349.0,05ZXXyeZFhZtA6DAP3Aw7x
55,MOVE_DOWN,2299.0,6RUKPb4LETWmmr3iAEQktW
56,MOVE_DOWN,2259.0,2wgDAPgBhFA7pnIbm0YOhP
57,MOVE_DOWN,2230.0,79cuOz3SPQTuFrp8WgftAu
58,MOVE_DOWN,2130.0,3dQDid3IUNhZy1OehIfYfE
59,MOVE_UP,2119.0,2ekn2ttSfGqwhhate0LSR0
60,MOVE_UP,2117.0,5J1c3M4EldCfNxXwrwt8mT
61,MOVE_UP,2056.0,6rQSrBHf7HlZjtcMZ4S4bO
62,NEW_ENTRY,2042.0,3VClLWqNn80Llv0PJOsKgr
63,MOVE_UP,2003.0,0tKcYR2II1VCQWT79i5NrW
64,MOVE_DOWN,1960.0,1WbXIpiGBJkCiv3hn40iPB
65,MOVE_UP,1957.0,5MT96Zz0ymUJNm8obKZQr0
66,MOVE_DOWN,1926.0,0NiXXAI876aGImAd6rTj8w
67,SAME_POSITION,1904.0,5EnYT6F7wEcdege6mDHEfO
68,MOVE_DOWN,1899.0,6jA8HL9i4QGzsj6fjoxp8Y
69,MOVE_UP,1890.0,46HdsiK0uR26B2dY9QPzda
70,MOVE_UP,1840.0,6mICuAdrwEjh6Y6lroV2Kg
71,NEW_ENTRY,1840.0,6WMYFEd4MJDIjJARHnOxoN
72,MOVE_UP,1827.0,5mey7CLLuFToM2P68Qu1gF
73,MOVE_DOWN,1783.0,5hKjEpYrJIJs6uPl7zw6Y6
74,MOVE_UP,1756.0,7DM4BPaS7uofFul3ywMe46
