rank,date,region,trend,streams,track_id
1,2018-02-01,Panama,MOVE_UP,9667.0,2j2fIJGh4PMdXt9ULI5Tlc
2,2018-02-01,Panama,MOVE_DOWN,8900.0,33bnxcjePIkcmNjEFTJX0l
3,2018-02-01,Panama,SAME_POSITION,8415.0,5hcisvFMidkMJlElTO9Qmw
4,2018-02-01,Panama,MOVE_UP,7868.0,3qq4E32TowNeYPtUqQHKsu
5,2018-02-01,Panama,MOVE_DOWN,7767.0,1zsG4eaZmkA1dvjDDsAGLK
6,2018-02-01,Panama,MOVE_UP,7585.0,3Ga6eKrUFf12ouh9Yw3v2D
7,2018-02-01,Panama,MOVE_DOWN,7575.0,2m2ZGfJcs3lHWNPzhWH3XH
8,2018-02-01,Panama,SAME_POSITION,7392.0,6Za3190Sbw39BBC77WSS1C
9,2018-02-01,Panama,MOVE_UP,7313.0,0MIcPSq9n2z5H8TAfEstri
10,2018-02-01,Panama,MOVE_DOWN,7165.0,4lESS6vuruP6a79KWRaQou
11,2018-02-01,Panama,SAME_POSITION,7013.0,7rwX0O3RlxqqIjQM8evm5E
12,2018-02-01,Panama,MOVE_UP,6378.0,1nfyE13arjOuO54HH0zmqj
13,2018-02-01,Panama,SAME_POSITION,6202.0,1m69ELEgE6k5ZWsap40ozt
14,2018-02-01,Panama,MOVE_UP,6153.0,5Y9fnynLlIvqtM710MHzfz
15,2018-02-01,Panama,MOVE_DOWN,6126.0,2XW4DbS6NddZxRPm5rMCeY
16,2018-02-01,Panama,SAME_POSITION,5944.0,2vvdTrdryjsl8DmPIMDWZU
17,2018-02-01,Panama,SAME_POSITION,5379.0,5TysCiZtv1HnSWcTcUFusI
18,2018-02-01,Panama,SAME_POSITION,5341.0,7ofxPmTNMj2GP07g1VZa0O
19,2018-02-01,Panama,SAME_POSITION,4971.0,0JcNysfWVWaMS7R6vzGB2k
20,2018-02-01,Panama,SAME_POSITION,4944.0,7JEugWadlK7uQ5xuqgXQSE
21,2018-02-01,Panama,MOVE_UP,4936.0,6MNGxu8MprKGkchUchkJsy
22,2018-02-01,Panama,SAME_POSITION,4916.0,0lJCqIx5BhZtf6QtYI2fbv
23,2018-02-01,Panama,MOVE_UP,4836.0,1xndOD8CreR5ctkOv5G1LN
24,2018-02-01,Panama,MOVE_DOWN,4819.0,5TmZYdHW6HJ9gt7Aokuql5
25,2018-02-01,Panama,MOVE_DOWN,4817.0,7JNh1cfm0eXjqFVOzKLyau
26,2018-02-01,Panama,MOVE_DOWN,4746.0,3VClLWqNn80Llv0PJOsKgr
27,2018-02-01,Panama,MOVE_DOWN,4546.0,1rfofaqEpACxVEHIZBJe6W
28,2018-02-01,Panama,MOVE_UP,4435.0,6De0lHrwBfPfrhorm9q1Xl
29,2018-02-01,Panama,MOVE_UP,4344.0,2EzRdhuoPyNJDlep7lnNf2
30,2018-02-01,Panama,MOVE_DOWN,4332.0,6ElmxV9B2mSNscEjP27M7i
31,2018-02-01,Panama,MOVE_UP,4310.0,4ISve4LmIdHSZlSFCGX2aO
32,2018-02-01,Panama,MOVE_UP,4259.0,7wGoVu4Dady5GV0Sv4UIsx
33,2018-02-01,Panama,MOVE_DOWN,4207.0,1KSqYYJFyfTecXFk9M0prc
34,2018-02-01,Panama,MOVE_UP,4203.0,4zWO4gvuFtw6EJZC5FFGlr
35,2018-02-01,Panama,MOVE_UP,4112.0,3xWEI23MLJrD0dpDcDUTW6
36,2018-02-01,Panama,MOVE_UP,4063.0,7uYgVgRSgqluZclLS7wpp4
37,2018-02-01,Panama,MOVE_DOWN,4032.0,0ERbK7qVqveCaBWIiYCrl3
38,2018-02-01,Panama,SAME_POSITION,3954.0,4R55IUi2x7S5ek2SpebOiE
39,2018-02-01,Panama,MOVE_UP,3680.0,5ojXuKXBYq0apcNucYSDXq
40,2018-02-01,Panama,MOVE_DOWN,3660.0,6wos8Ds5FKMe33GjBHRake
41,2018-02-01,Panama,MOVE_UP,3588.0,1LszjjoVwDDZcWUQbzeDLG
42,2018-02-01,Panama,MOVE_DOWN,3573.0,5EId1m4DNwTf3at31w8bPJ
43,2018-02-01,Panama,MOVE_DOWN,3568.0,70lnL3QaSOIIyMa2X9aVRL
44,2018-02-01,Panama,SAME_POSITION,3373.0,22eADXu8DfOAUEDw4vU8qy
45,2018-02-01,Panama,MOVE_UP,3357.0,2iCOdoyDmWG3hWkbtH1KB2
46,2018-02-01,Panama,MOVE_DOWN,3350.0,2ekn2ttSfGqwhhate0LSR0
47,2018-02-01,Panama,MOVE_DOWN,3317.0,7MHN1aCFtLXjownGhvEQlF
48,2018-02-01,Panama,MOVE_DOWN,3268.0,3Vo4wInECJQuz9BIBMOu8i
49,2018-02-01,Panama,SAME_POSITION,3189.0,7qiZfU4dY1lWllzX7mPBI3
50,2018-02-01,Panama,MOVE_DOWN,3110.0,0tgVpDi06FyKpA1z0VMD4v
51,2018-02-01,Panama,MOVE_DOWN,3049.0,3whrwq4DtvucphBPUogRuJ
52,2018-02-01,Panama,MOVE_UP,2668.0,5q2JbCNi4FcnglgPfxcV65
53,2018-02-01,Panama,MOVE_UP,2549.0,4N1c5rmWOzRmB9SMacr5wB
54,2018-02-01,Panama,MOVE_DOWN,2492.0,7Ckhk1XW5NV2k4jpqtQNlz
55,2018-02-01,Panama,SAME_POSITION,2475.0,1O1ivWmmBHUfDpIuNn2hCd
56,2018-02-01,Panama,MOVE_DOWN,2445.0,7EmGUiUaOSGDnUUQUDrOXC
57,2018-02-01,Panama,MOVE_DOWN,2394.0,76cy1WJvNGJTj78UqeA5zr
