rank,date,region,trend,streams,track_id
1,2017-04-01,Paraguay,SAME_POSITION,14297.0,6De0lHrwBfPfrhorm9q1Xl
2,2017-04-01,Paraguay,SAME_POSITION,12742.0,4aWmUDTfIPGksMNLV2rQP2
3,2017-04-01,Paraguay,MOVE_UP,9975.0,7nKBxz47S9SD79N086fuhn
4,2017-04-01,Paraguay,SAME_POSITION,9639.0,3umS4y3uQDkqekNjVpiRUs
5,2017-04-01,Paraguay,MOVE_DOWN,9475.0,7qiZfU4dY1lWllzX7mPBI3
6,2017-04-01,Paraguay,MOVE_DOWN,9450.0,5q2JbCNi4FcnglgPfxcV65
7,2017-04-01,Paraguay,MOVE_UP,7321.0,6m2LNopVJKsvBB9l7Z1rwn
8,2017-04-01,Paraguay,SAME_POSITION,7207.0,3QwBODjSEzelZyVjxPOHdq
9,2017-04-01,Paraguay,SAME_POSITION,7114.0,6qDF4wWL49CAVbgT7yuHl8
10,2017-04-01,Paraguay,MOVE_DOWN,7038.0,3AEZUABDXNtecAOSC1qTfo
11,2017-04-01,Paraguay,SAME_POSITION,6662.0,4okba5wu9mMLXx79DXLKi3
12,2017-04-01,Paraguay,SAME_POSITION,6208.0,3BY2mafsbsoKGqS380Xnuz
13,2017-04-01,Paraguay,SAME_POSITION,6101.0,0EPxmvsG1BY5td4aTOkWBF
14,2017-04-01,Paraguay,SAME_POSITION,5455.0,6mICuAdrwEjh6Y6lroV2Kg
15,2017-04-01,Paraguay,SAME_POSITION,5199.0,6rQSrBHf7HlZjtcMZ4S4bO
16,2017-04-01,Paraguay,SAME_POSITION,5147.0,5hEM0JchdVzQ5PwvSfITeX
17,2017-04-01,Paraguay,MOVE_UP,4872.0,6stYbAJgTszHAHZMPxWWCY
18,2017-04-01,Paraguay,MOVE_DOWN,4846.0,3dQDid3IUNhZy1OehIfYfE
19,2017-04-01,Paraguay,SAME_POSITION,4452.0,5J1c3M4EldCfNxXwrwt8mT
20,2017-04-01,Paraguay,MOVE_UP,4424.0,2cnKEkpVUSV4wnjQiTWfH6
21,2017-04-01,Paraguay,MOVE_DOWN,4338.0,5i50gKdLAjjIr7UxRT5IVy
22,2017-04-01,Paraguay,SAME_POSITION,4291.0,2FrnTVSHjgnEylKGdHRUK1
23,2017-04-01,Paraguay,MOVE_UP,4291.0,4OaTpLJIa2harufGxfOPUu
24,2017-04-01,Paraguay,MOVE_DOWN,4246.0,3H179O48ynsu9q8LOnFQZY
25,2017-04-01,Paraguay,SAME_POSITION,4172.0,1AkTW13ysu0AJrwuM6UY0I
26,2017-04-01,Paraguay,MOVE_DOWN,4098.0,6RUKPb4LETWmmr3iAEQktW
27,2017-04-01,Paraguay,MOVE_DOWN,4018.0,20ZAJdsKB5IGbGj4ilRt2o
28,2017-04-01,Paraguay,MOVE_UP,3801.0,2Vdub5mY4lad7w64bFPUez
29,2017-04-01,Paraguay,SAME_POSITION,3716.0,7BwJtE8KSbCQKOCTIAY3jX
30,2017-04-01,Paraguay,MOVE_DOWN,3660.0,0KKkJNfGyhkQ5aFogxQAPU
31,2017-04-01,Paraguay,MOVE_DOWN,3658.0,7DM4BPaS7uofFul3ywMe46
32,2017-04-01,Paraguay,MOVE_UP,3546.0,3eR23VReFzcdmS7TYCrhCe
33,2017-04-01,Paraguay,MOVE_UP,3468.0,3noN1TxpjbjjmKqssghvg8
34,2017-04-01,Paraguay,MOVE_UP,3433.0,0tGAPnTFwRJA6FZgYZ0BAe
35,2017-04-01,Paraguay,MOVE_DOWN,3322.0,3NdDpSvN911VPGivFlV5d0
36,2017-04-01,Paraguay,SAME_POSITION,3295.0,3ebXMykcMXOcLeJ9xZ17XH
37,2017-04-01,Paraguay,MOVE_UP,3288.0,0B38YZydPDJz9N4uR9hULg
38,2017-04-01,Paraguay,MOVE_DOWN,3270.0,72jbDTw1piOOj770jWNeaG
39,2017-04-01,Paraguay,MOVE_UP,3254.0,7BKLCZ1jbUBVqRi2FVlTVw
40,2017-04-01,Paraguay,SAME_POSITION,3249.0,7DRP2VOMpy1rrk3iYFLCW9
41,2017-04-01,Paraguay,MOVE_DOWN,3241.0,5knuzwU65gJK7IF5yJsuaW
42,2017-04-01,Paraguay,MOVE_UP,3132.0,2webQDZmtGioeu3zUUi9We
43,2017-04-01,Paraguay,MOVE_UP,2963.0,4pdPtRcBmOSQDlJ3Fk945m
44,2017-04-01,Paraguay,MOVE_DOWN,2960.0,1lxswgIpzV6HhENRvkflES
45,2017-04-01,Paraguay,SAME_POSITION,2873.0,0EpFfFZpCuqYFzHvxOtrZS
46,2017-04-01,Paraguay,MOVE_UP,2870.0,4yN6xPLopmTLvc27pO9LIE
47,2017-04-01,Paraguay,SAME_POSITION,2837.0,0JoHqmlqE0W0i9prt6kcHR
48,2017-04-01,Paraguay,MOVE_DOWN,2803.0,5mey7CLLuFToM2P68Qu1gF
