rank,trend,streams,track_id
1,SAME_POSITION,13495.0,2SmgFAhQkQCQPyBiBxR6Te
2,SAME_POSITION,12452.0,1m69ELEgE6k5ZWsap40ozt
3,SAME_POSITION,11853.0,0MIcPSq9n2z5H8TAfEstri
4,SAME_POSITION,11040.0,0lJCqIx5BhZtf6QtYI2fbv
5,MOVE_UP,9749.0,1LszjjoVwDDZcWUQbzeDLG
6,MOVE_DOWN,9661.0,3VClLWqNn80Llv0PJOsKgr
7,SAME_POSITION,9565.0,7ofxPmTNMj2GP07g1VZa0O
8,MOVE_UP,8727.0,70lnL3QaSOIIyMa2X9aVRL
9,MOVE_DOWN,8715.0,7JNh1cfm0eXjqFVOzKLyau
10,SAME_POSITION,8423.0,4z3GJkrtH97Bj6fRta983T
11,SAME_POSITION,8253.0,5q2JbCNi4FcnglgPfxcV65
12,SAME_POSITION,7857.0,6De0lHrwBfPfrhorm9q1Xl
13,MOVE_UP,7498.0,2rrJfOphzn4uQCK9X0x6R6
14,MOVE_DOWN,7480.0,5EId1m4DNwTf3at31w8bPJ
15,MOVE_UP,7391.0,33bnxcjePIkcmNjEFTJX0l
16,SAME_POSITION,7155.0,0ERbK7qVqveCaBWIiYCrl3
17,MOVE_DOWN,7016.0,6SIrNxmmdbv1KUbFBu1PaN
18,SAME_POSITION,6801.0,2cnKEkpVUSV4wnjQiTWfH6
19,SAME_POSITION,6373.0,7Ckhk1XW5NV2k4jpqtQNlz
20,SAME_POSITION,6095.0,22eADXu8DfOAUEDw4vU8qy
21,MOVE_UP,5996.0,5TysCiZtv1HnSWcTcUFusI
22,MOVE_DOWN,5856.0,5YzA563GXTuwQaRq24z1k5
23,MOVE_UP,5840.0,3iDPALl8BoUbuXZgy6EOWY
24,SAME_POSITION,5797.0,5zSOVwaY3sVjnmLhuEfsuf
25,MOVE_DOWN,5560.0,693iqPOQvhI7PobtR8CC8v
26,MOVE_UP,5408.0,7MHN1aCFtLXjownGhvEQlF
27,MOVE_DOWN,5302.0,11ZRYISCsAsLyyJo47DudZ
28,SAME_POSITION,5270.0,2ekn2ttSfGqwhhate0LSR0
29,MOVE_UP,5128.0,2rb5MvYT7ZIxbKW5hfcHx8
30,MOVE_DOWN,5090.0,7FfpP3YZ6fOWMdxkIAtud9
31,MOVE_UP,4927.0,4yN6xPLopmTLvc27pO9LIE
32,MOVE_UP,4769.0,209gZgcfLq2aUuu51vOWBl
33,MOVE_DOWN,4650.0,5P45f6HakSHDwdFj5dO5K5
34,MOVE_DOWN,4488.0,0qYTZCo5Bwh1nsUFGZP3zn
35,MOVE_UP,4486.0,4N1c5rmWOzRmB9SMacr5wB
36,MOVE_DOWN,4465.0,13X0XdLMOdtbXVtAj2ox4h
37,MOVE_DOWN,4412.0,2FrnTVSHjgnEylKGdHRUK1
38,SAME_POSITION,4208.0,4UG962ViiLqoUyx0RjCcwP
39,SAME_POSITION,4166.0,3dnOHn0A5q3ny1LLLnSAty
40,MOVE_UP,3894.0,7qiZfU4dY1lWllzX7mPBI3
41,MOVE_UP,3834.0,6qDF4wWL49CAVbgT7yuHl8
42,MOVE_DOWN,3776.0,7wGoVu4Dady5GV0Sv4UIsx
43,MOVE_UP,3708.0,3QwBODjSEzelZyVjxPOHdq
44,SAME_POSITION,3660.0,4J1e3hbf0e5YUZjkxyJWD3
45,MOVE_DOWN,3645.0,5gFAT2DbEt4TOMXyAMEixG
46,MOVE_UP,3645.0,0tKcYR2II1VCQWT79i5NrW
47,MOVE_UP,3483.0,3BY2mafsbsoKGqS380Xnuz
48,MOVE_DOWN,3467.0,2mL3B5GilTm4dUT6P8LVpd
49,MOVE_DOWN,3442.0,7fwXWKdDNI5IutOMc5OKYw
50,SAME_POSITION,3400.0,5hEM0JchdVzQ5PwvSfITeX
51,SAME_POSITION,3240.0,0ofbQMrRDsUaVKq2mGLEAb
52,SAME_POSITION,2915.0,0QQNA8bZqefrGfsShzlZkb
53,SAME_POSITION,2853.0,4XCQtUoRSh22Ep18ULmDnT
54,MOVE_UP,2714.0,21lnmphofXWWeSSx0PEMjc
55,MOVE_DOWN,2687.0,4QYQgJhBryglC2hEpVGrZU
56,MOVE_UP,2553.0,5TmZYdHW6HJ9gt7Aokuql5
57,MOVE_DOWN,2444.0,0tgVpDi06FyKpA1z0VMD4v
58,MOVE_UP,2413.0,2naJy8SKJ27gj6ZhRPDKaz
59,MOVE_UP,2387.0,63yOvxSAB02K45KDnZscS0
60,SAME_POSITION,2385.0,5hKjEpYrJIJs6uPl7zw6Y6
61,MOVE_DOWN,2382.0,5SDCeGVT08a1RMXIBJF2O5
62,SAME_POSITION,2373.0,2OxUtaKYeahAGNaBiahXtR
63,MOVE_DOWN,2321.0,7MMRoGvm7uhoUVhGvHJ3yW
64,MOVE_DOWN,2316.0,7EmGUiUaOSGDnUUQUDrOXC
65,MOVE_UP,2181.0,0yyZN5ASdrYu0XYWFzfxUu
66,MOVE_UP,2145.0,4okba5wu9mMLXx79DXLKi3
67,MOVE_DOWN,2140.0,6r46lnXFbE9fr2d3KNaGbe
68,MOVE_DOWN,2128.0,1j4kHkkpqZRBwE0A4CN4Yv
69,SAME_POSITION,2016.0,6m2LNopVJKsvBB9l7Z1rwn
70,SAME_POSITION,1977.0,3umS4y3uQDkqekNjVpiRUs
