rank,date,region,trend,streams,track_id
1,2017-01-01,Peru,SAME_POSITION,39602.0,6mICuAdrwEjh6Y6lroV2Kg
2,2017-01-01,Peru,SAME_POSITION,36580.0,3AEZUABDXNtecAOSC1qTfo
3,2017-01-01,Peru,SAME_POSITION,34236.0,6rQSrBHf7HlZjtcMZ4S4bO
4,2017-01-01,Peru,SAME_POSITION,30781.0,3QwBODjSEzelZyVjxPOHdq
5,2017-01-01,Peru,MOVE_UP,29298.0,0sXvAOmXgjR2QUqLK1MltU
6,2017-01-01,Peru,MOVE_DOWN,29033.0,7DM4BPaS7uofFul3ywMe46
7,2017-01-01,Peru,MOVE_DOWN,28998.0,58IL315gMSTD37DOZPJ2hf
8,2017-01-01,Peru,MOVE_DOWN,23698.0,4pdPtRcBmOSQDlJ3Fk945m
9,2017-01-01,Peru,SAME_POSITION,23292.0,6stYbAJgTszHAHZMPxWWCY
10,2017-01-01,Peru,SAME_POSITION,22540.0,5mey7CLLuFToM2P68Qu1gF
11,2017-01-01,Peru,MOVE_UP,20913.0,20ZAJdsKB5IGbGj4ilRt2o
12,2017-01-01,Peru,MOVE_DOWN,19577.0,6b8Be6ljOzmkOmFslEb23P
13,2017-01-01,Peru,SAME_POSITION,18808.0,1xznGGDReH1oQq0xzbwXa3
14,2017-01-01,Peru,SAME_POSITION,18441.0,5aAx2yezTd8zXrkmtKl66Z
15,2017-01-01,Peru,MOVE_UP,18003.0,5J1c3M4EldCfNxXwrwt8mT
16,2017-01-01,Peru,MOVE_UP,17785.0,0JoHqmlqE0W0i9prt6kcHR
17,2017-01-01,Peru,MOVE_UP,17699.0,1lxswgIpzV6HhENRvkflES
18,2017-01-01,Peru,MOVE_DOWN,17237.0,7BKLCZ1jbUBVqRi2FVlTVw
19,2017-01-01,Peru,MOVE_DOWN,17040.0,5MFzQMkrl1FOOng9tq6R9r
20,2017-01-01,Peru,MOVE_UP,16097.0,6YZdkObH88npeKrrkb8Ggf
21,2017-01-01,Peru,MOVE_DOWN,15975.0,5hEM0JchdVzQ5PwvSfITeX
