rank,date,region,trend,streams,track_id
1,2020-11-01,Philippines,MOVE_UP,202401.0,1NUw61RX4Wtmxw7CLiP4kP
2,2020-11-01,Philippines,MOVE_DOWN,193846.0,0t1kP63rueHleOhQkYSXFY
3,2020-11-01,Philippines,MOVE_UP,192797.0,0ri0Han4IRJhzvERHOZTMr
4,2020-11-01,Philippines,MOVE_DOWN,187800.0,35mvY5S1H3J2QZyna3TFe0
5,2020-11-01,Philippines,SAME_POSITION,177034.0,3apeXzypBMnUfYcZYNX6DH
6,2020-11-01,Philippines,SAME_POSITION,163784.0,4JUPEh2DVSXFGExu4Uxevz
7,2020-11-01,Philippines,SAME_POSITION,161221.0,4Ws314Ylb27BVsvlZOy30C
8,2020-11-01,Philippines,MOVE_UP,143345.0,1Hu42ZLWG9dHaVOPiWyEmE
9,2020-11-01,Philippines,MOVE_DOWN,142120.0,5u1n1kITHCxxp8twBcZxWy
10,2020-11-01,Philippines,SAME_POSITION,122074.0,0knRQzgvbUed6K74mX81hG
11,2020-11-01,Philippines,SAME_POSITION,104976.0,4lsHZ92XCFOQfzJFBTluk8
12,2020-11-01,Philippines,SAME_POSITION,103837.0,6Im9k8u9iIzKMrmV7BWtlF
13,2020-11-01,Philippines,MOVE_UP,99699.0,1pi3VCMlGVaXvrjlVOkBPN
14,2020-11-01,Philippines,MOVE_DOWN,98003.0,7iAgNZdotu40NwtoIWJHFe
15,2020-11-01,Philippines,SAME_POSITION,90935.0,4SFknyjLcyTLJFPKD2m96o
16,2020-11-01,Philippines,SAME_POSITION,85637.0,4Oun2ylbjFKMPTiaSbbCih
17,2020-11-01,Philippines,MOVE_UP,85174.0,1XnpzbOGptRwfJhZgLbmSr
18,2020-11-01,Philippines,MOVE_UP,84785.0,0en1kxNAvVQxLpbteRTG7L
19,2020-11-01,Philippines,MOVE_DOWN,83336.0,1tkg4EHVoqnhR6iFEXb60y
20,2020-11-01,Philippines,MOVE_DOWN,82917.0,4HBZA5flZLE435QTztThqH
21,2020-11-01,Philippines,SAME_POSITION,82096.0,47UUjZbqZjcrzELnFBB1Ht
22,2020-11-01,Philippines,SAME_POSITION,79720.0,7aGyRfJWtLqgJaZoG9lJhE
23,2020-11-01,Philippines,MOVE_DOWN,78604.0,3tjFYV6RSFtuktYl3ZtYcq
24,2020-11-01,Philippines,MOVE_UP,76037.0,3bsRMvQja4huvPWo1S5ONc
