rank,date,region,trend,streams,track_id
1,2019-03-01,Poland,NEW_ENTRY,117080.0,5lijCHPFtCJqRQY1MwbwA7
2,2019-03-01,Poland,NEW_ENTRY,115357.0,6gAtRzTQsNypKRUt7CdAAW
3,2019-03-01,Poland,NEW_ENTRY,109916.0,5W6bPOr0h76yXR1wXWUT7h
4,2019-03-01,Poland,MOVE_UP,107301.0,2fJVbRbUsxeEcQB7y8o9mA
5,2019-03-01,Poland,NEW_ENTRY,103772.0,4WImeQiQyxr0cmOk2pB8I9
6,2019-03-01,Poland,NEW_ENTRY,99417.0,575rAm4UmzYUeBVofSpJnU
7,2019-03-01,Poland,NEW_ENTRY,96266.0,4q4t1dQaxYItLCgDIAMkd6
8,2019-03-01,Poland,MOVE_UP,94168.0,2VVEyPFbGkDePlMDHxjqhq
9,2019-03-01,Poland,NEW_ENTRY,89926.0,3HgY9237UDPH5vWsYvYJds
10,2019-03-01,Poland,MOVE_DOWN,88835.0,2VxeLyX666F8uXCJ0dZF8B
11,2019-03-01,Poland,NEW_ENTRY,87849.0,5jMHmREr8RrsQAocqcvOS2
12,2019-03-01,Poland,NEW_ENTRY,82088.0,6SnrXGt4z0n9BxWnQkdeop
13,2019-03-01,Poland,MOVE_DOWN,79545.0,0mJQUuuYqAOZyaeQWn1baR
14,2019-03-01,Poland,NEW_ENTRY,74704.0,0HpZ0qRmTj749v7R2u7Ljx
15,2019-03-01,Poland,MOVE_DOWN,67708.0,6ocbgoVGwYJhOv1GgI9NsF
16,2019-03-01,Poland,NEW_ENTRY,65011.0,5suutP1uVsI6eTMLofjkqR
17,2019-03-01,Poland,MOVE_DOWN,60585.0,2yVGgYMwdNIcEdEiUzFUYc
18,2019-03-01,Poland,MOVE_DOWN,60252.0,4glBRF3uJCf3bTG4hhIhpn
19,2019-03-01,Poland,MOVE_DOWN,59594.0,2hyh9YvwFB0cGjvyGk6Sxo
20,2019-03-01,Poland,MOVE_DOWN,53019.0,4kV4N9D1iKVxx1KLvtTpjS
21,2019-03-01,Poland,MOVE_DOWN,51557.0,5itOtNx0WxtJmi1TQ3RuRd
22,2019-03-01,Poland,MOVE_DOWN,51188.0,1lr5prHQn7Q766Ix6eGRKK
23,2019-03-01,Poland,MOVE_DOWN,44976.0,25sgk305KZfyuqVBQIahim
24,2019-03-01,Poland,MOVE_DOWN,43351.0,1rqqCSm0Qe4I9rUvWncaom
25,2019-03-01,Poland,NEW_ENTRY,42668.0,4y3OI86AEP6PQoDE6olYhO
26,2019-03-01,Poland,MOVE_DOWN,41244.0,4NzMOnvSJVNKF7nw5NkXIP
27,2019-03-01,Poland,MOVE_DOWN,40687.0,1gnKUue6F9gXXHQshCBwEs
28,2019-03-01,Poland,MOVE_DOWN,39692.0,27rdGxbavYJeBphck5MZAF
29,2019-03-01,Poland,NEW_ENTRY,39626.0,1WSGTYKLEpKfNQYYW5Oymt
30,2019-03-01,Poland,MOVE_DOWN,38448.0,5b9RQx9CLZRZcO1W8PvmcB
31,2019-03-01,Poland,MOVE_DOWN,35719.0,77vLpSAMNzeYL4EBeZxWqI
32,2019-03-01,Poland,MOVE_DOWN,35056.0,6TfeSFGbqxGjIKuKLQOsKC
33,2019-03-01,Poland,MOVE_DOWN,34584.0,6Qs4SXO9dwPj5GKvVOv8Ki
34,2019-03-01,Poland,MOVE_DOWN,34507.0,1rCcsYnmqbMYdkG7kS9GC5
35,2019-03-01,Poland,MOVE_DOWN,34202.0,0YammaEkYSeo9vQYZ1OwS6
36,2019-03-01,Poland,MOVE_DOWN,32624.0,5p7ujcrUXASCNwRaWNHR1C
37,2019-03-01,Poland,MOVE_DOWN,31843.0,2iUXsYOEPhVqEBwsqP70rE
