rank,trend,streams,track_id
1,SAME_POSITION,448859.0,5hfJcAXpOVb65HtYqgtoE4
2,SAME_POSITION,231259.0,2fLClepW4DP6WrwTbAuDOn
3,SAME_POSITION,189583.0,4pt5fDVTg5GhEvEtlz9dKk
4,MOVE_UP,162781.0,64F1Z2LAsf04V346A75hi1
5,MOVE_DOWN,162173.0,5bQFAKQF1mhcPPThw97kjw
6,MOVE_DOWN,156296.0,4SCKjcOBEHYu7EKKOdQBXJ
7,MOVE_DOWN,141552.0,1WwbHNsRQFYVUTYGAyw2V3
8,MOVE_DOWN,139902.0,6N975YOMIqDFlU6gr0KpU2
9,MOVE_DOWN,134305.0,2gCY88kKDnhR2gQ8p1SJ1Z
10,MOVE_DOWN,125260.0,4TFKJpEEwdRCYkNoANmuqt
11,MOVE_DOWN,123887.0,3Wrjm47oTz2sjIgck11l5e
12,MOVE_UP,116829.0,6tFUO9fvH7dLQFXGAXrVdn
13,MOVE_DOWN,114472.0,5RYqeL42n0Ta7OvSuc36ZJ
14,MOVE_DOWN,109489.0,317BKia1vQ2fQza3QOSYl0
15,SAME_POSITION,104877.0,6ClWZ12bBTGXAUjSkvGZdj
16,MOVE_DOWN,104223.0,776AftMmFFAWUIEAb3lHhw
17,MOVE_DOWN,102821.0,7g05XsuwROZFkUDNyktZdm
18,SAME_POSITION,96276.0,6lfg5PabZsH0WAMzllXWLK
19,SAME_POSITION,89434.0,6PQ88X9TkUIAUIZJHW2upE
20,SAME_POSITION,85603.0,4ZtFanR9U6ndgddUvNcjcG
21,MOVE_UP,83320.0,0IiNfOoR2hkB0FznzscP5T
22,MOVE_DOWN,82688.0,3RF2igIVJSCr19izf01C8h
23,SAME_POSITION,79966.0,3zTqGuGyxdkNeHUdgj9Din
24,SAME_POSITION,79255.0,5svu5mLA4U2kdxPj1tLJ2I
25,SAME_POSITION,76491.0,4cG7HUWYHBV6R6tHn1gxrl
26,SAME_POSITION,76375.0,6ALzx0Gppfh8B9mTMoF0BV
27,SAME_POSITION,73501.0,4yP4P2pHqtejjQ1l12J8bA
28,MOVE_UP,69739.0,27gknDBOqYJmOFYyaOBAfa
29,MOVE_UP,68432.0,2Y1Nd54Jrgciu2HtpP5ymM
30,MOVE_DOWN,67315.0,6ji7toELiyMNtxJeMsDLe3
31,MOVE_UP,66423.0,4XZxxP6ilbl56BooNjq7Ki
32,MOVE_DOWN,66210.0,0V3vDfdJmTYjLkR3va0UQu
33,SAME_POSITION,66085.0,5nujrmhLynf4yMoMtj8AQF
34,MOVE_UP,65244.0,5YLUFXAhH8ONdcyxvEvnkT
35,MOVE_UP,64397.0,24Gw6xOLcc028XPZJBQeEr
36,MOVE_DOWN,64111.0,0vPVqOKo8LWVganQgBZS5y
37,SAME_POSITION,64071.0,4s0LlMTMlsd6OrrcWJeKMI
38,MOVE_DOWN,62360.0,63yqAyFIlZTKz91NVzR4ro
39,SAME_POSITION,60758.0,67BtfxlNbhBmCDR2L2l8qd
40,SAME_POSITION,59162.0,2nFaT0t36H6UX3wN3Vxvjm
41,SAME_POSITION,57460.0,5HD2G9oEvsL8JGxBU0PZul
42,MOVE_UP,56806.0,18vIGGupRFoboQp2DuJJAG
43,MOVE_DOWN,56179.0,4obnT7iTKdBDaG07Y7r6nq
44,MOVE_UP,55044.0,3mCr3EZ4QNgTEFdkNTNSLr
45,MOVE_UP,54461.0,7t6gTBdcXvmkaNX2uqvBxq
46,MOVE_DOWN,54339.0,28rASnN07Gun1cXpOsbCHo
47,MOVE_DOWN,53385.0,0tvy0ZLlvPXKTJMvDK0wjx
48,MOVE_DOWN,53000.0,0BGwAKW4u8kWOhWFflZxfl
49,MOVE_DOWN,52265.0,1KQnW2vrpepMQG9Keo8vbY
50,SAME_POSITION,52186.0,4FFzaJPLTbkzITiNrP2a1Q
51,MOVE_UP,50577.0,2qX1iJIRJDlVsBQbQkz6L0
52,MOVE_UP,50388.0,6O7znyZyyqRaovT8eLYmCh
53,SAME_POSITION,49980.0,4zvRW09ZPauc2HLyKSjbed
54,MOVE_DOWN,49745.0,2wMo0pUpFklPf5x47ZUR8I
55,MOVE_UP,49144.0,3Iba59sFmGhQ4kbCY5L8AX
56,MOVE_UP,47907.0,0qk6LboUiiZIi7UJisOHtc
57,SAME_POSITION,47069.0,0b18g3G5spr4ZCkz7Y6Q0Q
58,MOVE_UP,45438.0,2sTuKKRZI1ciK5tflR00YE
59,MOVE_UP,45384.0,3DarAbFujv6eYNliUTyqtz
60,MOVE_UP,45277.0,37BZB0z9T8Xu7U3e65qxFy
61,MOVE_UP,45264.0,7FdUvDkaE24o3FPIWTvzv2
62,MOVE_UP,44660.0,0FNxm5f1bddm8ixdxOdrP9
63,MOVE_UP,44013.0,7HMz8o0m7ASQ3ImFPfhWTY
64,MOVE_UP,43288.0,4iJyoBOLtHqaGxP12qzhQI
65,MOVE_DOWN,43033.0,7rvgrmZdQeR1qDdzLLbo4Q
66,MOVE_DOWN,42561.0,4oLtIf8il5vtxf6ileqHIa
67,MOVE_UP,41874.0,5YaskwnGDZFDRipaqzbwQx
68,MOVE_UP,41748.0,7mAnwV4f6RxGMmA7D02Hw9
69,MOVE_UP,41246.0,67I90vdzQY97eG7cGObY0V
70,MOVE_UP,40831.0,7eBYMVok43QesT0KnuIkjn
71,MOVE_UP,40528.0,6f3Slt0GbA2bPZlz0aIFXN
72,MOVE_UP,40429.0,0xwpK0H2aL5YxREvcNw4Pe
73,MOVE_UP,40047.0,2fuA2bAFbVidQUdCiLjuG7
74,MOVE_DOWN,39886.0,2UbVnbE5FH6008mAm6Mmgw
75,MOVE_UP,39777.0,2NijO1M41mbMTFUJYyX8mx
76,MOVE_DOWN,39598.0,758BC5O0q8weUpXuNp9irE
77,MOVE_DOWN,39026.0,2kYgryHD0pSjhorV2DOdxc
78,MOVE_UP,38247.0,19yD0Yreis6m4FFdfvCSJZ
79,MOVE_UP,37475.0,6M399qo2yoIDnoOOQMbaZR
80,MOVE_UP,37457.0,3tZFBFPHw5O6HLyeOK1VwU
81,MOVE_UP,37000.0,0Cnb8XdGDMHAmIRBUJMkIS
82,MOVE_UP,36604.0,78L2RUFISfqkmZMTCLYQJC
83,MOVE_UP,36600.0,0VjIjW4GlUZAMYd2vXMi3b
84,MOVE_UP,36373.0,0YP31wufzmNmleMYjViXlb
85,MOVE_DOWN,36145.0,3GJW3WLsbqcP0HAFlIvzAC
86,MOVE_DOWN,36129.0,2pPO9YecZimmuVQfIzfV6U
87,MOVE_DOWN,35961.0,0xfAje5uOWIcPGBcUsibMj
88,MOVE_UP,35435.0,6HU7h9RYOaPRFeh0R3UeAr
89,MOVE_UP,35336.0,6cx06DFPPHchuUAcTxznu9
90,MOVE_DOWN,35153.0,1IGFRqxATPG49icmnuGiEv
91,MOVE_UP,35067.0,0zIdhYjLchhi2og7EfPQ4r
92,MOVE_UP,34749.0,7EkWXAI1wn8Ii883ecd9xr
93,MOVE_UP,34139.0,5TQvScMhIE7Hb1xvXxyt9p
94,MOVE_UP,34004.0,5fpFh4xgexEep7AipF4QMo
95,MOVE_DOWN,33900.0,2a1TLGE8RVkVnIBt3FEIJm
96,MOVE_DOWN,33499.0,0k4d5YPDr1r7FX77VdqWez
97,MOVE_UP,33160.0,5wANPM4fQCJwkGd4rN57mH
98,MOVE_DOWN,32849.0,0ekFMfccSsXN5a449K2gqB
99,MOVE_UP,32476.0,6UelLqGlWMcVH1E5c4H7lY
100,MOVE_UP,32188.0,38r67NnLgSMEGhilk9QhF4
101,MOVE_DOWN,32106.0,7MC4XR9M9amdmKQr2iDF7i
102,MOVE_DOWN,32081.0,4LWfIbbpd3xrO0gqFcKoPD
103,MOVE_DOWN,32042.0,5eMgQ5VOOzsoPniyNjpVXM
104,MOVE_UP,31485.0,3xlk3SVStmEGEWx5FtqpkW
105,MOVE_UP,31115.0,2QjOHCTQ1Jl3zawyYOpxh6
106,MOVE_DOWN,30325.0,7jP1BjqK9Qkbmk4rq3Vjdy
107,MOVE_UP,30087.0,4UNkylFotUHRrEZBkgQYM2
108,MOVE_UP,29950.0,5gOnvkwR6gTiSsfU7I2IbB
109,MOVE_UP,29913.0,6ft4hAq6yde8jPZY2i5zLr
110,MOVE_UP,29581.0,3JZKHlRdBpn0G4sdcjGhZW
111,MOVE_UP,29317.0,0LhrIUtHuMMCNnpMUJTACr
112,MOVE_DOWN,29197.0,0siYMEsGrzzzlWLXK5zJfS
113,MOVE_DOWN,28798.0,1KixkQVDUHggZMU9dUobgm
114,MOVE_UP,28779.0,3iw6V4LH7yPj1ESORX9RIN
115,MOVE_UP,28763.0,1kTlT3phtU2yqTJYT1x6hb
116,MOVE_UP,28681.0,3F8lYaCAqmBtlyS6u6ni1X
117,MOVE_UP,28408.0,0MMyJUC3WNnFS1lit5pTjk
118,MOVE_DOWN,28225.0,3ZjytV5BojgvkPnXdY5zV2
119,MOVE_DOWN,28168.0,1eiXBc3XRshXBTlPuSxGTL
120,MOVE_UP,28084.0,0XthAWvbDoOunjDceV6Jq2
121,MOVE_UP,28001.0,2FnwAfaCWXs3Pe4eEiqGhc
122,MOVE_UP,27868.0,7jtQIBanIiJOMS6RyCx6jZ
123,MOVE_DOWN,27791.0,2Oycxb8QbPkpHTo8ZrmG0B
124,MOVE_UP,27610.0,0vIdj6ZxZrHhHjkbsLHap8
125,MOVE_UP,27232.0,3E3fZ8HUbliwe3mkKCzsxt
126,MOVE_UP,27229.0,30OnKqCINi9fRJyQTEZeDz
127,MOVE_DOWN,27106.0,4UN7mGq5Qejkla7l5Qli1b
128,MOVE_UP,27038.0,73arE5Gwc1o5mYfepbBAUD
129,MOVE_UP,26896.0,0RZDPGDRNdHD0o3K8SuP74
130,MOVE_DOWN,26877.0,7BoobGhD4x5K96Me0hqC8Q
131,MOVE_DOWN,26512.0,6z9TFA8y1Jw7wtmMtPckuJ
132,SAME_POSITION,26483.0,7ozXiOdFfLHACRuWVjhesz
133,MOVE_UP,26476.0,4MSoSWmv8Cd44ON14NTiT7
134,MOVE_UP,26330.0,20xghT98hHBLHOZjDm075V
135,MOVE_UP,26297.0,2tGvwE8GcFKwNdAXMnlbfl
136,MOVE_DOWN,26277.0,4Q8yEYsoETOKhxlkA6FnVU
137,MOVE_UP,26239.0,5fKTWlpV4hT7ujXV45WbtN
138,SAME_POSITION,26036.0,0xJ0ZFS5xD1LH6stKaawHy
139,MOVE_UP,25949.0,4mW3jXs0vwWVAXzrkWXx2Y
140,NEW_ENTRY,25865.0,2aItJ1oeMxElBTGhGc2nGf
141,MOVE_DOWN,25794.0,6Ws73vGMSXuehbYN4YaksG
142,SAME_POSITION,25652.0,4Nw73SAVSmAkgscDAVjtau
143,MOVE_UP,25611.0,2bgTY4UwhfBYhGT4HUYStN
144,NEW_ENTRY,25353.0,1wyTNz8p5Oud26977VOfiy
145,MOVE_DOWN,25106.0,0CvXnRizJYYAZyp9b4XZBh
146,MOVE_DOWN,24928.0,1QjaX3Jp5kbDDorjL9ktRQ
147,MOVE_DOWN,24869.0,03Xxv6W6ytlrIYOiwcr0NZ
148,SAME_POSITION,24843.0,1iAyJBksvAI6DQEnzv8l1E
149,MOVE_UP,24802.0,0osvOdeD3YXZiWkT8MKolJ
150,MOVE_DOWN,24797.0,3590AAEoqH50z4UmhMIY85
151,MOVE_DOWN,24594.0,0zCRgUgbdPY8GReA4mi7T8
152,MOVE_DOWN,24408.0,5rBKsl97HuYa07qj2FLdry
153,MOVE_DOWN,24373.0,00e674SEUik7Wf9bxaQ8uO
154,MOVE_UP,24251.0,4bpShq8coki3AlMsXuFCDa
155,MOVE_UP,23946.0,5CZ40GBx1sQ9agT82CLQCT
156,MOVE_UP,23936.0,5E30LdtzQTGqRvNd7l6kG5
157,MOVE_UP,23882.0,3ggtU1ZOKO8ZNiqPNyXGcm
158,MOVE_DOWN,23825.0,6i7zAdNhzUN2k1HcrBxPHG
159,MOVE_DOWN,23790.0,07Agqdd4SD83JRgN19OjdW
160,MOVE_UP,23709.0,05xfxRC52Tdw6m1eLcSiVr
161,MOVE_DOWN,23687.0,7BGYwpS2RJ9Cp6YB6H0Xgd
162,MOVE_UP,23586.0,72BtnaHillQkkBuR9cFr7M
163,MOVE_DOWN,23560.0,1NKUIcXPJE9LSQLzTo38Kg
164,MOVE_UP,23493.0,5KmyYPBRBRSl3CNzfYnIyn
165,MOVE_UP,23374.0,7L5gakQGivisTEWdKkUrZg
166,MOVE_UP,23358.0,2S13g8BhBuFzkGpwDw1ONM
167,MOVE_UP,23272.0,3LKBq7pj020jC6cunIya6E
168,MOVE_DOWN,23254.0,0UoVmxEn8IHDkrrL1f4t82
169,MOVE_UP,23240.0,0zLCBJZSiELJf02ucPP9wb
170,MOVE_DOWN,23236.0,4xksreNndYyr2ohEAzr7r0
171,MOVE_DOWN,23197.0,5qVME9yp5IFWYfK2n3irxL
172,MOVE_DOWN,23124.0,4pzRQIRRHXYsAryBKXALCF
173,MOVE_DOWN,23041.0,4AIatGjGyVipeEAzCMTqOg
174,MOVE_DOWN,22973.0,5exI5XctjOtnVztDjDXHVG
175,MOVE_DOWN,22667.0,2yjSMIxii1fcnrf1R9tU4g
176,MOVE_DOWN,22597.0,3ZeyEvTgSlKajHc0fckgZT
177,MOVE_UP,22520.0,4jPy3l0RUwlUI9T5XHBW2m
178,MOVE_UP,22473.0,3Ue9uNmqOmpiyk5YXyg3bb
179,MOVE_DOWN,22461.0,1diS6nkxMQc3wwC4G1j0bh
180,MOVE_DOWN,22452.0,5g1ESSHBIxKHGBeqghXwGb
181,MOVE_UP,22311.0,23qZiN0yTTxvUGMSaw6RGt
182,MOVE_DOWN,22080.0,3KeWngnWN1REq9d26ZanKj
183,MOVE_DOWN,21987.0,1aX0Ki80LFzzhqxqRlqbAV
