rank,trend,streams,track_id
1,SAME_POSITION,31383.0,7wGoVu4Dady5GV0Sv4UIsx
2,SAME_POSITION,26907.0,0ofbQMrRDsUaVKq2mGLEAb
3,SAME_POSITION,22553.0,2ekn2ttSfGqwhhate0LSR0
4,SAME_POSITION,21205.0,1j4kHkkpqZRBwE0A4CN4Yv
5,MOVE_UP,17730.0,7EmGUiUaOSGDnUUQUDrOXC
6,SAME_POSITION,17163.0,7vGuf3Y35N4wmASOKLUVVU
7,MOVE_DOWN,17097.0,5SDCeGVT08a1RMXIBJF2O5
8,SAME_POSITION,16131.0,5tz69p7tJuGPeMGwNTxYuV
9,MOVE_UP,15882.0,43ZyHQITOjhciSUUNPVRHc
10,MOVE_UP,15733.0,0mel2N9Ws9r4yLQn5QE21Y
11,MOVE_DOWN,15591.0,6QgjcU0zLnzq5OrUoSZ3OK
12,MOVE_DOWN,14880.0,3B54sVLJ402zGa6Xm4YGNe
13,MOVE_UP,13985.0,6mrKP2jyIQmM0rw6fQryjr
14,MOVE_UP,13705.0,3sIXzuNgN9HrC7amkEQWiP
15,MOVE_UP,13428.0,75ZvA4QfFiZvzhj2xkaWAh
16,MOVE_DOWN,13367.0,6De0lHrwBfPfrhorm9q1Xl
17,MOVE_DOWN,12875.0,7nZmah2llfvLDiUjm0kiyz
18,MOVE_UP,12717.0,7m9OqQk4RVRkw9JJdeAw96
19,MOVE_DOWN,12680.0,3a1lNhkSLSkpJE4MSHpDu9
20,MOVE_DOWN,12673.0,2rb5MvYT7ZIxbKW5hfcHx8
21,SAME_POSITION,12563.0,0D8wUCg5XGHfWQIEzMmJAl
22,SAME_POSITION,12225.0,7GX5flRQZVHRAGd6B4TmDO
23,MOVE_UP,12215.0,0Zbbxnx4SGGHoIow4PpISP
24,MOVE_UP,12139.0,0tgVpDi06FyKpA1z0VMD4v
25,MOVE_UP,12021.0,3nOdmaNfqskNaYpBGPLDdG
26,MOVE_DOWN,11833.0,3m660poUr1chesgkkjQM7P
27,MOVE_DOWN,11563.0,3029IUQQ26whiZDLqUMWLC
28,MOVE_DOWN,11502.0,0tKcYR2II1VCQWT79i5NrW
29,MOVE_DOWN,11462.0,0Qh38w01QRXK6KHIv0e3hb
30,MOVE_DOWN,11304.0,0qYTZCo5Bwh1nsUFGZP3zn
31,MOVE_DOWN,10805.0,3ibRxEv4KkcU9e259eyNJA
32,MOVE_UP,10271.0,0CokSRCu5hZgPxcZBaEzVE
33,MOVE_UP,10238.0,32DGGj6KlNuBr6WaqRxpxi
34,MOVE_UP,10121.0,4iLqG9SeJSnt0cSPICSjxv
35,MOVE_DOWN,10117.0,0W6ZrhDZMhWI12rSMQzJb4
36,MOVE_DOWN,9938.0,3zoYkqS4y2BsGVShPL2nTE
37,MOVE_DOWN,9857.0,7qiZfU4dY1lWllzX7mPBI3
38,MOVE_UP,9217.0,5Z3GHaZ6ec9bsiI5BenrbY
39,MOVE_UP,8945.0,2OALaHcDdKkjYEpAr0Qzab
40,MOVE_UP,8671.0,7KXjTSCq5nL1LoYtL7XAwS
41,MOVE_DOWN,8607.0,7fwXWKdDNI5IutOMc5OKYw
