rank,date,region,trend,streams,track_id
1,2019-06-01,Portugal,SAME_POSITION,39174.0,3HVWdVOQ0ZA45FuZGSfvns
2,2019-06-01,Portugal,SAME_POSITION,36344.0,1ai9FDnFQDv18WAtFhMTIz
3,2019-06-01,Portugal,MOVE_UP,29972.0,6u7jPi22kF8CTQ3rb9DHE7
4,2019-06-01,Portugal,MOVE_UP,28222.0,5Ab6z7ZgBlzJaADQhwAYnj
5,2019-06-01,Portugal,MOVE_DOWN,27678.0,2Fxmhks0bxGSBdJ92vM42m
6,2019-06-01,Portugal,SAME_POSITION,26337.0,0PdCHtiX5w5P4W8NvLrUx2
7,2019-06-01,Portugal,SAME_POSITION,25392.0,1xPJDN8a0TSZA9W9njnpBp
8,2019-06-01,Portugal,SAME_POSITION,22430.0,0gzwa0yJncSs29DjXajA5i
9,2019-06-01,Portugal,MOVE_UP,21646.0,5w9c2J52mkdntKOmRLeM2m
10,2019-06-01,Portugal,SAME_POSITION,21291.0,2x8TNY9KwNvD19gVGs4WOP
11,2019-06-01,Portugal,MOVE_DOWN,20815.0,68VCmJEV8PFoOPGE1ALxtM
12,2019-06-01,Portugal,MOVE_UP,20195.0,4SIaLMSv2V9o910QnZwkn9
13,2019-06-01,Portugal,SAME_POSITION,20026.0,4Ssh6BrNzS4hv3SMkfPFGA
14,2019-06-01,Portugal,MOVE_DOWN,18821.0,0OM9wZDsjhXWTonnL4AO1F
15,2019-06-01,Portugal,MOVE_UP,18079.0,0eA43imPmYEq6166XHM3UX
16,2019-06-01,Portugal,MOVE_DOWN,17980.0,7qEHsqek33rTcFNT9PFqLf
17,2019-06-01,Portugal,MOVE_UP,16891.0,7uH27oIt4a6cIFCA8ZPcyG
18,2019-06-01,Portugal,MOVE_DOWN,16739.0,1ftBvRj542ol7LT1A0EtL7
19,2019-06-01,Portugal,SAME_POSITION,16492.0,1vChWb8X4TEeKvo46uTglP
20,2019-06-01,Portugal,MOVE_DOWN,16347.0,0VoXqU82KkwEab9b5f8T4M
21,2019-06-01,Portugal,MOVE_UP,16013.0,53CJANUxooaqGOtdsBTh7O
22,2019-06-01,Portugal,MOVE_DOWN,15099.0,6LsAAHotRLMOHfCsSfYCsz
23,2019-06-01,Portugal,MOVE_UP,14709.0,1OUPXna2MCgAt3VNmXJBtg
24,2019-06-01,Portugal,MOVE_UP,14510.0,5iwz1NiezX7WWjnCgY5TH4
25,2019-06-01,Portugal,MOVE_DOWN,14311.0,4y3OI86AEP6PQoDE6olYhO
26,2019-06-01,Portugal,MOVE_UP,13698.0,6TqXcAFInzjp0bODyvrWEq
27,2019-06-01,Portugal,MOVE_UP,13565.0,5yH8pYxNckOU1cxfPsMIaz
28,2019-06-01,Portugal,MOVE_UP,13402.0,2qxmye6gAegTMjLKEBoR3d
29,2019-06-01,Portugal,MOVE_DOWN,13246.0,7DcvwMAiqKJQD1rrdfxSDx
30,2019-06-01,Portugal,MOVE_UP,12838.0,7dFuvm5opVdFasz4JCG87Z
31,2019-06-01,Portugal,MOVE_DOWN,12731.0,2VxeLyX666F8uXCJ0dZF8B
32,2019-06-01,Portugal,MOVE_DOWN,12490.0,7G2XZhDNHo7SSDWSVxC0UT
33,2019-06-01,Portugal,MOVE_DOWN,12404.0,5hVghJ4KaYES3BFUATCYn0
34,2019-06-01,Portugal,SAME_POSITION,12272.0,37tlhZnzXdF5en96O1j93w
35,2019-06-01,Portugal,SAME_POSITION,12203.0,6cmn21bodxviaGAHa5ZXbF
36,2019-06-01,Portugal,MOVE_UP,11703.0,7KbF6AdprOXEEHlsq11Z6d
37,2019-06-01,Portugal,MOVE_UP,11638.0,43e6yk6rHC5jQ5jha0B8hx
38,2019-06-01,Portugal,MOVE_UP,11463.0,6MWtB6iiXyIwun0YzU6DFP
39,2019-06-01,Portugal,MOVE_DOWN,11433.0,5WHTFyqSii0lmT9R21abT8
40,2019-06-01,Portugal,MOVE_DOWN,11399.0,3KkXRkHbMCARz0aVfEt68P
41,2019-06-01,Portugal,MOVE_UP,11299.0,6ocbgoVGwYJhOv1GgI9NsF
42,2019-06-01,Portugal,MOVE_DOWN,11055.0,3Qz3Wqr9DUEdn8E7hzvsD1
43,2019-06-01,Portugal,SAME_POSITION,10528.0,4AhSkRYioEIfGvCV19peYN
44,2019-06-01,Portugal,MOVE_UP,10477.0,543bCW2ruMPmxUBWirQ3MR
45,2019-06-01,Portugal,SAME_POSITION,10363.0,4HkmUlLklTFzOIufppSf0e
46,2019-06-01,Portugal,MOVE_DOWN,9980.0,5p7ujcrUXASCNwRaWNHR1C
47,2019-06-01,Portugal,MOVE_DOWN,9974.0,0AocbMFJOxKWtxfae1pVZm
48,2019-06-01,Portugal,SAME_POSITION,9943.0,4ZLzoOkj0MPWrTLvooIuaa
