rank,trend,streams,track_id
1,SAME_POSITION,17677.0,4NzMOnvSJVNKF7nw5NkXIP
2,SAME_POSITION,14663.0,14msK75pk3pA33pzPVNtBF
3,SAME_POSITION,10527.0,6MWtB6iiXyIwun0YzU6DFP
4,SAME_POSITION,7870.0,5p7ujcrUXASCNwRaWNHR1C
5,MOVE_UP,7077.0,4BiiOzZCrXEzHRLYcYFiD5
6,MOVE_DOWN,6735.0,2JvzF1RMd7lE3KmFlsyZD8
7,SAME_POSITION,6068.0,6Qs4SXO9dwPj5GKvVOv8Ki
8,MOVE_UP,5639.0,2VxeLyX666F8uXCJ0dZF8B
9,MOVE_UP,5339.0,27rdGxbavYJeBphck5MZAF
10,MOVE_UP,5308.0,3KkXRkHbMCARz0aVfEt68P
11,MOVE_UP,5236.0,3Ol2xnObFdKV9pmRD2t9x8
12,MOVE_DOWN,5135.0,2xLMifQCjDGFmkHkpNLD9h
13,NEW_ENTRY,4811.0,0SfG57HqtBNqKN9O27fo1s
14,MOVE_UP,4707.0,2rPE9A1vEgShuZxxzR2tZH
15,MOVE_DOWN,4648.0,25sgk305KZfyuqVBQIahim
16,MOVE_DOWN,4616.0,3ee8Jmje8o58CHK66QrVC2
17,MOVE_UP,4543.0,14JzyD6FlBD5z0wV5P07YI
18,MOVE_DOWN,4542.0,0FZ4Dmg8jJJAPJnvBIzD9z
19,MOVE_UP,4486.0,4w8niZpiMy6qz1mntFA5uM
20,MOVE_DOWN,4482.0,2qxmye6gAegTMjLKEBoR3d
21,MOVE_DOWN,4414.0,2IRZnDFmlqMuOrYOLnZZyc
22,MOVE_DOWN,4371.0,7dt6x5M1jzdTEt8oCbisTK
23,SAME_POSITION,4277.0,7COXchtUOMd6uIT6HvmRaI
24,MOVE_UP,3970.0,5itOtNx0WxtJmi1TQ3RuRd
25,MOVE_DOWN,3934.0,7wFybC8jBH3zE139OpCtpG
26,MOVE_UP,3854.0,1rqqCSm0Qe4I9rUvWncaom
27,MOVE_DOWN,3822.0,5IaHrVsrferBYDm0bDyABy
28,MOVE_DOWN,3770.0,2dpaYNEQHiRxtZbfNsse99
29,MOVE_UP,3757.0,6GzApXoBQiiAjak3tOQfV3
30,MOVE_DOWN,3670.0,0e7ipj03S05BNilyu5bRzt
31,MOVE_DOWN,3660.0,1NJcg626wLln4pGHpiV7mf
32,MOVE_UP,3653.0,5JEx7HbmvHQQswJCsoo9rA
33,MOVE_DOWN,3614.0,5kfNriitmkNE8mUbZ7gbq8
34,MOVE_UP,3585.0,0YammaEkYSeo9vQYZ1OwS6
35,MOVE_DOWN,3547.0,0JP9xo3adEtGSdUEISiszL
36,MOVE_UP,3541.0,2t8yVaLvJ0RenpXUIAC52d
37,MOVE_DOWN,3511.0,7e4KQkp5ZR1gXCAalRjX6B
38,MOVE_DOWN,3502.0,5600nq7TiBraBX2jobyJ3l
39,MOVE_DOWN,3466.0,7FGq80cy8juXBCD2nrqdWU
40,NEW_ENTRY,3379.0,2v5JTeM6hSmi5wWy7jiwrI
41,MOVE_DOWN,3325.0,2iUXsYOEPhVqEBwsqP70rE
42,MOVE_UP,3299.0,3WRIaWsws011vHMd9uzPjG
43,MOVE_DOWN,3287.0,7tFiyTwD0nx5a1eklYtX2J
44,MOVE_DOWN,3225.0,1xzBco0xcoJEDXktl7Jxrr
45,MOVE_UP,3220.0,5iwz1NiezX7WWjnCgY5TH4
46,MOVE_UP,3030.0,2msALltQH0lcNjYNaST6KD
47,MOVE_DOWN,3027.0,116H0KvKr2Zl4RPuVBruDO
48,MOVE_DOWN,2977.0,25F6MWrnFBCXVnpN4n76EK
49,NEW_ENTRY,2976.0,1pfgsjmxVZhoZpeDx6POKv
50,NEW_ENTRY,2966.0,3oh6SCCeLuXhFpEyepla6G
51,MOVE_DOWN,2945.0,2qT1uLXPVPzGgFOx4jtEuo
52,MOVE_UP,2933.0,2o6zL2P1HRhVwvYGO6gGGq
53,MOVE_DOWN,2890.0,3EPXxR3ImUwfayaurPi3cm
54,MOVE_UP,2872.0,5Fla3zyOCcIRqrDoKLU0DP
55,MOVE_UP,2852.0,5N5k9nd479b1xpDZ4usjrg
56,MOVE_DOWN,2835.0,4VUwkH455At9kENOfzTqmF
57,MOVE_UP,2819.0,0E9ZjEAyAwOXZ7wJC0PD33
58,MOVE_DOWN,2814.0,13hvHEstJ4sNbzdroPrPI3
59,MOVE_DOWN,2769.0,2G1tXoGBaEMJ7FKGnkf6ud
60,MOVE_DOWN,2746.0,4NdXQlDTzxbOMkzJGWFtz3
61,MOVE_DOWN,2699.0,285pBltuF7vW8TeWk8hdRR
62,MOVE_DOWN,2692.0,4sjX0Ak7dlifrPCyC0NiqL
63,MOVE_UP,2658.0,2BgEsaKNfHUdlh97KmvFyo
64,MOVE_DOWN,2639.0,04MLEeAMuV9IlHEsD8vF6A
65,MOVE_DOWN,2632.0,2LskIZrCeLxRvCiGP8gxlh
66,MOVE_UP,2624.0,40T5GIqQ1CegGm2PTEl8Bu
67,MOVE_DOWN,2623.0,78QR3Wp35dqAhFEc2qAGjE
68,MOVE_UP,2602.0,58q2HKrzhC3ozto2nDdN4z
69,MOVE_DOWN,2557.0,2P91MQbaiQOfbiz9VqhqKQ
70,MOVE_UP,2549.0,7uiBocndm12aKbsdnQ3Scx
71,NEW_ENTRY,2548.0,2VBYFWgwIlJjyzidPTHQqp
72,MOVE_DOWN,2514.0,7m9OqQk4RVRkw9JJdeAw96
73,MOVE_DOWN,2512.0,14mHfNsSHN0FbLftyjrV9g
74,MOVE_UP,2506.0,3NuK5xMlSlB6K2Qp16zf3h
75,MOVE_UP,2491.0,1NHlyKgtR4roNylOhidKSv
76,MOVE_UP,2487.0,76cy1WJvNGJTj78UqeA5zr
77,MOVE_DOWN,2484.0,2FY7b99s15jUprqC0M5NCT
78,MOVE_DOWN,2479.0,4hQ6UGyWQIGJmHSo0J88JW
79,MOVE_DOWN,2458.0,04ZTP5KsCypmtCmQg5tH9R
80,MOVE_UP,2438.0,51NFxnQvaosfDDutk0tams
81,MOVE_DOWN,2433.0,1nGnZ1SNJHg0qmCKZLiCgi
82,MOVE_DOWN,2420.0,5rFj8OzffT0iggSjcBaeND
83,MOVE_DOWN,2392.0,0pqnGHJpmpxLKifKRmU6WP
84,MOVE_UP,2368.0,63cd4JkwGgYJrbOizbfmsp
85,MOVE_DOWN,2358.0,7fa9MBXhVfQ8P8Df9OEbD8
86,MOVE_UP,2329.0,222B3aljXx6fFwKmFjuBED
87,NEW_ENTRY,2327.0,2IoZOYOZDrWCOLoZoYedxQ
88,MOVE_UP,2327.0,6vsV4D8BM6PioRr1UOx0n2
89,MOVE_UP,2327.0,6mQLN3zRtAp6ovjusyYKrV
90,MOVE_DOWN,2326.0,0jAfdqv18goRTUxm3ilRjb
91,MOVE_DOWN,2324.0,3jq1RpStaB1YGyN3rRZGca
92,MOVE_UP,2308.0,79OEIr4J4FHV0O3KrhaXRb
93,MOVE_DOWN,2306.0,2TIlqbIneP0ZY1O0EzYLlc
94,MOVE_DOWN,2292.0,1zB4vmk8tFRmM9UULNzbLB
95,MOVE_UP,2256.0,6DCZcSspjsKoFjzjrWoCdn
96,MOVE_UP,2249.0,09IStsImFySgyp0pIQdqAc
97,MOVE_DOWN,2245.0,5vdp5UmvTsnMEMESIF2Ym7
98,MOVE_UP,2217.0,7K7MUBCnzgBAvMVW2RTWNs
99,MOVE_DOWN,2192.0,2GGMabyHXnJmjY6CXhhB2e
100,MOVE_DOWN,2188.0,2RSHsoi04658QL5xgQVov3
101,MOVE_DOWN,2187.0,4QIyEq7TcTdAcxjI2AFlAK
102,MOVE_UP,2178.0,08bNPGLD8AhKpnnERrAc6G
103,MOVE_UP,2174.0,5tAa8Uaqr4VvA3693mbIhU
104,NEW_ENTRY,2163.0,6H98N10OCmld8m5XyyulO3
105,MOVE_DOWN,2148.0,60SdxE8apGAxMiRrpbmLY0
106,MOVE_UP,2146.0,4kWO6O1BUXcZmaxitpVUwp
107,MOVE_DOWN,2141.0,22An65gG31JLf9n18qjdhZ
108,MOVE_DOWN,2135.0,4jvjzW7Hm0yK4LvvE0Paz9
109,MOVE_DOWN,2130.0,0TlLq3lA83rQOYtrqBqSct
110,MOVE_DOWN,2125.0,7KXjTSCq5nL1LoYtL7XAwS
111,MOVE_DOWN,2117.0,7ycWLEP1GsNjVvcjawXz3z
112,MOVE_DOWN,2111.0,7lAK3oHbfEnvUQWosrMMpR
113,MOVE_DOWN,2076.0,6Gy7rXB6Ku5vIWC7WGWsl3
114,MOVE_DOWN,2074.0,0nrWZWkJM62ftQJSI8fDc0
115,MOVE_DOWN,2030.0,1gm616Plq4ScqNi7TVkZ5N
116,MOVE_DOWN,2019.0,7pdF27mSDuPWhppnHAmWHa
117,MOVE_DOWN,2019.0,4S8d14HvHb70ImctNgVzQQ
118,MOVE_DOWN,2001.0,7ef4DlsgrMEH11cDZd32M6
119,MOVE_DOWN,1998.0,7sO5G9EABYOXQKNPNiE9NR
120,MOVE_DOWN,1995.0,6gBFPUFcJLzWGx4lenP6h2
121,MOVE_DOWN,1995.0,7AQim7LbvFVZJE3O8TYgf2
122,MOVE_DOWN,1982.0,4qKcDkK6siZ7Jp1Jb4m0aL
123,MOVE_DOWN,1937.0,7wcyO1rrH3Ru4t659IjG41
124,MOVE_UP,1934.0,7GX5flRQZVHRAGd6B4TmDO
125,MOVE_DOWN,1930.0,2SL6oP2YAEQbqsrkOzRGO4
126,MOVE_DOWN,1928.0,5Ck4zhYkBRelKGPQDrmhN1
127,MOVE_UP,1915.0,14sOS5L36385FJ3OL8hew4
128,MOVE_DOWN,1911.0,3GVkPk8mqxz0itaAriG1L7
129,MOVE_UP,1910.0,7FjZU7XFs7P9jHI9Z0yRhK
130,MOVE_DOWN,1907.0,2c7GlMNmF7pbohjykutmLP
131,MOVE_UP,1905.0,5N4erncE7kuUccm7zEmwzk
132,MOVE_DOWN,1903.0,4xkOaSrkexMciUUogZKVTS
133,MOVE_DOWN,1900.0,0tBbt8CrmxbjRP0pueQkyU
134,MOVE_DOWN,1897.0,6eYxmK9fdL4hwLnXG2zY3s
135,MOVE_DOWN,1891.0,3KLygy1YWhmrQx0GRs7IOx
136,MOVE_DOWN,1850.0,0lsRatBUs9HNIZAmoGABzk
137,MOVE_DOWN,1847.0,4NBTZtAt1F13VvlSKe6KTl
138,SAME_POSITION,1846.0,155EsNGoXo7XSVF84oTPam
139,MOVE_DOWN,1841.0,1fewSx2d5KIZ04wsooEBOz
140,MOVE_DOWN,1836.0,5OCJzvD7sykQEKHH7qAC3C
141,MOVE_UP,1831.0,5wujBwqG7INdStqGd4tRMX
142,MOVE_UP,1830.0,1rCcsYnmqbMYdkG7kS9GC5
143,MOVE_DOWN,1816.0,7AFASza1mXqntmGtbxXprO
144,MOVE_DOWN,1810.0,2QZ7WLBE8h2y1Y5Fb8RYbH
145,MOVE_DOWN,1789.0,2BkyYZmU4JuWW2sYi9EzpC
146,NEW_ENTRY,1784.0,5WHTFyqSii0lmT9R21abT8
147,MOVE_DOWN,1775.0,1rfofaqEpACxVEHIZBJe6W
148,MOVE_DOWN,1772.0,3nc420PXjTdBV5TN0gCFkS
149,MOVE_UP,1766.0,4OafepJy2teCjYJbvFE60J
150,MOVE_UP,1747.0,5nzw98JId7kPlL4LcUqI9M
151,MOVE_DOWN,1746.0,2G7V7zsVDxg1yRsu7Ew9RJ
152,MOVE_DOWN,1739.0,1KVczjazCcCCgM3gXXUl47
153,MOVE_DOWN,1716.0,3swc6WTsr7rl9DqQKQA55C
154,MOVE_DOWN,1713.0,5T8EDUDqKcs6OSOwEsfqG7
155,MOVE_UP,1710.0,2uIX8YMNjGMD7441kqyyNU
156,MOVE_UP,1696.0,0todbbT9g5uQGbeFCiBf2F
157,MOVE_DOWN,1694.0,6zeeWid2sgw4lap2jV61PZ
158,MOVE_UP,1691.0,6FyRXC8tJUh863JCkyWqtk
159,NEW_ENTRY,1682.0,6CBLS6BxGCsbzKdSiKSxHC
160,MOVE_UP,1676.0,0FQhAHyHGsrbSHvDURmFPn
161,MOVE_DOWN,1665.0,2FUNBaa5DwItJtYEBgAblU
162,MOVE_DOWN,1651.0,2fuCquhmrzHpu5xcA1ci9x
163,MOVE_DOWN,1648.0,7wBJfHzpfI3032CSD7CE2m
164,MOVE_DOWN,1642.0,20ZP3Om9DvDazXrNUC7WM2
165,MOVE_DOWN,1640.0,4keoy2fqgwGnbWlm3ZVZFa
166,MOVE_UP,1633.0,3m7Fi1xpA6wwaVqGk68GM3
167,MOVE_DOWN,1627.0,0YF7NWEb8CTZQFXCIL2Ztq
168,MOVE_DOWN,1613.0,7MXVkk9YMctZqd1Srtv4MB
169,MOVE_DOWN,1608.0,4OZL8jj8S1lG6QAj01FWFy
170,MOVE_DOWN,1607.0,45Egmo7icyopuzJN0oMEdk
171,MOVE_UP,1593.0,7vGuf3Y35N4wmASOKLUVVU
172,MOVE_DOWN,1591.0,6SRWhUJcD2YKahCwHavz3X
173,MOVE_DOWN,1590.0,5Gu0PDLN4YJeW75PpBSg9p
174,MOVE_UP,1586.0,4ut5G4rgB1ClpMTMfjoIuy
175,MOVE_UP,1575.0,7BKLCZ1jbUBVqRi2FVlTVw
176,MOVE_DOWN,1573.0,1QVYDQmJSBpQ1vnO5euZMk
177,MOVE_DOWN,1572.0,6n4U3TlzUGhdSFbUUhTvLP
178,NEW_ENTRY,1568.0,1XJ93XskwJf7PCyIVLbNBt
179,MOVE_DOWN,1562.0,1mXVgsBdtIVeCLJnSnmtdV
180,MOVE_DOWN,1561.0,63SevszngYpZOwf63o61K4
181,MOVE_DOWN,1561.0,3QGsuHI8jO1Rx4JWLUh9jd
182,MOVE_DOWN,1555.0,2xJCMIJfcNYDc5iR0sAm2O
183,MOVE_DOWN,1543.0,7qiZfU4dY1lWllzX7mPBI3
184,NEW_ENTRY,1532.0,0RO3tjH2cfyoGHLynijFcc
185,MOVE_UP,1532.0,4DyBx5MYoq8RsU33cEAIxT
186,NEW_ENTRY,1519.0,7wC5eZcFS1Q1BsQ35DU6H4
187,MOVE_DOWN,1513.0,3a1lNhkSLSkpJE4MSHpDu9
188,MOVE_DOWN,1495.0,2xIQggCvyKvhP2SjOM1ns2
189,NEW_ENTRY,1488.0,5WtfUKzXircvW8l5aaVZWT
190,MOVE_DOWN,1482.0,0HGF3xh6EjSOuWX171KWqw
191,MOVE_DOWN,1479.0,52okn5MNA47tk87PeZJLEL
192,MOVE_DOWN,1472.0,0VgkVdmE4gld66l8iyGjgx
193,SAME_POSITION,1471.0,6h5PAsRni4IRlxWr6uDPTP
194,MOVE_DOWN,1458.0,6xcJyGpfZbuuiequtnlKt4
195,MOVE_UP,1445.0,4pbJqGIASGPr0ZpGpnWkDn
196,NEW_ENTRY,1445.0,3DGar7krWlmrXRFHBcQF6z
197,MOVE_DOWN,1442.0,66BjcDhhwWCcQIBxHMpKXh
198,MOVE_DOWN,1440.0,6XqvFyJGdUD5IWee02ARKU
199,NEW_ENTRY,1427.0,0G7Ik0gmxJBFJKAmK2p1k9
200,MOVE_DOWN,1421.0,6jreFSOTUAViWjKyzOC4Kg
1,MOVE_UP,13258.0,14msK75pk3pA33pzPVNtBF
2,MOVE_DOWN,13214.0,4NzMOnvSJVNKF7nw5NkXIP
3,SAME_POSITION,8457.0,6MWtB6iiXyIwun0YzU6DFP
4,SAME_POSITION,6874.0,5p7ujcrUXASCNwRaWNHR1C
5,MOVE_UP,5854.0,2JvzF1RMd7lE3KmFlsyZD8
6,MOVE_DOWN,5368.0,4BiiOzZCrXEzHRLYcYFiD5
7,SAME_POSITION,5321.0,6Qs4SXO9dwPj5GKvVOv8Ki
8,MOVE_UP,4706.0,2xLMifQCjDGFmkHkpNLD9h
9,MOVE_UP,4324.0,3KkXRkHbMCARz0aVfEt68P
10,MOVE_UP,4295.0,14JzyD6FlBD5z0wV5P07YI
11,MOVE_UP,4241.0,25sgk305KZfyuqVBQIahim
12,MOVE_DOWN,4211.0,2VxeLyX666F8uXCJ0dZF8B
13,MOVE_UP,4194.0,2rPE9A1vEgShuZxxzR2tZH
