rank,date,region,trend,streams,track_id
1,2019-06-01,Romania,SAME_POSITION,7942.0,2Fxmhks0bxGSBdJ92vM42m
2,2019-06-01,Romania,SAME_POSITION,7766.0,6u7jPi22kF8CTQ3rb9DHE7
3,2019-06-01,Romania,SAME_POSITION,6112.0,3HVWdVOQ0ZA45FuZGSfvns
4,2019-06-01,Romania,SAME_POSITION,5672.0,53CJANUxooaqGOtdsBTh7O
5,2019-06-01,Romania,MOVE_UP,4433.0,6LsAAHotRLMOHfCsSfYCsz
6,2019-06-01,Romania,MOVE_DOWN,4400.0,7DcvwMAiqKJQD1rrdfxSDx
7,2019-06-01,Romania,MOVE_UP,4197.0,6ocbgoVGwYJhOv1GgI9NsF
8,2019-06-01,Romania,MOVE_UP,3962.0,4y3OI86AEP6PQoDE6olYhO
9,2019-06-01,Romania,MOVE_UP,3939.0,6MWtB6iiXyIwun0YzU6DFP
10,2019-06-01,Romania,MOVE_DOWN,3652.0,6dPyzkyZwoj9LqjQXOFdVv
11,2019-06-01,Romania,MOVE_DOWN,3548.0,2WyRfGeHo97VC5mP1BBSzr
12,2019-06-01,Romania,MOVE_UP,3537.0,5w9c2J52mkdntKOmRLeM2m
13,2019-06-01,Romania,MOVE_UP,3500.0,5p7ujcrUXASCNwRaWNHR1C
14,2019-06-01,Romania,SAME_POSITION,3419.0,7Feaw9WAEREY0DUOSXJLOM
15,2019-06-01,Romania,MOVE_UP,3388.0,4SSnFejRGlZikf02HLewEF
16,2019-06-01,Romania,SAME_POSITION,3372.0,7nY4dQPdqg5apceI2xnJRt
17,2019-06-01,Romania,MOVE_UP,3245.0,5WHTFyqSii0lmT9R21abT8
18,2019-06-01,Romania,MOVE_DOWN,3196.0,1HpzOCZbNWzxvvXfSGtSrX
19,2019-06-01,Romania,MOVE_UP,3189.0,5hVghJ4KaYES3BFUATCYn0
20,2019-06-01,Romania,MOVE_DOWN,3173.0,543bCW2ruMPmxUBWirQ3MR
21,2019-06-01,Romania,MOVE_DOWN,3167.0,5PYQUBXc7NYeI1obMKSJK0
22,2019-06-01,Romania,MOVE_DOWN,3092.0,0n2nEtLP3OzDdi12ziIekx
23,2019-06-01,Romania,MOVE_UP,3068.0,7qEHsqek33rTcFNT9PFqLf
24,2019-06-01,Romania,MOVE_UP,3016.0,5iwz1NiezX7WWjnCgY5TH4
25,2019-06-01,Romania,MOVE_UP,2975.0,2dpaYNEQHiRxtZbfNsse99
26,2019-06-01,Romania,MOVE_DOWN,2960.0,25sgk305KZfyuqVBQIahim
27,2019-06-01,Romania,MOVE_DOWN,2905.0,4tNXntkAzQ5A2dfYRYGIIQ
28,2019-06-01,Romania,MOVE_DOWN,2831.0,340UVheS8z3ncW9TTUhAbc
29,2019-06-01,Romania,MOVE_UP,2789.0,3KkXRkHbMCARz0aVfEt68P
30,2019-06-01,Romania,MOVE_UP,2719.0,2MuMD298IpYqKF367wegUd
31,2019-06-01,Romania,MOVE_UP,2718.0,2xLMifQCjDGFmkHkpNLD9h
32,2019-06-01,Romania,MOVE_UP,2715.0,43zdsphuZLzwA9k4DJhU0I
33,2019-06-01,Romania,MOVE_UP,2714.0,2qxmye6gAegTMjLKEBoR3d
34,2019-06-01,Romania,MOVE_UP,2698.0,0u2P5u6lvoDfwTYjAADbn4
35,2019-06-01,Romania,MOVE_DOWN,2675.0,2iUXsYOEPhVqEBwsqP70rE
36,2019-06-01,Romania,MOVE_UP,2666.0,7FGq80cy8juXBCD2nrqdWU
37,2019-06-01,Romania,MOVE_UP,2659.0,1nGnZ1SNJHg0qmCKZLiCgi
38,2019-06-01,Romania,MOVE_UP,2602.0,3ee8Jmje8o58CHK66QrVC2
39,2019-06-01,Romania,MOVE_DOWN,2599.0,1kK6DwzyXJSp58u5HYWwuD
40,2019-06-01,Romania,MOVE_UP,2587.0,6Qs4SXO9dwPj5GKvVOv8Ki
41,2019-06-01,Romania,MOVE_UP,2563.0,7dt6x5M1jzdTEt8oCbisTK
42,2019-06-01,Romania,MOVE_UP,2536.0,4kV4N9D1iKVxx1KLvtTpjS
43,2019-06-01,Romania,MOVE_DOWN,2536.0,59ywHNwwchG4nZJMLyxSzd
44,2019-06-01,Romania,MOVE_DOWN,2508.0,0mjAU3yKR1QnXnHtjGJqTM
45,2019-06-01,Romania,SAME_POSITION,2450.0,7COXchtUOMd6uIT6HvmRaI
46,2019-06-01,Romania,MOVE_DOWN,2444.0,05CwHjIk71RXVU40boRMnR
47,2019-06-01,Romania,MOVE_UP,2412.0,5KawlOMHjWeUjQtnuRs22c
48,2019-06-01,Romania,MOVE_UP,2412.0,0e7ipj03S05BNilyu5bRzt
49,2019-06-01,Romania,MOVE_DOWN,2369.0,36TO60sxDduIsO3xH8IcUh
50,2019-06-01,Romania,MOVE_UP,2329.0,63cd4JkwGgYJrbOizbfmsp
51,2019-06-01,Romania,MOVE_DOWN,2318.0,2gwkD6igEhQbDQegRCcdoB
52,2019-06-01,Romania,MOVE_UP,2300.0,5IaHrVsrferBYDm0bDyABy
53,2019-06-01,Romania,MOVE_UP,2277.0,4cet1h6g3gmjvd0kloLWp1
54,2019-06-01,Romania,MOVE_UP,2260.0,2VxeLyX666F8uXCJ0dZF8B
55,2019-06-01,Romania,MOVE_UP,2231.0,0JP9xo3adEtGSdUEISiszL
56,2019-06-01,Romania,MOVE_DOWN,2225.0,4MsUsFfWseB9M2plGJyuIw
57,2019-06-01,Romania,MOVE_DOWN,2225.0,2JvzF1RMd7lE3KmFlsyZD8
58,2019-06-01,Romania,MOVE_DOWN,2220.0,3M9Apu4OZfylLTFKvgEtKa
59,2019-06-01,Romania,MOVE_UP,2143.0,7njKgVl3AnLflRad38o7AG
60,2019-06-01,Romania,MOVE_UP,2130.0,4fOLGzoWLkD10KeG1MpCw3
61,2019-06-01,Romania,MOVE_DOWN,2119.0,3y3brCCecHC3Db18aIOnny
62,2019-06-01,Romania,MOVE_UP,2087.0,2QrXzOqLCVDRZHkToA0tSR
63,2019-06-01,Romania,MOVE_DOWN,2087.0,1rqqCSm0Qe4I9rUvWncaom
64,2019-06-01,Romania,MOVE_UP,2086.0,4w8niZpiMy6qz1mntFA5uM
65,2019-06-01,Romania,MOVE_UP,2033.0,3XF5xLJHOQQRbWya6hBp7d
66,2019-06-01,Romania,MOVE_DOWN,2007.0,3Fj47GNK2kUF0uaEDgXLaD
67,2019-06-01,Romania,MOVE_DOWN,2002.0,5JEx7HbmvHQQswJCsoo9rA
68,2019-06-01,Romania,MOVE_UP,1981.0,1DFD5Fotzgn6yYXkYsKiGs
69,2019-06-01,Romania,MOVE_UP,1978.0,5icOoE6VgqFKohjWWNp0Ac
70,2019-06-01,Romania,MOVE_DOWN,1960.0,1hrvlGX3liDkT1VsSL9uDN
71,2019-06-01,Romania,MOVE_UP,1928.0,0E9ZjEAyAwOXZ7wJC0PD33
72,2019-06-01,Romania,MOVE_UP,1917.0,2P91MQbaiQOfbiz9VqhqKQ
73,2019-06-01,Romania,MOVE_DOWN,1892.0,6TqXcAFInzjp0bODyvrWEq
74,2019-06-01,Romania,MOVE_UP,1890.0,0FZ4Dmg8jJJAPJnvBIzD9z
75,2019-06-01,Romania,MOVE_DOWN,1887.0,0uUNN1nSoUx1A4fkDCWDQ7
76,2019-06-01,Romania,MOVE_UP,1869.0,13IV0k1kmGYPSwUPevCCY0
77,2019-06-01,Romania,MOVE_DOWN,1852.0,0B9AFbKjQvLy0xUFWwakNr
78,2019-06-01,Romania,MOVE_UP,1850.0,285pBltuF7vW8TeWk8hdRR
79,2019-06-01,Romania,MOVE_UP,1850.0,1SKoHXqVNiibNnr3Otg5LU
80,2019-06-01,Romania,MOVE_DOWN,1849.0,1QVYDQmJSBpQ1vnO5euZMk
81,2019-06-01,Romania,MOVE_UP,1823.0,1wJRveJZLSb1rjhnUHQiv6
82,2019-06-01,Romania,MOVE_DOWN,1822.0,2BgEsaKNfHUdlh97KmvFyo
83,2019-06-01,Romania,MOVE_UP,1818.0,3e9HZxeyfWwjeyPAMmWSSQ
84,2019-06-01,Romania,MOVE_UP,1818.0,7m9OqQk4RVRkw9JJdeAw96
85,2019-06-01,Romania,MOVE_UP,1797.0,0pqnGHJpmpxLKifKRmU6WP
86,2019-06-01,Romania,MOVE_UP,1766.0,5qmq61DAAOUaW8AUo8xKhh
87,2019-06-01,Romania,NEW_ENTRY,1764.0,1VsqQEYObJsOPaeZwEXRPg
88,2019-06-01,Romania,MOVE_UP,1759.0,7GakOojqwoTbHHdfRfxkt0
89,2019-06-01,Romania,MOVE_UP,1758.0,5QiNbIilmMiMBXvaAlf7lN
