rank,date,region,trend,streams,track_id
1,2020-08-01,Russia,SAME_POSITION,92392.0,2E5NGLtMqDmeijWcntP8Ca
2,2020-08-01,Russia,MOVE_UP,46912.0,6qWaZ2KzYhyrv1ILuAcIIv
3,2020-08-01,Russia,MOVE_DOWN,43838.0,2BD7MibNCR18T81p9eP5a9
4,2020-08-01,Russia,MOVE_UP,39507.0,6Y6J8CNHtOuklPhVnvmnm1
5,2020-08-01,Russia,MOVE_DOWN,39214.0,1GOiMxQXZUzjzH0Sxpck0B
6,2020-08-01,Russia,SAME_POSITION,37748.0,0VjIjW4GlUZAMYd2vXMi3b
7,2020-08-01,Russia,MOVE_UP,32020.0,6o92Z50qYohU4Q03xbMneu
8,2020-08-01,Russia,SAME_POSITION,31834.0,5rsylaCMgQ5q5IjrZBGm8q
9,2020-08-01,Russia,MOVE_UP,28256.0,5m5rShfBQk4UpG7vpsEKzf
10,2020-08-01,Russia,MOVE_UP,28151.0,2MdloxY70RQRuhtfXIzdWJ
11,2020-08-01,Russia,MOVE_DOWN,28131.0,41bGn6u78I8eNZg86tx3vp
12,2020-08-01,Russia,MOVE_DOWN,27509.0,2ygvZOXrIeVL4xZmAWJT2C
13,2020-08-01,Russia,SAME_POSITION,27129.0,19guFw87TvSkoxnC9EBu2Y
14,2020-08-01,Russia,SAME_POSITION,27106.0,5ct1HcejSSMlu6vCyWGNXM
15,2020-08-01,Russia,MOVE_UP,26954.0,6PBVlqjvNb26dYZOFKTX51
16,2020-08-01,Russia,MOVE_DOWN,25606.0,7ytR5pFWmSjzHJIeQkgog4
17,2020-08-01,Russia,SAME_POSITION,25428.0,6Rt9Ke6dOKwQSDHQsUETfp
18,2020-08-01,Russia,SAME_POSITION,24792.0,02mPTM1usfKo8tsTGEJuuk
19,2020-08-01,Russia,MOVE_UP,23320.0,5kz9d0Cxx7RK8PjRLlWnAt
20,2020-08-01,Russia,SAME_POSITION,23063.0,3vAn0qZzdyuHamcrpkfiX3
21,2020-08-01,Russia,MOVE_UP,20924.0,15epnOVXX9PRB7A6z3YtZV
22,2020-08-01,Russia,MOVE_UP,19244.0,5jKFnadawzHXGWiLBeboas
23,2020-08-01,Russia,SAME_POSITION,19153.0,2fIBmScNzkGmSJ3y2XsmEI
24,2020-08-01,Russia,MOVE_UP,18946.0,4U18T8waKsJDbQaOdINByr
25,2020-08-01,Russia,MOVE_UP,18423.0,4mTPviBGRgjPxeaQFnBDW3
26,2020-08-01,Russia,MOVE_UP,18112.0,466cKvZn1j45IpxDdYZqdA
27,2020-08-01,Russia,MOVE_UP,18066.0,5M2su06vvCxNYWkYktVmwC
28,2020-08-01,Russia,SAME_POSITION,18048.0,1qtmO3AkZ2OBrPaxnaKnS6
29,2020-08-01,Russia,MOVE_UP,17972.0,0OukVtUSfeSV8Mr7otfyMZ
30,2020-08-01,Russia,MOVE_UP,17938.0,6UelLqGlWMcVH1E5c4H7lY
31,2020-08-01,Russia,MOVE_DOWN,17919.0,1mtsSGjgiNaWUt5ZyVCQQN
32,2020-08-01,Russia,MOVE_DOWN,17808.0,1hfISzdAwnywAKxaSpfloo
33,2020-08-01,Russia,MOVE_UP,17378.0,0yJF3zE5pxzNoK9kZl5Ru2
34,2020-08-01,Russia,SAME_POSITION,16960.0,272fe0z4cll7gJM3G8HFA8
