rank,trend,streams,track_id
1,SAME_POSITION,14409.0,5x6FYvmEwCwn8OLb6GQD0Z
2,SAME_POSITION,13171.0,6NEJSZxzjuL72aheHI6lyY
3,SAME_POSITION,11206.0,4YX2GxGnSl5om1hp7JxwH4
4,MOVE_UP,9523.0,7xdkI2IozMVjRQgYmNZCBk
5,MOVE_DOWN,8885.0,5iz2mZPb0FiXOG9X1TTfRW
6,MOVE_UP,8432.0,7hxHWCCAIIxFLCzvDgnQHX
7,MOVE_UP,8343.0,3tjFYV6RSFtuktYl3ZtYcq
8,MOVE_UP,8211.0,35mvY5S1H3J2QZyna3TFe0
9,MOVE_DOWN,8055.0,6X71TVbV0PJEb6G7wxU9GF
10,MOVE_DOWN,7887.0,0t1kP63rueHleOhQkYSXFY
11,MOVE_DOWN,7112.0,0TBgkcyxayUBByqDt0HhNR
12,MOVE_UP,6116.0,0VjIjW4GlUZAMYd2vXMi3b
13,MOVE_UP,5822.0,7eJMfftS33KTjuF7lTsMCx
14,MOVE_DOWN,5754.0,4ZU4yHDLZcMcy8BF6Y89fu
15,MOVE_UP,5667.0,0PvFJmanyNQMseIFrU708S
16,MOVE_UP,5345.0,2rRJrJEo19S2J82BDsQ3F7
17,MOVE_UP,5308.0,0nbXyq5TXYPCO7pr3N8S4I
18,MOVE_DOWN,5270.0,6gBFPUFcJLzWGx4lenP6h2
19,MOVE_DOWN,5111.0,725MeomdTm3bEr07Mzhgma
20,MOVE_DOWN,5105.0,3eekarcy7kvN4yt5ZFzltW
21,MOVE_UP,5069.0,0u2P5u6lvoDfwTYjAADbn4
22,MOVE_DOWN,4943.0,7ytR5pFWmSjzHJIeQkgog4
23,MOVE_UP,4793.0,1tkg4EHVoqnhR6iFEXb60y
24,MOVE_DOWN,4761.0,2xLMifQCjDGFmkHkpNLD9h
25,MOVE_UP,4747.0,2GtPTYKyAi6qWJKJ8fOY8K
26,MOVE_UP,4719.0,1rgnBhdG2JDFTbYkYRZAku
27,MOVE_DOWN,4670.0,1FpVJ7HpZInE2GvhVE2TwT
28,MOVE_UP,4666.0,3apeXzypBMnUfYcZYNX6DH
29,MOVE_UP,4576.0,3GbDscVBvaX0BUBahzsNWS
30,MOVE_DOWN,4564.0,6zKRAoVTjxGaXYxUdSTUHB
31,MOVE_DOWN,4459.0,466cKvZn1j45IpxDdYZqdA
32,MOVE_UP,4394.0,4Ws314Ylb27BVsvlZOy30C
33,MOVE_UP,4348.0,4Oun2ylbjFKMPTiaSbbCih
34,MOVE_DOWN,4220.0,6mwaAeZONHdnqokoNj7fV0
35,MOVE_DOWN,4139.0,09VO2zkcp0Fep3LUfJAEEq
36,MOVE_UP,4137.0,6Im9k8u9iIzKMrmV7BWtlF
37,MOVE_UP,4080.0,4y4spB9m0Q6026KfkAvy9Q
38,MOVE_DOWN,4023.0,4UKCKdYiLN6IMA5ZESUTL7
39,MOVE_DOWN,3942.0,5Aigt44wICHJ2BDshPZqvh
40,MOVE_DOWN,3858.0,36sx8WcX9rvzKmIPqPVRVU
41,MOVE_UP,3785.0,45bE4HXI0AwGZXfZtMp8JR
42,MOVE_DOWN,3782.0,0pqnGHJpmpxLKifKRmU6WP
43,MOVE_UP,3741.0,22LAwLoDA5b4AaGSkg6bKW
44,MOVE_DOWN,3715.0,2Wo6QQD1KMDWeFkkjLqwx5
45,MOVE_DOWN,3671.0,2qxmye6gAegTMjLKEBoR3d
46,MOVE_DOWN,3633.0,39Yp9wwQiSRIDOvrVg7mbk
47,MOVE_UP,3607.0,2SAqBLGA283SUiwJ3xOUVI
48,MOVE_UP,3555.0,4SFknyjLcyTLJFPKD2m96o
49,MOVE_UP,3539.0,4JUPEh2DVSXFGExu4Uxevz
50,MOVE_DOWN,3425.0,0JP9xo3adEtGSdUEISiszL
51,MOVE_DOWN,3423.0,3ee8Jmje8o58CHK66QrVC2
52,MOVE_UP,3419.0,7qEHsqek33rTcFNT9PFqLf
53,MOVE_UP,3372.0,5u1n1kITHCxxp8twBcZxWy
54,MOVE_DOWN,3320.0,3hPbdPIXZPpyywSxnKNtYh
55,MOVE_UP,3292.0,1XnpzbOGptRwfJhZgLbmSr
56,MOVE_DOWN,3283.0,2YKeexcZTaMatMTfts9SmG
57,MOVE_UP,3276.0,6FZDfxM3a3UCqtzo5pxSLZ
58,MOVE_UP,3245.0,3S8xQX5cpvL1QHKX5109i4
59,MOVE_DOWN,3174.0,3oGUMQ4n2m6dP6qafNePth
60,MOVE_DOWN,3167.0,5GkQIP5mWPi4KZLLXeuFTT
61,MOVE_UP,3165.0,6OqrJqDMu15AGJHJazg9Nr
62,MOVE_DOWN,3164.0,1Ve2rewb3XI25SNwyqPOmY
63,MOVE_UP,3128.0,7B3z0ySL9Rr0XvZEAjWZzM
64,MOVE_DOWN,3063.0,1yHv6JilviCyhxRH46NO65
65,MOVE_UP,2993.0,1Cm3f5zjPhCrR0VqodoJhK
66,MOVE_DOWN,2987.0,2h8nveBGqqBD8ctxTtm9rs
67,MOVE_UP,2983.0,3H7ihDc1dqLriiWXwsc2po
68,MOVE_UP,2865.0,6juLaduD4STCUDWT0AYun4
69,MOVE_UP,2861.0,696DnlkuDOXcMAnKlTgXXK
70,MOVE_DOWN,2831.0,3IJYUaN3tx04S4TYyZHKoP
71,MOVE_UP,2814.0,285pBltuF7vW8TeWk8hdRR
72,MOVE_UP,2780.0,6HlE9t71z9DjGi7KqSyEpA
73,MOVE_DOWN,2764.0,3Wt5IFvhu1JROjvsHh16am
74,MOVE_UP,2738.0,6UelLqGlWMcVH1E5c4H7lY
75,MOVE_DOWN,2737.0,2QwCuzRvItl9plyEOdEqjj
76,MOVE_DOWN,2736.0,4VZH6OfxPy1nNE7KbtVKyK
77,MOVE_DOWN,2703.0,1fLrPuVJlEn1YjBwZFUw2i
78,MOVE_DOWN,2685.0,4SF6S1UUsTes8qQfpnnOWB
79,MOVE_UP,2683.0,67xDfUqOQz5YmLGyM7UAJA
80,MOVE_DOWN,2666.0,4ZLzoOkj0MPWrTLvooIuaa
81,MOVE_UP,2618.0,0AUyNF6iFxMNQsNx2nhtrw
82,MOVE_UP,2580.0,59qrUpoplZxbIZxk6X0Bm3
83,MOVE_UP,2575.0,7yUlUxwOog2hOYQpcEFeXj
84,MOVE_DOWN,2575.0,7n6tNIk7OO7Tl19lujUGh3
85,MOVE_DOWN,2574.0,7m9OqQk4RVRkw9JJdeAw96
86,MOVE_DOWN,2544.0,4jVBIpuOiMj1crqd8LoCrJ
87,MOVE_UP,2542.0,6EDO9iiTtwNv6waLwa1UUq
88,MOVE_UP,2529.0,4xqrdfXkTW4T0RauPLv3WA
89,MOVE_DOWN,2484.0,1xQ6trAsedVPCdbtDAmk0c
90,MOVE_DOWN,2475.0,6lpU2L2an038Aupgi22EUD
91,MOVE_UP,2452.0,2Y0wPrPQBrGhoLn14xRYCG
92,MOVE_UP,2434.0,6AGOKlMZWLCaEJGnaROtF9
93,MOVE_UP,2422.0,5rZlwNFl01HqLWBQGryKSm
94,MOVE_DOWN,2393.0,36vmjzpqqcH4zryJPlyHwP
95,MOVE_UP,2381.0,6v3KW9xbzN5yKLt9YKDYA2
96,MOVE_UP,2363.0,3PfIrDoz19wz7qK7tYeu62
97,MOVE_UP,2341.0,7FIWs0pqAYbP91WWM0vlTQ
98,MOVE_UP,2334.0,2Fxmhks0bxGSBdJ92vM42m
99,MOVE_UP,2300.0,7AFASza1mXqntmGtbxXprO
100,MOVE_DOWN,2293.0,2ZRo7axmMPeSVUvDbGkJah
101,MOVE_DOWN,2293.0,1cvGTIuGxxu9nJ9xzGWWg3
102,MOVE_DOWN,2290.0,35DuGNdTFqIDgv7fiiZM3A
103,SAME_POSITION,2287.0,4TgxFMOn5yoESW6zCidCXL
104,MOVE_UP,2284.0,5KCbr5ndeby4y4ggthdiAb
105,MOVE_DOWN,2283.0,3nMPlw2fMXGpbNSwZS7BBd
106,MOVE_DOWN,2271.0,0pSBuHjILhNEo55xK1zrRt
107,MOVE_DOWN,2252.0,7E1jVNoWuemqUryI4FxsVD
108,MOVE_UP,2243.0,3Z8FwOEN59mRMxDCtb8N0A
109,MOVE_DOWN,2226.0,4InPkb53JOmTmpM1njbl6A
110,MOVE_DOWN,2217.0,6MMzoShOiY3RPgnVmVsqQI
111,MOVE_UP,2210.0,7iKDsPfLT0d5mu2htfMKBZ
112,MOVE_DOWN,2192.0,0URQ9difQTMsdI0RzGdU8e
113,MOVE_UP,2186.0,22hxA7UXkb5Zajyk1WKxts
114,MOVE_UP,2166.0,5IUtvfNvOyVYZUa6AJFrnP
115,MOVE_UP,2125.0,7aGyRfJWtLqgJaZoG9lJhE
116,MOVE_UP,2122.0,1IIKrJVP1C9N7iPtG6eOsK
117,MOVE_DOWN,2115.0,7floNISpH8VF4z4459Qo18
118,MOVE_UP,2114.0,21jGcNKet2qwijlDFuPiPb
119,MOVE_DOWN,2103.0,2IBZ2ROgyUewCGCgWAp1sq
120,MOVE_UP,2103.0,2b8fOow8UzyDFAE27YhOZM
121,MOVE_DOWN,2095.0,1jLsirPDkUS2g4gnkYua58
122,MOVE_UP,2094.0,5DqdesEfbRyOlSS3Tf6c29
123,MOVE_DOWN,2091.0,4lSfFjPy7r3DFX20OFDGTa
124,MOVE_DOWN,2090.0,7wBJfHzpfI3032CSD7CE2m
125,MOVE_DOWN,2057.0,2MbdDtCv5LUVjYy9RuGTgC
126,MOVE_UP,2055.0,1K5KBOgreBi5fkEHvg5ap3
127,MOVE_UP,2035.0,2gMXnyrvIjhVBUZwvLZDMP
128,MOVE_DOWN,2032.0,5uArNfOPW1qDbtPujYtM3F
129,MOVE_UP,2023.0,7qq0EOPW4RRlqdvMBmdd73
130,MOVE_UP,2006.0,3ZCTVFBt2Brf31RLEnCkWJ
131,MOVE_UP,1998.0,45S5WTQEGOB1VHr1Q4FuPl
132,MOVE_DOWN,1998.0,14gkWVFMwdxBMyqBw1wmIg
133,MOVE_DOWN,1979.0,381kyofsIJKajRfX9iKLs8
134,MOVE_DOWN,1960.0,7MJGLlPFKG1g2p4Sa5gZog
135,MOVE_DOWN,1956.0,6gi6y1xwmVszDWkUqab1qw
136,MOVE_DOWN,1953.0,3sJaX9AOlLgZqvbyeRWNcA
137,MOVE_UP,1946.0,1hJIbOjWpid6LtnozHmzRS
138,MOVE_DOWN,1942.0,0lks2Kt9veMOFEAPN0fsqN
139,MOVE_DOWN,1936.0,3GVkPk8mqxz0itaAriG1L7
140,MOVE_DOWN,1934.0,2FP3VlH0UT5cXxqlFiAGu4
141,MOVE_DOWN,1932.0,0SgJU3shDcTiiaU6FGrxHF
142,MOVE_UP,1913.0,0AUvWawuP0ibk4SQ3sIZjk
143,MOVE_UP,1912.0,4DpNNXFMMxQEKl7r0ykkWA
144,MOVE_DOWN,1910.0,6qiiDtFAJjyEhoZVcf6ovL
145,MOVE_DOWN,1908.0,16z3kYuAo37l31BbHCsIDY
146,MOVE_UP,1905.0,3LlAyCYU26dvFZBDUIMb7a
147,MOVE_DOWN,1900.0,0EhpEsp4L0oRGM0vmeaN5e
148,MOVE_UP,1895.0,4DuUwzP4ALMqpquHU0ltAB
149,MOVE_DOWN,1887.0,7Dx9Z6Aon1qPS2N0rHSWTe
150,MOVE_UP,1881.0,7iAgNZdotu40NwtoIWJHFe
151,MOVE_UP,1881.0,73gwjnXgv7bpxPlfiRt4bi
152,MOVE_DOWN,1879.0,67JFzbhL6RGZj2WgSZbt34
153,MOVE_DOWN,1878.0,3yKoAxpBEaQt4QGWrphfcW
154,MOVE_DOWN,1840.0,0qUcpOOna3kkrwfqky85e1
155,MOVE_UP,1823.0,6ocbgoVGwYJhOv1GgI9NsF
156,MOVE_UP,1820.0,7IrxWqRBUi0fwg9tpTbOkg
157,MOVE_DOWN,1820.0,5rAUZy2eDdegBxUVYxePK2
158,MOVE_DOWN,1808.0,1uv1aff3WQJRpRgauvB37F
159,MOVE_DOWN,1806.0,3UoULw70kMsiVXxW0L3A33
160,MOVE_DOWN,1794.0,6WkJ2OK163XXS2oARUC9JM
161,MOVE_DOWN,1783.0,527k23H0A4Q0UJN3vGs0Da
162,MOVE_UP,1780.0,0e7ipj03S05BNilyu5bRzt
163,MOVE_UP,1776.0,1l7eSIzyO5n0aVHcFq1dyA
164,MOVE_UP,1738.0,3e7sxremeOE3wTySiOhGiP
165,NEW_ENTRY,1711.0,7kDUspsoYfLkWnZR7qwHZl
166,NEW_ENTRY,1711.0,1y4jsQt7MjnZhiD1L6qFBC
167,MOVE_UP,1705.0,27ycaQnQAxaPiyeg3nr2aB
168,MOVE_DOWN,1687.0,3UEnF6y5tyHVtMzldS3svp
169,MOVE_DOWN,1686.0,5pbgaFcMjRci3rHhoZuKmI
170,NEW_ENTRY,1686.0,0RiRZpuVRbi7oqRdSMwhQY
171,MOVE_DOWN,1681.0,1a4lkIOntwMbpRYByb0xYp
172,MOVE_DOWN,1680.0,6Hj9jySrnFppAI0sEMCZpJ
173,MOVE_UP,1678.0,1NUw61RX4Wtmxw7CLiP4kP
174,NEW_ENTRY,1674.0,62aP9fBQKYKxi7PDXwcUAS
175,MOVE_DOWN,1667.0,0GzmMQizDeA2NVMUaZksv0
176,NEW_ENTRY,1665.0,4HBZA5flZLE435QTztThqH
177,NEW_ENTRY,1640.0,6wQlQrTY5mVS8EGaFZVwVF
178,MOVE_DOWN,1625.0,5KawlOMHjWeUjQtnuRs22c
179,MOVE_UP,1624.0,44n97yHySt0Z9rqPaXgjCK
