rank,date,region,trend,streams,track_id
1,2020-12-01,Saudi Arabia,SAME_POSITION,19630.0,7hu2FeFvzmrNWe6ldX8iqy
2,2020-12-01,Saudi Arabia,SAME_POSITION,13191.0,3GbDscVBvaX0BUBahzsNWS
3,2020-12-01,Saudi Arabia,SAME_POSITION,11975.0,6NEJSZxzjuL72aheHI6lyY
4,2020-12-01,Saudi Arabia,MOVE_UP,10583.0,5x6FYvmEwCwn8OLb6GQD0Z
5,2020-12-01,Saudi Arabia,MOVE_DOWN,9495.0,249gnXrbfmV8NG6jTEMSwD
6,2020-12-01,Saudi Arabia,SAME_POSITION,8926.0,4saklk6nie3yiGePpBwUoc
7,2020-12-01,Saudi Arabia,SAME_POSITION,8071.0,54bFM56PmE4YLRnqpW6Tha
8,2020-12-01,Saudi Arabia,SAME_POSITION,7965.0,7hxHWCCAIIxFLCzvDgnQHX
9,2020-12-01,Saudi Arabia,MOVE_UP,7761.0,5iz2mZPb0FiXOG9X1TTfRW
10,2020-12-01,Saudi Arabia,MOVE_DOWN,7536.0,7xdkI2IozMVjRQgYmNZCBk
11,2020-12-01,Saudi Arabia,MOVE_UP,7016.0,4YX2GxGnSl5om1hp7JxwH4
12,2020-12-01,Saudi Arabia,MOVE_DOWN,6855.0,3tjFYV6RSFtuktYl3ZtYcq
13,2020-12-01,Saudi Arabia,SAME_POSITION,6422.0,35mvY5S1H3J2QZyna3TFe0
14,2020-12-01,Saudi Arabia,SAME_POSITION,6118.0,0VjIjW4GlUZAMYd2vXMi3b
15,2020-12-01,Saudi Arabia,MOVE_UP,6083.0,6X71TVbV0PJEb6G7wxU9GF
16,2020-12-01,Saudi Arabia,MOVE_DOWN,5967.0,3eekarcy7kvN4yt5ZFzltW
17,2020-12-01,Saudi Arabia,MOVE_UP,5646.0,725MeomdTm3bEr07Mzhgma
18,2020-12-01,Saudi Arabia,SAME_POSITION,5327.0,0u2P5u6lvoDfwTYjAADbn4
19,2020-12-01,Saudi Arabia,MOVE_UP,5272.0,6gBFPUFcJLzWGx4lenP6h2
20,2020-12-01,Saudi Arabia,MOVE_DOWN,5163.0,0n2moJpAEWHwaPYYjkzMDl
21,2020-12-01,Saudi Arabia,MOVE_UP,5040.0,0PvFJmanyNQMseIFrU708S
22,2020-12-01,Saudi Arabia,MOVE_DOWN,4991.0,2Oycxb8QbPkpHTo8ZrmG0B
23,2020-12-01,Saudi Arabia,MOVE_UP,4828.0,6zKRAoVTjxGaXYxUdSTUHB
24,2020-12-01,Saudi Arabia,MOVE_UP,4781.0,2xLMifQCjDGFmkHkpNLD9h
25,2020-12-01,Saudi Arabia,MOVE_UP,4554.0,4UKCKdYiLN6IMA5ZESUTL7
26,2020-12-01,Saudi Arabia,MOVE_UP,4544.0,7ytR5pFWmSjzHJIeQkgog4
