rank,date,region,trend,streams,track_id
1,2018-09-01,Singapore,SAME_POSITION,39190.0,0d2iYfpKoM0QCKvcLCkBao
2,2018-09-01,Singapore,SAME_POSITION,34035.0,4VUwkH455At9kENOfzTqmF
3,2018-09-01,Singapore,MOVE_UP,30939.0,3EPXxR3ImUwfayaurPi3cm
4,2018-09-01,Singapore,MOVE_DOWN,30657.0,7fa9MBXhVfQ8P8Df9OEbD8
5,2018-09-01,Singapore,MOVE_UP,28576.0,4keoy2fqgwGnbWlm3ZVZFa
6,2018-09-01,Singapore,MOVE_UP,27406.0,2G7V7zsVDxg1yRsu7Ew9RJ
7,2018-09-01,Singapore,MOVE_DOWN,27231.0,5OCJzvD7sykQEKHH7qAC3C
8,2018-09-01,Singapore,MOVE_UP,26721.0,2dpaYNEQHiRxtZbfNsse99
9,2018-09-01,Singapore,MOVE_DOWN,26193.0,4OafepJy2teCjYJbvFE60J
10,2018-09-01,Singapore,MOVE_DOWN,24998.0,5WvAo7DNuPRmk4APhdPzi8
11,2018-09-01,Singapore,SAME_POSITION,23757.0,3u1S1OmAUhx5DRlLrXqyp3
12,2018-09-01,Singapore,MOVE_UP,23557.0,1snWlbcbgQpJfknoI30DWG
13,2018-09-01,Singapore,MOVE_DOWN,22841.0,2CWnuF7ht55Ajyeg4WPvWu
14,2018-09-01,Singapore,MOVE_UP,22358.0,03iCbZaM4OkRR4We6wIzvx
15,2018-09-01,Singapore,MOVE_DOWN,22012.0,2BgEsaKNfHUdlh97KmvFyo
16,2018-09-01,Singapore,MOVE_UP,21928.0,2lYTJK94hb0fd1LQtb6Dhk
17,2018-09-01,Singapore,MOVE_UP,21270.0,4zRZAmBQP8vhNPf9i9opXt
18,2018-09-01,Singapore,MOVE_DOWN,21036.0,04ZTP5KsCypmtCmQg5tH9R
19,2018-09-01,Singapore,MOVE_DOWN,20011.0,3nc420PXjTdBV5TN0gCFkS
20,2018-09-01,Singapore,MOVE_UP,19109.0,5N5k9nd479b1xpDZ4usjrg
21,2018-09-01,Singapore,MOVE_UP,18730.0,60SdxE8apGAxMiRrpbmLY0
22,2018-09-01,Singapore,MOVE_DOWN,18253.0,6kPJZM97LwdG9QIsT7khp6
23,2018-09-01,Singapore,MOVE_DOWN,17822.0,2AIWoHr9DF6y4KALCBKWQS
24,2018-09-01,Singapore,SAME_POSITION,17566.0,4gB61mP4tNChn4LgfquMhi
25,2018-09-01,Singapore,MOVE_DOWN,16695.0,2iUXsYOEPhVqEBwsqP70rE
