rank,date,region,trend,streams,track_id
1,2018-01-01,Slovakia,MOVE_UP,4265.0,5h0qay449Zex9XSHxNuzm7
2,2018-01-01,Slovakia,MOVE_UP,3889.0,3OQVYq5J8poPPdz4bwr4Dr
3,2018-01-01,Slovakia,MOVE_DOWN,3843.0,7wGoVu4Dady5GV0Sv4UIsx
4,2018-01-01,Slovakia,MOVE_DOWN,3813.0,2ZkzWeBRaUDWiM1So7KBK7
5,2018-01-01,Slovakia,SAME_POSITION,3704.0,0BgPDXGfhaAXZFeROQMCxn
6,2018-01-01,Slovakia,SAME_POSITION,3387.0,6DzfYk9ABmsnihlvCsnf88
7,2018-01-01,Slovakia,MOVE_UP,3241.0,3WCByzRf6NHujImKIiImkG
8,2018-01-01,Slovakia,MOVE_UP,2756.0,7nkx7DxGFsQrhPbsGCMwGv
9,2018-01-01,Slovakia,MOVE_DOWN,2702.0,0ofbQMrRDsUaVKq2mGLEAb
10,2018-01-01,Slovakia,MOVE_UP,2647.0,0CpTq5zOL9ovKlNDDeIbqE
11,2018-01-01,Slovakia,SAME_POSITION,2579.0,5UEnHoDYpsxlfzWLZIc7LD
12,2018-01-01,Slovakia,MOVE_DOWN,2568.0,7EmGUiUaOSGDnUUQUDrOXC
13,2018-01-01,Slovakia,MOVE_DOWN,2483.0,5k38wzpLb15YgncyWdTZE4
14,2018-01-01,Slovakia,MOVE_UP,2371.0,1WN0RzTdYix811onWGueLP
15,2018-01-01,Slovakia,MOVE_UP,2339.0,0C79GptT7MtGEkGZ9umq4L
16,2018-01-01,Slovakia,MOVE_UP,2226.0,0tA8CaUGUcgJtuYyu0iWrJ
17,2018-01-01,Slovakia,MOVE_UP,2054.0,21AAld74vIZfrb4yithhSu
18,2018-01-01,Slovakia,MOVE_UP,2000.0,6mrKP2jyIQmM0rw6fQryjr
19,2018-01-01,Slovakia,MOVE_DOWN,1994.0,71bBFbfn2OBK5QwUJSLS44
20,2018-01-01,Slovakia,MOVE_UP,1932.0,6CVaAhyC2kIptmCngsSprK
21,2018-01-01,Slovakia,MOVE_DOWN,1921.0,2ekn2ttSfGqwhhate0LSR0
22,2018-01-01,Slovakia,MOVE_DOWN,1767.0,3hBBKuWJfxlIlnd9QFoC8k
23,2018-01-01,Slovakia,SAME_POSITION,1737.0,43ZyHQITOjhciSUUNPVRHc
24,2018-01-01,Slovakia,MOVE_UP,1726.0,4ovx3WoMgqeQbXqzhn9mTA
25,2018-01-01,Slovakia,MOVE_UP,1682.0,0RlplDs63PayM0CnhCtmfj
26,2018-01-01,Slovakia,MOVE_DOWN,1657.0,7qiZfU4dY1lWllzX7mPBI3
27,2018-01-01,Slovakia,MOVE_UP,1537.0,7vGuf3Y35N4wmASOKLUVVU
28,2018-01-01,Slovakia,MOVE_UP,1523.0,0tgVpDi06FyKpA1z0VMD4v
29,2018-01-01,Slovakia,MOVE_DOWN,1495.0,6QgjcU0zLnzq5OrUoSZ3OK
30,2018-01-01,Slovakia,MOVE_UP,1457.0,2nUJvBO87SkxCViQsLc9Zr
31,2018-01-01,Slovakia,SAME_POSITION,1417.0,5AEtlRudpgdT5FtNiuly6Y
32,2018-01-01,Slovakia,MOVE_DOWN,1402.0,0tKcYR2II1VCQWT79i5NrW
33,2018-01-01,Slovakia,MOVE_UP,1390.0,0OlnLZY4cmQzT6ZGttvWBM
34,2018-01-01,Slovakia,MOVE_UP,1376.0,75ZvA4QfFiZvzhj2xkaWAh
35,2018-01-01,Slovakia,MOVE_UP,1372.0,1j4kHkkpqZRBwE0A4CN4Yv
36,2018-01-01,Slovakia,MOVE_UP,1369.0,2xmrfQpmS2iJExTlklLoAL
37,2018-01-01,Slovakia,MOVE_DOWN,1347.0,1zsG4eaZmkA1dvjDDsAGLK
38,2018-01-01,Slovakia,MOVE_UP,1316.0,2DQ1ITjI0YoLFzuADN1ZBW
39,2018-01-01,Slovakia,MOVE_UP,1312.0,0OI7AFifLSoGzpb8bdBLLV
40,2018-01-01,Slovakia,MOVE_DOWN,1299.0,0Zbbxnx4SGGHoIow4PpISP
41,2018-01-01,Slovakia,MOVE_UP,1239.0,1mXVgsBdtIVeCLJnSnmtdV
42,2018-01-01,Slovakia,MOVE_UP,1229.0,1wjzFQodRWrPcQ0AnYnvQ9
43,2018-01-01,Slovakia,MOVE_UP,1170.0,6RUKPb4LETWmmr3iAEQktW
44,2018-01-01,Slovakia,MOVE_UP,1169.0,0CcQNd8CINkwQfe1RDtGV6
45,2018-01-01,Slovakia,MOVE_UP,1144.0,1bhUWB0zJMIKr9yVPrkEuI
46,2018-01-01,Slovakia,MOVE_UP,1139.0,6VpQdig9pdpTSIFItgkJV5
47,2018-01-01,Slovakia,MOVE_UP,1122.0,5yFSF6qQA1rcLsQRnBsZgb
48,2018-01-01,Slovakia,MOVE_DOWN,1089.0,2rb5MvYT7ZIxbKW5hfcHx8
49,2018-01-01,Slovakia,MOVE_UP,1083.0,7iDa6hUg2VgEL1o1HjmfBn
50,2018-01-01,Slovakia,MOVE_UP,1067.0,4V6MRo0CEAC9MwAm7dkPuL
51,2018-01-01,Slovakia,MOVE_UP,1040.0,4IWAyPf1KMq7JCyGeCjTeH
52,2018-01-01,Slovakia,MOVE_UP,1032.0,75FDPwaULRdYDn4StFN2rT
53,2018-01-01,Slovakia,MOVE_UP,1025.0,32DGGj6KlNuBr6WaqRxpxi
54,2018-01-01,Slovakia,MOVE_UP,1002.0,5Htb1uFQ1KrkFXlefS8oGj
1,2018-01-02,Slovakia,SAME_POSITION,5515.0,5h0qay449Zex9XSHxNuzm7
2,2018-01-02,Slovakia,MOVE_UP,4996.0,2ZkzWeBRaUDWiM1So7KBK7
3,2018-01-02,Slovakia,MOVE_DOWN,4865.0,3OQVYq5J8poPPdz4bwr4Dr
4,2018-01-02,Slovakia,MOVE_DOWN,4748.0,7wGoVu4Dady5GV0Sv4UIsx
5,2018-01-02,Slovakia,SAME_POSITION,4612.0,0BgPDXGfhaAXZFeROQMCxn
6,2018-01-02,Slovakia,SAME_POSITION,4360.0,6DzfYk9ABmsnihlvCsnf88
7,2018-01-02,Slovakia,SAME_POSITION,4294.0,3WCByzRf6NHujImKIiImkG
8,2018-01-02,Slovakia,MOVE_UP,3745.0,7EmGUiUaOSGDnUUQUDrOXC
9,2018-01-02,Slovakia,MOVE_DOWN,3678.0,7nkx7DxGFsQrhPbsGCMwGv
10,2018-01-02,Slovakia,MOVE_UP,3582.0,5UEnHoDYpsxlfzWLZIc7LD
11,2018-01-02,Slovakia,MOVE_UP,3471.0,5k38wzpLb15YgncyWdTZE4
12,2018-01-02,Slovakia,MOVE_DOWN,3367.0,0ofbQMrRDsUaVKq2mGLEAb
13,2018-01-02,Slovakia,MOVE_DOWN,3348.0,0CpTq5zOL9ovKlNDDeIbqE
14,2018-01-02,Slovakia,SAME_POSITION,3021.0,1WN0RzTdYix811onWGueLP
15,2018-01-02,Slovakia,SAME_POSITION,2935.0,0C79GptT7MtGEkGZ9umq4L
16,2018-01-02,Slovakia,SAME_POSITION,2795.0,0tA8CaUGUcgJtuYyu0iWrJ
17,2018-01-02,Slovakia,MOVE_UP,2777.0,6mrKP2jyIQmM0rw6fQryjr
18,2018-01-02,Slovakia,MOVE_DOWN,2697.0,21AAld74vIZfrb4yithhSu
19,2018-01-02,Slovakia,MOVE_UP,2549.0,3hBBKuWJfxlIlnd9QFoC8k
20,2018-01-02,Slovakia,SAME_POSITION,2511.0,6CVaAhyC2kIptmCngsSprK
21,2018-01-02,Slovakia,MOVE_UP,2406.0,7vGuf3Y35N4wmASOKLUVVU
22,2018-01-02,Slovakia,MOVE_DOWN,2373.0,2ekn2ttSfGqwhhate0LSR0
23,2018-01-02,Slovakia,MOVE_UP,2347.0,5AEtlRudpgdT5FtNiuly6Y
24,2018-01-02,Slovakia,SAME_POSITION,2283.0,4ovx3WoMgqeQbXqzhn9mTA
25,2018-01-02,Slovakia,SAME_POSITION,2268.0,0RlplDs63PayM0CnhCtmfj
26,2018-01-02,Slovakia,MOVE_UP,2238.0,2xmrfQpmS2iJExTlklLoAL
27,2018-01-02,Slovakia,MOVE_DOWN,2168.0,43ZyHQITOjhciSUUNPVRHc
28,2018-01-02,Slovakia,MOVE_DOWN,2152.0,71bBFbfn2OBK5QwUJSLS44
29,2018-01-02,Slovakia,SAME_POSITION,2152.0,6QgjcU0zLnzq5OrUoSZ3OK
30,2018-01-02,Slovakia,MOVE_UP,2095.0,0OlnLZY4cmQzT6ZGttvWBM
31,2018-01-02,Slovakia,MOVE_UP,1989.0,2DQ1ITjI0YoLFzuADN1ZBW
32,2018-01-02,Slovakia,MOVE_DOWN,1952.0,7qiZfU4dY1lWllzX7mPBI3
33,2018-01-02,Slovakia,MOVE_UP,1947.0,1zsG4eaZmkA1dvjDDsAGLK
34,2018-01-02,Slovakia,MOVE_DOWN,1901.0,0tKcYR2II1VCQWT79i5NrW
35,2018-01-02,Slovakia,MOVE_UP,1896.0,0Zbbxnx4SGGHoIow4PpISP
36,2018-01-02,Slovakia,MOVE_DOWN,1883.0,1j4kHkkpqZRBwE0A4CN4Yv
37,2018-01-02,Slovakia,MOVE_UP,1847.0,0OI7AFifLSoGzpb8bdBLLV
38,2018-01-02,Slovakia,MOVE_DOWN,1831.0,75ZvA4QfFiZvzhj2xkaWAh
39,2018-01-02,Slovakia,MOVE_DOWN,1829.0,0tgVpDi06FyKpA1z0VMD4v
40,2018-01-02,Slovakia,MOVE_UP,1829.0,1wjzFQodRWrPcQ0AnYnvQ9
41,2018-01-02,Slovakia,MOVE_UP,1786.0,6VpQdig9pdpTSIFItgkJV5
42,2018-01-02,Slovakia,MOVE_DOWN,1775.0,1mXVgsBdtIVeCLJnSnmtdV
43,2018-01-02,Slovakia,MOVE_UP,1755.0,1bhUWB0zJMIKr9yVPrkEuI
44,2018-01-02,Slovakia,MOVE_UP,1734.0,4V6MRo0CEAC9MwAm7dkPuL
45,2018-01-02,Slovakia,MOVE_UP,1720.0,7iDa6hUg2VgEL1o1HjmfBn
46,2018-01-02,Slovakia,MOVE_DOWN,1706.0,2nUJvBO87SkxCViQsLc9Zr
47,2018-01-02,Slovakia,MOVE_UP,1699.0,5Htb1uFQ1KrkFXlefS8oGj
48,2018-01-02,Slovakia,MOVE_DOWN,1670.0,5yFSF6qQA1rcLsQRnBsZgb
49,2018-01-02,Slovakia,MOVE_UP,1627.0,32DGGj6KlNuBr6WaqRxpxi
50,2018-01-02,Slovakia,MOVE_UP,1588.0,75FDPwaULRdYDn4StFN2rT
51,2018-01-02,Slovakia,NEW_ENTRY,1580.0,7Ed6BkggCS2KaKY5YlINaF
52,2018-01-02,Slovakia,NEW_ENTRY,1504.0,7EI6Iki24tBHAMxtb4xQN2
53,2018-01-02,Slovakia,MOVE_DOWN,1492.0,0CcQNd8CINkwQfe1RDtGV6
54,2018-01-02,Slovakia,NEW_ENTRY,1452.0,76cy1WJvNGJTj78UqeA5zr
55,2018-01-02,Slovakia,MOVE_DOWN,1443.0,6RUKPb4LETWmmr3iAEQktW
56,2018-01-02,Slovakia,NEW_ENTRY,1397.0,2OALaHcDdKkjYEpAr0Qzab
57,2018-01-02,Slovakia,NEW_ENTRY,1373.0,2z4pcBLQXF2BXKFvd0BuB6
58,2018-01-02,Slovakia,NEW_ENTRY,1341.0,4vkVvmjIiQibQ6zJnC1Q9z
59,2018-01-02,Slovakia,MOVE_DOWN,1334.0,4IWAyPf1KMq7JCyGeCjTeH
60,2018-01-02,Slovakia,NEW_ENTRY,1324.0,1Qg9jWGDkKAGZXj5v2OG59
61,2018-01-02,Slovakia,NEW_ENTRY,1308.0,42CeaId2XNlxugDvyqHfDf
62,2018-01-02,Slovakia,MOVE_DOWN,1255.0,2rb5MvYT7ZIxbKW5hfcHx8
63,2018-01-02,Slovakia,NEW_ENTRY,1224.0,7GX5flRQZVHRAGd6B4TmDO
64,2018-01-02,Slovakia,NEW_ENTRY,1176.0,3eR23VReFzcdmS7TYCrhCe
65,2018-01-02,Slovakia,NEW_ENTRY,1166.0,7KXjTSCq5nL1LoYtL7XAwS
66,2018-01-02,Slovakia,NEW_ENTRY,1159.0,3a1lNhkSLSkpJE4MSHpDu9
67,2018-01-02,Slovakia,NEW_ENTRY,1151.0,3qk4wRMDlaeagZGjSYbsOV
68,2018-01-02,Slovakia,NEW_ENTRY,1144.0,7y9iMe8SOB6z3NoHE2OfXl
69,2018-01-02,Slovakia,NEW_ENTRY,1118.0,3B54sVLJ402zGa6Xm4YGNe
70,2018-01-02,Slovakia,NEW_ENTRY,1094.0,5tz69p7tJuGPeMGwNTxYuV
71,2018-01-02,Slovakia,NEW_ENTRY,1073.0,7sO5G9EABYOXQKNPNiE9NR
72,2018-01-02,Slovakia,NEW_ENTRY,1055.0,4DTpngLjoHj5gFxEZFeD3J
73,2018-01-02,Slovakia,NEW_ENTRY,1026.0,6WbADFqMvR8N5u0BvtsWQE
74,2018-01-02,Slovakia,NEW_ENTRY,1021.0,7nZmah2llfvLDiUjm0kiyz
75,2018-01-02,Slovakia,NEW_ENTRY,1016.0,0NiXXAI876aGImAd6rTj8w
76,2018-01-02,Slovakia,NEW_ENTRY,1007.0,4iLqG9SeJSnt0cSPICSjxv
77,2018-01-02,Slovakia,NEW_ENTRY,1007.0,1x5sYLZiu9r5E43kMlt9f8
78,2018-01-02,Slovakia,NEW_ENTRY,1006.0,5Z3GHaZ6ec9bsiI5BenrbY
1,2018-01-03,Slovakia,SAME_POSITION,5539.0,5h0qay449Zex9XSHxNuzm7
2,2018-01-03,Slovakia,SAME_POSITION,4931.0,2ZkzWeBRaUDWiM1So7KBK7
3,2018-01-03,Slovakia,SAME_POSITION,4736.0,3OQVYq5J8poPPdz4bwr4Dr
4,2018-01-03,Slovakia,SAME_POSITION,4661.0,7wGoVu4Dady5GV0Sv4UIsx
5,2018-01-03,Slovakia,SAME_POSITION,4476.0,0BgPDXGfhaAXZFeROQMCxn
6,2018-01-03,Slovakia,SAME_POSITION,4342.0,6DzfYk9ABmsnihlvCsnf88
7,2018-01-03,Slovakia,SAME_POSITION,4308.0,3WCByzRf6NHujImKIiImkG
8,2018-01-03,Slovakia,MOVE_UP,3689.0,5UEnHoDYpsxlfzWLZIc7LD
