rank,trend,streams,track_id
1,SAME_POSITION,6781.0,2Fxmhks0bxGSBdJ92vM42m
2,SAME_POSITION,4632.0,6u7jPi22kF8CTQ3rb9DHE7
3,MOVE_UP,3963.0,6nDKrPlXdpomGBgAlO7UdP
4,MOVE_DOWN,3954.0,23wMuJiSOa8wDm8V2DNPPx
5,MOVE_UP,3630.0,4Sib57MmYGJzSvkW84jTwh
6,MOVE_UP,3442.0,53CJANUxooaqGOtdsBTh7O
7,MOVE_DOWN,3276.0,31Vrjyy3qFkZQs4FXUPRwV
8,MOVE_UP,3253.0,4y3OI86AEP6PQoDE6olYhO
9,MOVE_UP,3171.0,4SSnFejRGlZikf02HLewEF
10,MOVE_DOWN,3118.0,62Z5LAZLmEivgN0HR4ZXT1
11,MOVE_UP,3110.0,2VxeLyX666F8uXCJ0dZF8B
12,MOVE_DOWN,3109.0,2eaoQFzkrSHeVcGgNdFrq2
13,MOVE_UP,2999.0,6ocbgoVGwYJhOv1GgI9NsF
14,MOVE_UP,2990.0,38NJZDRqK7mBNL42Izd2Aa
15,MOVE_UP,2959.0,25sgk305KZfyuqVBQIahim
16,MOVE_DOWN,2934.0,7CcsSjtZFphpGdZt41cz4A
17,MOVE_DOWN,2898.0,61nB6dy0ai7bX2CeTfusRP
18,MOVE_DOWN,2863.0,7tpzf78yfeyEbUh5YWUU0o
19,MOVE_UP,2843.0,2RSHsoi04658QL5xgQVov3
20,MOVE_UP,2825.0,3KkXRkHbMCARz0aVfEt68P
21,MOVE_DOWN,2823.0,5tHCCWBWGXgFJWzKCuYinW
22,MOVE_UP,2779.0,43zdsphuZLzwA9k4DJhU0I
23,MOVE_DOWN,2731.0,63Otgsf01cIGkpv9h847dO
24,MOVE_DOWN,2719.0,6YQjHXT8ivjVZ8lqBqAmxf
25,MOVE_DOWN,2632.0,00MGSxcYzJb7hyeWRISbAs
26,SAME_POSITION,2609.0,5gsCLzKnLIQkZcw2ufrTDz
27,MOVE_UP,2575.0,5KawlOMHjWeUjQtnuRs22c
28,MOVE_UP,2568.0,1rqqCSm0Qe4I9rUvWncaom
29,MOVE_UP,2542.0,6MWtB6iiXyIwun0YzU6DFP
30,MOVE_DOWN,2542.0,2NfuD11QI4Z2YBASIg7vAe
31,MOVE_UP,2521.0,5WHTFyqSii0lmT9R21abT8
32,MOVE_UP,2471.0,6TqXcAFInzjp0bODyvrWEq
33,MOVE_UP,2428.0,3Fj47GNK2kUF0uaEDgXLaD
34,MOVE_UP,2391.0,5p7ujcrUXASCNwRaWNHR1C
35,MOVE_DOWN,2288.0,35RDmXJ59YYGNlv1KfTGsP
36,MOVE_UP,2286.0,2qxmye6gAegTMjLKEBoR3d
37,MOVE_DOWN,2166.0,1DOHjrGbhgzAXac1s5FfTR
38,MOVE_UP,2157.0,7COXchtUOMd6uIT6HvmRaI
39,SAME_POSITION,2098.0,2S1LebN6AXXQqJolBxlWgO
40,MOVE_UP,2083.0,3y3brCCecHC3Db18aIOnny
41,MOVE_UP,2080.0,3XF5xLJHOQQRbWya6hBp7d
42,MOVE_UP,2032.0,2H4gf1wLxvYreMj1jcaN0k
43,MOVE_UP,2028.0,2dpaYNEQHiRxtZbfNsse99
44,MOVE_UP,2020.0,7FGq80cy8juXBCD2nrqdWU
45,MOVE_UP,1987.0,5JEx7HbmvHQQswJCsoo9rA
46,MOVE_UP,1974.0,6jfEZdUJ2Yla6h7gTJgKuo
47,SAME_POSITION,1974.0,5itOtNx0WxtJmi1TQ3RuRd
48,MOVE_DOWN,1970.0,6IRdLKIyS4p7XNiP8r6rsx
49,MOVE_UP,1940.0,1NJcg626wLln4pGHpiV7mf
50,MOVE_UP,1927.0,7njKgVl3AnLflRad38o7AG
51,MOVE_UP,1916.0,7dt6x5M1jzdTEt8oCbisTK
52,MOVE_DOWN,1862.0,4n7jnSxVLd8QioibtTDBDq
53,MOVE_UP,1860.0,5icOoE6VgqFKohjWWNp0Ac
54,MOVE_DOWN,1832.0,6ntmdHcXnxQFnjFhgaInIV
55,MOVE_DOWN,1831.0,0uUNN1nSoUx1A4fkDCWDQ7
56,MOVE_UP,1830.0,1tNJrcVe6gwLEiZCtprs1u
57,MOVE_DOWN,1814.0,1rXQ7QPOWHYJD7FM1zqQVa
58,MOVE_UP,1783.0,4WzhjxvLP95y7AMDy0Atwb
59,MOVE_DOWN,1768.0,5w9c2J52mkdntKOmRLeM2m
60,MOVE_UP,1763.0,4u7EnebtmKWzUH433cf5Qv
61,MOVE_UP,1759.0,2rbDhOo9Fh61Bbu23T2qCk
62,MOVE_DOWN,1752.0,4Q8aDd3H6LF8t4eY7So9O8
63,MOVE_UP,1749.0,4NSW0Km5ZG60L8FthUebPJ
64,MOVE_UP,1714.0,2FY7b99s15jUprqC0M5NCT
65,MOVE_UP,1692.0,4kV4N9D1iKVxx1KLvtTpjS
66,MOVE_UP,1671.0,7ql71hBakyMi0Lxiq3Mugs
67,MOVE_DOWN,1670.0,1D3oQLA2xghgE1agGmDlPT
68,MOVE_DOWN,1654.0,5N3u2S8O3cm6F23FNGGPwi
69,MOVE_DOWN,1641.0,1wJRveJZLSb1rjhnUHQiv6
70,MOVE_UP,1614.0,2BgEsaKNfHUdlh97KmvFyo
71,SAME_POSITION,1604.0,4pUCKHjJ4Ijewc37rRrvHn
