rank,trend,streams,track_id
1,SAME_POSITION,5398.0,2rPE9A1vEgShuZxxzR2tZH
2,SAME_POSITION,4420.0,2dpaYNEQHiRxtZbfNsse99
3,SAME_POSITION,4185.0,5p7ujcrUXASCNwRaWNHR1C
4,MOVE_UP,3833.0,1A6OTy97kk0mMdm78rHsm8
5,MOVE_UP,3828.0,0E9ZjEAyAwOXZ7wJC0PD33
6,MOVE_DOWN,3750.0,0d2iYfpKoM0QCKvcLCkBao
7,MOVE_DOWN,3640.0,1xzBco0xcoJEDXktl7Jxrr
8,MOVE_DOWN,3622.0,2iUXsYOEPhVqEBwsqP70rE
9,MOVE_UP,3434.0,6X7PK2UQMUU36ux9pynSkV
10,MOVE_UP,3355.0,4w8niZpiMy6qz1mntFA5uM
11,MOVE_UP,3158.0,6zeeWid2sgw4lap2jV61PZ
12,SAME_POSITION,3128.0,7l3E7lcozEodtVsSTCkcaA
13,MOVE_DOWN,3062.0,2xLMifQCjDGFmkHkpNLD9h
14,MOVE_UP,3016.0,4ofwffwvvnbSkrMSCKQDaC
15,SAME_POSITION,2965.0,7dt6x5M1jzdTEt8oCbisTK
16,MOVE_DOWN,2760.0,4m5Cd9kAbIxg6t9sMrQWtk
17,MOVE_UP,2625.0,0s3nnoMeVWz3989MkNQiRf
18,MOVE_UP,2561.0,5N5k9nd479b1xpDZ4usjrg
19,MOVE_DOWN,2518.0,7fa9MBXhVfQ8P8Df9OEbD8
20,MOVE_UP,2518.0,2VxeLyX666F8uXCJ0dZF8B
21,MOVE_DOWN,2517.0,14JzyD6FlBD5z0wV5P07YI
22,MOVE_UP,2402.0,2LskIZrCeLxRvCiGP8gxlh
23,MOVE_UP,2394.0,5JEx7HbmvHQQswJCsoo9rA
24,MOVE_UP,2319.0,6GBwubUOhEQVbIaTh0QTzs
25,MOVE_DOWN,2316.0,3KLygy1YWhmrQx0GRs7IOx
26,MOVE_DOWN,2239.0,7K7MUBCnzgBAvMVW2RTWNs
27,NEW_ENTRY,2145.0,2IRZnDFmlqMuOrYOLnZZyc
28,MOVE_UP,2086.0,4VmIqdbPsBUMAxCf2nnLD3
29,MOVE_UP,2021.0,35cq4hpEziaZeR278Z0l3m
30,MOVE_UP,1985.0,5IaHrVsrferBYDm0bDyABy
31,SAME_POSITION,1976.0,14sOS5L36385FJ3OL8hew4
32,SAME_POSITION,1930.0,2E124GmJRnBJuXbTb4cPUB
33,MOVE_UP,1917.0,3EPXxR3ImUwfayaurPi3cm
34,MOVE_UP,1906.0,3ee8Jmje8o58CHK66QrVC2
35,SAME_POSITION,1881.0,2RSHsoi04658QL5xgQVov3
36,MOVE_UP,1875.0,7wC5eZcFS1Q1BsQ35DU6H4
37,MOVE_DOWN,1839.0,2P91MQbaiQOfbiz9VqhqKQ
38,MOVE_UP,1814.0,116H0KvKr2Zl4RPuVBruDO
39,MOVE_UP,1803.0,5tAa8Uaqr4VvA3693mbIhU
40,MOVE_DOWN,1778.0,1oJ8EDr2pv94IvSd6ZmDgo
41,MOVE_UP,1773.0,6jreFSOTUAViWjKyzOC4Kg
42,MOVE_UP,1763.0,6Gy7rXB6Ku5vIWC7WGWsl3
43,NEW_ENTRY,1747.0,0bYg9bo50gSsH3LtXe2SQn
44,MOVE_DOWN,1747.0,4CH66Rxcjcj3VBHwmIBj4T
45,MOVE_UP,1732.0,222B3aljXx6fFwKmFjuBED
46,MOVE_DOWN,1705.0,09IStsImFySgyp0pIQdqAc
47,MOVE_UP,1699.0,4keoy2fqgwGnbWlm3ZVZFa
48,MOVE_UP,1682.0,4jvjzW7Hm0yK4LvvE0Paz9
49,MOVE_DOWN,1679.0,2BgEsaKNfHUdlh97KmvFyo
50,MOVE_UP,1676.0,0JP9xo3adEtGSdUEISiszL
51,MOVE_UP,1670.0,5kfNriitmkNE8mUbZ7gbq8
52,MOVE_UP,1655.0,4kWO6O1BUXcZmaxitpVUwp
53,MOVE_DOWN,1650.0,0e7ipj03S05BNilyu5bRzt
54,SAME_POSITION,1642.0,0QIjsbm2fh1cJ45XO9eGqq
55,MOVE_UP,1640.0,3nc420PXjTdBV5TN0gCFkS
56,MOVE_DOWN,1634.0,0TlLq3lA83rQOYtrqBqSct
57,MOVE_UP,1612.0,4VUwkH455At9kENOfzTqmF
58,MOVE_DOWN,1611.0,25sgk305KZfyuqVBQIahim
59,MOVE_DOWN,1605.0,6LKYeyLt4G4SlZ6OJwFhVS
60,MOVE_UP,1604.0,1zB4vmk8tFRmM9UULNzbLB
61,SAME_POSITION,1568.0,2GGMabyHXnJmjY6CXhhB2e
62,MOVE_UP,1541.0,2G7V7zsVDxg1yRsu7Ew9RJ
63,NEW_ENTRY,1540.0,4iQ5gmTAzWfK8JyFC2LBox
64,MOVE_UP,1514.0,4S8d14HvHb70ImctNgVzQQ
65,MOVE_UP,1512.0,5Mm1xG5xU63Fy5j0m7jJGV
66,MOVE_DOWN,1507.0,0u2P5u6lvoDfwTYjAADbn4
67,MOVE_DOWN,1498.0,13hvHEstJ4sNbzdroPrPI3
68,MOVE_UP,1494.0,6CTWathupIiDs7U4InHnDA
69,MOVE_UP,1485.0,7tFiyTwD0nx5a1eklYtX2J
70,MOVE_DOWN,1483.0,7BKLCZ1jbUBVqRi2FVlTVw
71,SAME_POSITION,1470.0,78QR3Wp35dqAhFEc2qAGjE
72,MOVE_DOWN,1468.0,5Fla3zyOCcIRqrDoKLU0DP
73,MOVE_UP,1445.0,2qT1uLXPVPzGgFOx4jtEuo
74,MOVE_UP,1440.0,08bNPGLD8AhKpnnERrAc6G
75,MOVE_UP,1429.0,0WdGQhoAP2LBsqr5Jhit2g
76,MOVE_UP,1425.0,5WvAo7DNuPRmk4APhdPzi8
77,MOVE_UP,1419.0,0pqnGHJpmpxLKifKRmU6WP
78,NEW_ENTRY,1409.0,0lizgQ7Qw35od7CYaoMBZb
79,MOVE_UP,1389.0,1rfofaqEpACxVEHIZBJe6W
80,MOVE_UP,1388.0,4t4GLBdWYcRBwVjhqWOMoJ
81,MOVE_DOWN,1378.0,4ut5G4rgB1ClpMTMfjoIuy
82,MOVE_UP,1372.0,7qiZfU4dY1lWllzX7mPBI3
83,MOVE_DOWN,1372.0,4M3FO0ji6Lc8vwD1sgf1nc
84,MOVE_DOWN,1371.0,3NuK5xMlSlB6K2Qp16zf3h
85,MOVE_UP,1366.0,5N4erncE7kuUccm7zEmwzk
86,MOVE_UP,1363.0,4bHsxqR3GMrXTxEPLuK5ue
87,MOVE_UP,1361.0,3orcq5pRtMFWGpi2hMlAwW
88,MOVE_DOWN,1350.0,2FY7b99s15jUprqC0M5NCT
89,MOVE_DOWN,1347.0,4hQ6UGyWQIGJmHSo0J88JW
90,NEW_ENTRY,1330.0,3DnZfpfe8wLeJgzc00gKeW
91,MOVE_DOWN,1330.0,6mQLN3zRtAp6ovjusyYKrV
92,MOVE_DOWN,1327.0,60SdxE8apGAxMiRrpbmLY0
93,MOVE_DOWN,1303.0,76cy1WJvNGJTj78UqeA5zr
94,MOVE_DOWN,1288.0,6DCZcSspjsKoFjzjrWoCdn
95,MOVE_UP,1288.0,1snWlbcbgQpJfknoI30DWG
96,MOVE_UP,1279.0,4OafepJy2teCjYJbvFE60J
97,MOVE_DOWN,1276.0,04MLEeAMuV9IlHEsD8vF6A
98,MOVE_UP,1249.0,60jFTpfSeyc2oRENnaHlrw
99,MOVE_UP,1244.0,7vGuf3Y35N4wmASOKLUVVU
100,MOVE_DOWN,1238.0,0AluA5RNsa4Cx6XRhf2hWZ
101,MOVE_UP,1204.0,2374M0fQpWi3dLnB54qaLX
102,MOVE_UP,1195.0,3id2EVGKc3eFAMn9nFnB0r
103,MOVE_DOWN,1189.0,6hmhG1b4LEyNuashVvuIAo
104,NEW_ENTRY,1174.0,2FRnf9qhLbvw8fu4IBXx78
105,MOVE_UP,1174.0,4at3d5QWnlibMVN75ECDrp
106,MOVE_UP,1172.0,2xJCMIJfcNYDc5iR0sAm2O
107,MOVE_UP,1172.0,7ycWLEP1GsNjVvcjawXz3z
108,MOVE_DOWN,1171.0,0N8MGHEDAq29ip7RrlrTeN
109,MOVE_DOWN,1164.0,6SAKXCj5jyF6IgPCPbZ5ra
110,MOVE_UP,1163.0,75sTLVjlWPUTobrRE6rWLz
