rank,date,region,trend,streams,track_id
1,2021-09-01,South Africa,SAME_POSITION,28329.0,0RbW8kWozrVSIGb4V13o0o
2,2021-09-01,South Africa,MOVE_UP,24694.0,5PjdY0CKGZdEuoNab3yDmX
3,2021-09-01,South Africa,MOVE_UP,22718.0,22sG77yM0PrgIpbVKZ40yY
4,2021-09-01,South Africa,MOVE_DOWN,20980.0,0Zm7NKJgoKY6ZWwtoEUILK
5,2021-09-01,South Africa,MOVE_DOWN,20796.0,42ZrMq4BKsWDrrbMnMRYaK
6,2021-09-01,South Africa,MOVE_DOWN,20449.0,2gbMPBrBVj3CuNTLp2dHYs
7,2021-09-01,South Africa,MOVE_UP,19757.0,6PQ88X9TkUIAUIZJHW2upE
8,2021-09-01,South Africa,MOVE_UP,18835.0,1ix1dhMZI8cYXiyzHgun42
9,2021-09-01,South Africa,MOVE_DOWN,16867.0,2Rd4eJ4KwXQQn2sMSToyUM
10,2021-09-01,South Africa,MOVE_UP,16308.0,27NovPIUIRrOZoCHxABJwK
11,2021-09-01,South Africa,MOVE_DOWN,14988.0,3gWzTnziivUYzqXtnvgN8q
12,2021-09-01,South Africa,MOVE_DOWN,14107.0,4VYEnxm7lmtG5sEEbcmORB
13,2021-09-01,South Africa,MOVE_DOWN,13623.0,56JwgcQcxo08w7YXrBzrA5
14,2021-09-01,South Africa,MOVE_DOWN,13607.0,7DBFslKWQzoRgO0HBBkL3u
15,2021-09-01,South Africa,MOVE_DOWN,13313.0,73uxnSsFMeJ15POpd3zgrV
16,2021-09-01,South Africa,MOVE_DOWN,13289.0,3SYLoL8KHxdQPYIkfwmUjN
17,2021-09-01,South Africa,MOVE_DOWN,13096.0,1aF9TeHZbe6OVo9dtjPuzK
18,2021-09-01,South Africa,MOVE_DOWN,13038.0,3onYsG7nB3FwEVHYYWCrIM
19,2021-09-01,South Africa,MOVE_UP,12623.0,3Vi5XqYrmQgOYBajMWSvCi
20,2021-09-01,South Africa,MOVE_DOWN,12623.0,2ZUJsR8HEktit58X6FuPQM
21,2021-09-01,South Africa,MOVE_DOWN,12593.0,1dPNJDYuW9QAtkOpK3eBvO
22,2021-09-01,South Africa,MOVE_UP,12573.0,7Bpx2vsWfQFBACRz4h3IqH
23,2021-09-01,South Africa,MOVE_UP,12453.0,7jJhZesrKHW9ZADIDloRJp
24,2021-09-01,South Africa,MOVE_DOWN,12355.0,5YRFttxjAEgm2nq5Z2tlqK
25,2021-09-01,South Africa,MOVE_UP,11667.0,7GHKr2Fg86xWObxTnz26vK
26,2021-09-01,South Africa,MOVE_DOWN,11579.0,4IlOyxGATYUp7YVy5zrSW8
27,2021-09-01,South Africa,MOVE_DOWN,11147.0,7up5MwPUHQdv4DkzQRHRWP
28,2021-09-01,South Africa,MOVE_DOWN,10745.0,2TJ1FOCmCBkKm418MjVw5D
29,2021-09-01,South Africa,MOVE_UP,10729.0,02MWAaffLxlfxAUY7c5dvx
30,2021-09-01,South Africa,MOVE_DOWN,10268.0,2GPTiPR5db727wu1tFvFt4
31,2021-09-01,South Africa,MOVE_UP,9959.0,6Uj1ctrBOjOas8xZXGqKk4
32,2021-09-01,South Africa,MOVE_DOWN,9706.0,7f1w2rZoIf7g56McEUTh5W
33,2021-09-01,South Africa,MOVE_UP,9703.0,6RXF8afghRd2Ha6npUg8jk
34,2021-09-01,South Africa,MOVE_UP,9490.0,3DarAbFujv6eYNliUTyqtz
35,2021-09-01,South Africa,MOVE_UP,9128.0,4ZtFanR9U6ndgddUvNcjcG
36,2021-09-01,South Africa,MOVE_DOWN,8863.0,6DZz58CbF0AKw5PCKqNKcM
37,2021-09-01,South Africa,MOVE_UP,8756.0,66qOuPxn0XSg27YLKpdExn
38,2021-09-01,South Africa,MOVE_UP,8713.0,2b6nCxxqSXvv6z1VFYrvw5
39,2021-09-01,South Africa,MOVE_UP,8530.0,2Q7chNue0LxoNT4iKSyfbo
40,2021-09-01,South Africa,MOVE_UP,8195.0,4RVwu0g32PAqgUiJoXsdF8
41,2021-09-01,South Africa,MOVE_UP,8108.0,3Wrjm47oTz2sjIgck11l5e
42,2021-09-01,South Africa,MOVE_UP,7839.0,4XvcHTUfIlWfyJTRG0aqlo
43,2021-09-01,South Africa,MOVE_DOWN,7774.0,72dummgz1gSqm8faekYYQh
44,2021-09-01,South Africa,MOVE_DOWN,7711.0,1QCqedB1ibmRO9x7Ikb5LI
45,2021-09-01,South Africa,MOVE_DOWN,7651.0,34TiQsddaGhd8lmzJfxSzH
46,2021-09-01,South Africa,MOVE_UP,7628.0,67BtfxlNbhBmCDR2L2l8qd
47,2021-09-01,South Africa,MOVE_UP,7418.0,4iJyoBOLtHqaGxP12qzhQI
48,2021-09-01,South Africa,MOVE_UP,7280.0,3uUuGVFu1V7jTQL60S1r8z
49,2021-09-01,South Africa,MOVE_DOWN,7153.0,7soCc4TpT99bOhJoCiMqFN
50,2021-09-01,South Africa,MOVE_DOWN,7139.0,6f3Slt0GbA2bPZlz0aIFXN
51,2021-09-01,South Africa,MOVE_UP,7120.0,1NaxpfTsKPGG3Dpw6Fnv35
52,2021-09-01,South Africa,MOVE_UP,7084.0,2H1hYPeKgIQAp439cx7GsX
53,2021-09-01,South Africa,SAME_POSITION,7074.0,5nujrmhLynf4yMoMtj8AQF
54,2021-09-01,South Africa,MOVE_UP,7017.0,09mer8EOsqtdQ43Dqsm54m
55,2021-09-01,South Africa,MOVE_UP,6922.0,4nLJnkaFq9VNYVz1SxJsXi
56,2021-09-01,South Africa,MOVE_UP,6919.0,5M89cRY3rjyaaLLmqx80Aa
57,2021-09-01,South Africa,MOVE_DOWN,6887.0,0W6I02J9xcqK8MtSeosEXb
58,2021-09-01,South Africa,MOVE_DOWN,6805.0,3VlW71ZRJPEjd17W0bW28D
59,2021-09-01,South Africa,MOVE_DOWN,6738.0,0VjIjW4GlUZAMYd2vXMi3b
60,2021-09-01,South Africa,MOVE_DOWN,6460.0,30340WPuDKqY1g9WSpYAHY
61,2021-09-01,South Africa,MOVE_UP,6412.0,5nODRjipBlMl6SJ4ZQ6oVD
62,2021-09-01,South Africa,MOVE_UP,6358.0,3rj4UYvUttaCsXNEuEqAyy
63,2021-09-01,South Africa,MOVE_DOWN,6311.0,37BZB0z9T8Xu7U3e65qxFy
64,2021-09-01,South Africa,MOVE_DOWN,6204.0,3FAJ6O0NOHQV8Mc5Ri6ENp
65,2021-09-01,South Africa,MOVE_DOWN,6198.0,7MAibcTli4IisCtbHKrGMh
66,2021-09-01,South Africa,MOVE_DOWN,6066.0,6cx06DFPPHchuUAcTxznu9
67,2021-09-01,South Africa,MOVE_UP,6020.0,4SAp2pX61ihBLK9TRLvFqU
68,2021-09-01,South Africa,MOVE_DOWN,5960.0,6M3PsepEj5gyJoIi7Xvr7u
69,2021-09-01,South Africa,MOVE_DOWN,5776.0,7qEHsqek33rTcFNT9PFqLf
70,2021-09-01,South Africa,MOVE_UP,5461.0,4ckpR1gCb3PuoDAbEA9a66
71,2021-09-01,South Africa,MOVE_UP,5444.0,6ARmMd93cqRGYDP0XC6JH7
72,2021-09-01,South Africa,MOVE_UP,5404.0,4jPy3l0RUwlUI9T5XHBW2m
73,2021-09-01,South Africa,MOVE_UP,5402.0,0B2mXxwRJh5CTednLnXpsM
74,2021-09-01,South Africa,MOVE_DOWN,5375.0,5lAnYvAIkSDNXqfo7DyFUm
75,2021-09-01,South Africa,MOVE_DOWN,5348.0,5zFglKYiknIxks8geR8rcL
76,2021-09-01,South Africa,MOVE_DOWN,5331.0,4qu63nuBpdn0qHUHuObEj1
77,2021-09-01,South Africa,MOVE_DOWN,5301.0,6UelLqGlWMcVH1E5c4H7lY
78,2021-09-01,South Africa,MOVE_UP,5279.0,32dzOvkFzmjEPjPidQRxU4
79,2021-09-01,South Africa,MOVE_UP,5264.0,3SRoCG5Y5HDiMGVS2MOG0s
80,2021-09-01,South Africa,MOVE_DOWN,5214.0,6ft4hAq6yde8jPZY2i5zLr
81,2021-09-01,South Africa,MOVE_DOWN,5200.0,1MZtr7IH5qtjIkqrXj8WOJ
82,2021-09-01,South Africa,MOVE_DOWN,5185.0,0BGwAKW4u8kWOhWFflZxfl
83,2021-09-01,South Africa,MOVE_DOWN,5110.0,5wANPM4fQCJwkGd4rN57mH
