rank,date,region,trend,streams,track_id
1,2021-10-01,South Korea,SAME_POSITION,22521.0,3FeVmId7tL5YN8B7R3imoM
2,2021-10-01,South Korea,SAME_POSITION,15461.0,5PjdY0CKGZdEuoNab3yDmX
3,2021-10-01,South Korea,SAME_POSITION,9966.0,5eXBXreN3d1zdj6Sa8dS0u
4,2021-10-01,South Korea,SAME_POSITION,9055.0,2bgTY4UwhfBYhGT4HUYStN
5,2021-10-01,South Korea,SAME_POSITION,8364.0,75MNhvTCCKsST3YqqUiU9r
6,2021-10-01,South Korea,SAME_POSITION,7734.0,6PQ88X9TkUIAUIZJHW2upE
7,2021-10-01,South Korea,SAME_POSITION,7552.0,5Z9KJZvQzH6PFmb8SNkxuk
8,2021-10-01,South Korea,SAME_POSITION,7246.0,2zrhoHlFKxFTRF5aMyxMoQ
9,2021-10-01,South Korea,SAME_POSITION,6700.0,59c0HrzmHfyQs6LgDw5cHe
10,2021-10-01,South Korea,SAME_POSITION,6077.0,7uQZVznj0uQOGC9KhV2Mg6
11,2021-10-01,South Korea,MOVE_UP,6024.0,4iJyoBOLtHqaGxP12qzhQI
12,2021-10-01,South Korea,MOVE_UP,6017.0,03qu1u4hDyepQQi2lNxCka
13,2021-10-01,South Korea,MOVE_DOWN,5913.0,4saklk6nie3yiGePpBwUoc
14,2021-10-01,South Korea,SAME_POSITION,5754.0,4t2FIqZJORKZGSKg30SShr
15,2021-10-01,South Korea,MOVE_UP,5693.0,6SpPr7K4YQ2wp8jU6uOTmQ
16,2021-10-01,South Korea,MOVE_DOWN,5641.0,2bZIDMpzVooosmPHn0tHnd
17,2021-10-01,South Korea,MOVE_DOWN,5458.0,0e8nrvls4Qqv5Rfa2UhqmO
18,2021-10-01,South Korea,SAME_POSITION,5442.0,4iJprGt1rt5iy0sxXXaRWn
19,2021-10-01,South Korea,MOVE_UP,4864.0,6cqH1q7g5GeRVQVMK1Vc7f
20,2021-10-01,South Korea,SAME_POSITION,4694.0,3DarAbFujv6eYNliUTyqtz
21,2021-10-01,South Korea,MOVE_UP,4686.0,0dnkOK5hGUCmIJ7FDF0yHz
22,2021-10-01,South Korea,MOVE_DOWN,4460.0,3JR0ducCexKbeK47g6AHm5
23,2021-10-01,South Korea,MOVE_UP,4400.0,02MWAaffLxlfxAUY7c5dvx
