rank,trend,streams,track_id
1,SAME_POSITION,440051.0,4aWmUDTfIPGksMNLV2rQP2
2,SAME_POSITION,335603.0,7nKBxz47S9SD79N086fuhn
3,SAME_POSITION,285800.0,7qiZfU4dY1lWllzX7mPBI3
4,SAME_POSITION,231541.0,3umS4y3uQDkqekNjVpiRUs
5,SAME_POSITION,204084.0,3AEZUABDXNtecAOSC1qTfo
6,SAME_POSITION,189756.0,6mICuAdrwEjh6Y6lroV2Kg
7,SAME_POSITION,172660.0,6VHdcVbiKLYYOcMbIqBcuK
8,SAME_POSITION,164994.0,5knuzwU65gJK7IF5yJsuaW
9,SAME_POSITION,158608.0,4okba5wu9mMLXx79DXLKi3
10,SAME_POSITION,149175.0,3NdDpSvN911VPGivFlV5d0
11,SAME_POSITION,148816.0,3eR23VReFzcdmS7TYCrhCe
12,SAME_POSITION,138153.0,3QwBODjSEzelZyVjxPOHdq
13,MOVE_UP,126135.0,72jbDTw1piOOj770jWNeaG
14,MOVE_DOWN,125863.0,6rQSrBHf7HlZjtcMZ4S4bO
15,SAME_POSITION,123738.0,1AkTW13ysu0AJrwuM6UY0I
16,MOVE_UP,122904.0,3ebXMykcMXOcLeJ9xZ17XH
17,MOVE_UP,122447.0,6RUKPb4LETWmmr3iAEQktW
18,MOVE_DOWN,121777.0,5q2JbCNi4FcnglgPfxcV65
19,SAME_POSITION,115991.0,6520aj0B4FSKGVuKNsOCOi
20,MOVE_DOWN,115698.0,3dQDid3IUNhZy1OehIfYfE
21,MOVE_DOWN,111647.0,3BY2mafsbsoKGqS380Xnuz
22,MOVE_UP,107396.0,7BwJtE8KSbCQKOCTIAY3jX
23,MOVE_DOWN,105993.0,6PCUP3dWmTjcTtXY02oFdT
24,SAME_POSITION,104989.0,5hEM0JchdVzQ5PwvSfITeX
25,SAME_POSITION,100660.0,7DM4BPaS7uofFul3ywMe46
26,SAME_POSITION,95051.0,6stYbAJgTszHAHZMPxWWCY
27,SAME_POSITION,91963.0,3n58u3LOFw8mITLvfPvQBz
28,SAME_POSITION,91786.0,5J1c3M4EldCfNxXwrwt8mT
29,SAME_POSITION,90514.0,5GXAXm5YOmYT0kL5jHvYBt
30,SAME_POSITION,84856.0,20ZAJdsKB5IGbGj4ilRt2o
31,MOVE_UP,84329.0,0sXvAOmXgjR2QUqLK1MltU
32,MOVE_UP,82253.0,5uCax9HTNlzGybIStD3vDh
33,MOVE_DOWN,82216.0,6b8Be6ljOzmkOmFslEb23P
