rank,date,region,trend,streams,track_id
1,2019-12-01,Spain,SAME_POSITION,339399.0,6RyuoOJXNzlVWpfC5xQyeI
2,2019-12-01,Spain,SAME_POSITION,321495.0,7k4t7uLgtOxPwTpFmtJNTY
3,2019-12-01,Spain,SAME_POSITION,258976.0,5DxXgozhkPLgrbKFY91w0c
4,2019-12-01,Spain,SAME_POSITION,247124.0,6cy3ki60hLwimwIje7tALf
5,2019-12-01,Spain,SAME_POSITION,237873.0,59s0s39NFWScuHDbHytI14
6,2019-12-01,Spain,SAME_POSITION,231484.0,2pWOMNQJW3g2zmGjP0Vkb0
7,2019-12-01,Spain,SAME_POSITION,226258.0,37zdqI4r1gswIzczSBkRon
8,2019-12-01,Spain,MOVE_UP,216975.0,3W87IIdSOE63W0Qyhy7r2b
9,2019-12-01,Spain,SAME_POSITION,216217.0,1rgnBhdG2JDFTbYkYRZAku
10,2019-12-01,Spain,MOVE_DOWN,213915.0,2ksOAxtIxY8yElEWw8RhgK
11,2019-12-01,Spain,SAME_POSITION,186674.0,6mAN61JH0dzyZpWslS11jy
12,2019-12-01,Spain,SAME_POSITION,176121.0,40rXWke6SnXiGkSmaT8ZUr
13,2019-12-01,Spain,SAME_POSITION,168295.0,71NGDQ9vSPXm55pyWeAxKK
14,2019-12-01,Spain,SAME_POSITION,161181.0,3jbT1Y5MoPwEIpZndDDwVq
15,2019-12-01,Spain,SAME_POSITION,158935.0,7BlBVFwvbWvcwNcUarQmjk
16,2019-12-01,Spain,MOVE_UP,150405.0,6Y4PDQv4XjYjHLeLmvyOt0
17,2019-12-01,Spain,MOVE_UP,149440.0,4fj7e6Tc48Bmomwyz2Z2XC
18,2019-12-01,Spain,MOVE_DOWN,148018.0,0Cn8NxJZz7zUlsaA3rXoIU
19,2019-12-01,Spain,SAME_POSITION,136946.0,1pUq8PePQRODKRKwY2nvC8
20,2019-12-01,Spain,MOVE_UP,132638.0,0OoqRZXnSrgIUAha3iLKG1
21,2019-12-01,Spain,MOVE_UP,132537.0,5stPVcRqb4qixbafP9e8lt
22,2019-12-01,Spain,MOVE_DOWN,132426.0,7KKTnv81z6DmfPIGsZWjOW
23,2019-12-01,Spain,MOVE_UP,124356.0,1ndyl3wJCFs872XZ3ztPk6
24,2019-12-01,Spain,MOVE_UP,124288.0,27qRmG3zOWPvMYUkpPdQ1g
25,2019-12-01,Spain,MOVE_UP,122234.0,57kdZIOAaolxAjB67d2yU3
26,2019-12-01,Spain,MOVE_DOWN,120761.0,0dDboLfmRNsTBscy4j3Rnl
27,2019-12-01,Spain,MOVE_DOWN,117382.0,5Id5B3dxJZhPcV9GzgYZZe
28,2019-12-01,Spain,MOVE_UP,115165.0,6LcauUZjF1eXQrgqMUecHX
29,2019-12-01,Spain,MOVE_DOWN,114594.0,6RyaV7owmVU6fzEPE17sF1
30,2019-12-01,Spain,SAME_POSITION,114343.0,1IDFcb3cjkj2dhv3UaxX9b
31,2019-12-01,Spain,SAME_POSITION,112460.0,4o1DxRjMCHDwBiOKv88rOl
32,2019-12-01,Spain,SAME_POSITION,107131.0,1G2CAJeP7rCwOZjlSJ0Zw3
33,2019-12-01,Spain,SAME_POSITION,103666.0,2TH65lNHgvLxCKXM3apjxI
34,2019-12-01,Spain,MOVE_UP,103383.0,471HeGJPKw07MObixON0Um
35,2019-12-01,Spain,MOVE_DOWN,103347.0,1aUGxXCz9QimNkKeiJtzZ7
36,2019-12-01,Spain,MOVE_UP,103182.0,71M1szVbVYZM5M6QlIm6aC
37,2019-12-01,Spain,MOVE_DOWN,99563.0,1Xnn1TPyr5h0hpRAT4B4EA
38,2019-12-01,Spain,MOVE_DOWN,98369.0,3VPOZWtj8mM89IiRNygxgS
39,2019-12-01,Spain,MOVE_UP,94329.0,1KdwnsWOvhM53vezy5ROuf
40,2019-12-01,Spain,MOVE_DOWN,94299.0,4R8BJggjosTswLxtkw8V7P
41,2019-12-01,Spain,MOVE_UP,93129.0,3u5GmyJP2MU3tEJgyiAG2T
42,2019-12-01,Spain,MOVE_DOWN,92198.0,4bTZeO72FwMa6wKOiqoynL
43,2019-12-01,Spain,MOVE_DOWN,90537.0,6uW0PIRcyZLvkoonm763xD
44,2019-12-01,Spain,SAME_POSITION,87871.0,7754vHc34U2wQMIJFWRhVK
45,2019-12-01,Spain,MOVE_UP,85826.0,0fea68AdmYNygeTGI4RC18
46,2019-12-01,Spain,MOVE_UP,85712.0,3ZCTVFBt2Brf31RLEnCkWJ
47,2019-12-01,Spain,MOVE_DOWN,85428.0,6v3KW9xbzN5yKLt9YKDYA2
48,2019-12-01,Spain,MOVE_DOWN,82574.0,1nocRtwyNPVtGcIJqfgdzZ
49,2019-12-01,Spain,MOVE_DOWN,77102.0,6uzGmmQ4CuG9HvZktEy0LF
50,2019-12-01,Spain,SAME_POSITION,74258.0,6WrI0LAC5M1Rw2MnX2ZvEg
