rank,trend,streams,track_id
1,SAME_POSITION,129472.0,5knuzwU65gJK7IF5yJsuaW
2,MOVE_UP,121710.0,0JiVRyTJcJnmlwCZ854K4p
3,MOVE_UP,116338.0,3NdDpSvN911VPGivFlV5d0
4,MOVE_DOWN,113275.0,78rIJddV4X0HkNAInEcYde
5,MOVE_UP,105816.0,5uCax9HTNlzGybIStD3vDh
6,SAME_POSITION,95637.0,6HUnnBwYZqcED1eQztxMBN
7,MOVE_DOWN,95027.0,5GXAXm5YOmYT0kL5jHvYBt
8,MOVE_UP,91674.0,5aAx2yezTd8zXrkmtKl66Z
9,MOVE_DOWN,84260.0,4pdPtRcBmOSQDlJ3Fk945m
10,MOVE_UP,74981.0,7BKLCZ1jbUBVqRi2FVlTVw
11,MOVE_UP,73437.0,08WPvDEsHvTFuB9w8tC2OS
12,MOVE_UP,71092.0,6fujklziTHa8uoM5OQSfIo
13,MOVE_UP,67465.0,7dWJBwpPuUWqUoTZ0FXQg5
14,MOVE_DOWN,66568.0,6JV2JOEocMgcZxYSZelKcc
15,MOVE_UP,66350.0,1a5Yu5L18qNxVhXx38njON
16,MOVE_DOWN,64282.0,3EmmCZoqpWOTY1g2GBwJoR
17,MOVE_UP,63980.0,4Q4jmPHwu0wrJvqrld0FQ6
18,MOVE_DOWN,63318.0,1xznGGDReH1oQq0xzbwXa3
19,MOVE_UP,60555.0,5MFzQMkrl1FOOng9tq6R9r
20,MOVE_DOWN,59888.0,2Ae5awwKvQpTBKQHr1TYCg
21,MOVE_UP,57568.0,4b4KcovePX8Ke2cLIQTLM0
22,MOVE_DOWN,55644.0,0h4FK0CnlZ3oJnZ6quEk1P
23,MOVE_UP,54925.0,2tFgv3sLFNc088KLtjxzVa
24,MOVE_UP,52396.0,7rklm17yoayxw45lpzv5uv
25,MOVE_UP,52137.0,0prNGof3XqfTvNDxHonvdK
26,MOVE_DOWN,50902.0,6DNtNfH8hXkqOX1sjqmI7p
27,MOVE_UP,50626.0,2JjYLNDThj8rm8W5m1blwV
28,MOVE_UP,49705.0,3qaYuV5XZAwiOvGE91HhwS
29,MOVE_DOWN,49086.0,6b8Be6ljOzmkOmFslEb23P
30,MOVE_UP,46523.0,02WacdrRpm4zlP8H7X6bnQ
31,MOVE_UP,46448.0,04CttTezSnv71USiiG9mIo
32,MOVE_UP,46055.0,2sQOFwtjo6sjNoutONMyUJ
33,MOVE_DOWN,45927.0,00vk0sEfb6mr2ehwSw0Uhn
34,MOVE_UP,44892.0,343YBumqHu19cGoGARUTsd
35,MOVE_DOWN,43838.0,2CPqh63wRVscbceKcPxwvv
36,MOVE_DOWN,42915.0,0rleRAsgvRKxBVf44lmcY7
37,MOVE_UP,42709.0,1FUViuNSldssMIawrOXF2i
38,MOVE_UP,42514.0,2q83iIfEGIk8kyrdT4uYOG
39,MOVE_UP,41971.0,4TZy1wLyHec06pwgFYDh1a
40,MOVE_DOWN,41970.0,2FnUyLhe7sjXgnZlK9sc0z
41,MOVE_UP,41692.0,2BrzlUj1u1CtvaJDGIKpsP
42,MOVE_DOWN,40043.0,0ADG9OgdVTL7fgREP75BrZ
43,MOVE_DOWN,39741.0,4oUfwAQJZGPufJHHzUNByB
44,MOVE_UP,39635.0,2jfCy43LsFbCQoB6HyetlY
45,MOVE_DOWN,39474.0,1cG0umU5TKStygKsPFZ9pY
46,MOVE_UP,39239.0,5fX2oPyLCe5mBKqGDbOWqC
47,MOVE_DOWN,38151.0,2MHCiOohBZEQuLgDTPvSzF
48,MOVE_DOWN,35118.0,1OAiWI2oPmglaOiv9fdioU
49,MOVE_UP,34381.0,2rizacJSyD9S1IQUxUxnsK
50,MOVE_DOWN,33828.0,17Fd6Yb7mSbinKG8LoWfFl
51,MOVE_UP,33553.0,04DwTuZ2VBdJCCC5TROn7L
52,MOVE_UP,33118.0,4pLwZjInHj3SimIyN9SnOz
