rank,date,region,trend,streams,track_id
1,2021-07-01,Sweden,SAME_POSITION,196874.0,4hsTQQgfBnBgtBkTGKWS1G
2,2021-07-01,Sweden,SAME_POSITION,160724.0,4pt5fDVTg5GhEvEtlz9dKk
3,2021-07-01,Sweden,SAME_POSITION,154848.0,3Wrjm47oTz2sjIgck11l5e
4,2021-07-01,Sweden,MOVE_UP,149163.0,4Cz2101t2TdPKBsgb7O6dS
5,2021-07-01,Sweden,MOVE_UP,148927.0,6PQ88X9TkUIAUIZJHW2upE
6,2021-07-01,Sweden,MOVE_DOWN,147727.0,0hel3UahHwK9SfUF85M1WK
7,2021-07-01,Sweden,SAME_POSITION,145165.0,4ZtFanR9U6ndgddUvNcjcG
8,2021-07-01,Sweden,SAME_POSITION,130381.0,6iuEK9IFiwlbchU6Fg35x4
9,2021-07-01,Sweden,SAME_POSITION,128785.0,6PWTqk0c1L5ehd3tG3Zpf2
10,2021-07-01,Sweden,SAME_POSITION,115508.0,4dxeRrYgeAQ1F0uH9g04lN
11,2021-07-01,Sweden,SAME_POSITION,107625.0,1CuVhIZAAc8h360WoVJYhD
12,2021-07-01,Sweden,SAME_POSITION,103561.0,1m0UFnuTktOkksvjbF9z0m
13,2021-07-01,Sweden,SAME_POSITION,100424.0,776AftMmFFAWUIEAb3lHhw
14,2021-07-01,Sweden,MOVE_UP,99307.0,0djNuMqEv8KCVE0tUQyyrJ
15,2021-07-01,Sweden,MOVE_DOWN,93960.0,7w2sCUWVAop5sTmikAdhCD
16,2021-07-01,Sweden,SAME_POSITION,82896.0,4tGPi30jgutml0z5QgNd8Q
17,2021-07-01,Sweden,MOVE_UP,79879.0,7MC4XR9M9amdmKQr2iDF7i
18,2021-07-01,Sweden,MOVE_UP,77994.0,1CJlboHH1QfCwigjMatpxq
19,2021-07-01,Sweden,MOVE_DOWN,77744.0,3g9Bd3dzWumpEYS381Veiz
20,2021-07-01,Sweden,SAME_POSITION,77433.0,37BZB0z9T8Xu7U3e65qxFy
21,2021-07-01,Sweden,MOVE_UP,75278.0,3OUlwrGsM6xGuA66YVpeGT
22,2021-07-01,Sweden,MOVE_DOWN,74730.0,1gEC4hNi86y1Vbl7M5RjnW
23,2021-07-01,Sweden,SAME_POSITION,73132.0,2fq0dSsyewXwQsgR4w9wgT
24,2021-07-01,Sweden,MOVE_UP,72123.0,32Qea3SN5b6VydcG4ytZ4V
25,2021-07-01,Sweden,MOVE_DOWN,70723.0,4SS4YfDAEQG0fZAe1xfgn3
26,2021-07-01,Sweden,SAME_POSITION,67043.0,6FgEOsyPUWoV1ObJztFDbu
27,2021-07-01,Sweden,SAME_POSITION,64995.0,6mDcLPGVCmdhMN4gBzNb7s
28,2021-07-01,Sweden,MOVE_UP,61736.0,3IrNhMvzard7nCKgfe18IW
29,2021-07-01,Sweden,MOVE_DOWN,61562.0,2aTbJ9yyMrseRuHq9c9jY2
30,2021-07-01,Sweden,SAME_POSITION,60063.0,0UKUfxIkDAMZz7hMdiVX3m
31,2021-07-01,Sweden,MOVE_UP,59103.0,1qGPIV4FDsZAmhdrTkIU5G
32,2021-07-01,Sweden,MOVE_DOWN,59020.0,67BtfxlNbhBmCDR2L2l8qd
33,2021-07-01,Sweden,MOVE_UP,57699.0,0b18g3G5spr4ZCkz7Y6Q0Q
34,2021-07-01,Sweden,MOVE_UP,56992.0,4cG7HUWYHBV6R6tHn1gxrl
35,2021-07-01,Sweden,MOVE_DOWN,56423.0,1ZJdjsCEdolnRN83W9dWiX
36,2021-07-01,Sweden,MOVE_UP,55699.0,4iJyoBOLtHqaGxP12qzhQI
37,2021-07-01,Sweden,MOVE_DOWN,54408.0,3aIATlpQ3pnYPc7ebsBuRk
38,2021-07-01,Sweden,MOVE_DOWN,54187.0,3DarAbFujv6eYNliUTyqtz
39,2021-07-01,Sweden,MOVE_UP,53317.0,09ZI6ytqLZe1sRXLKPKZNe
40,2021-07-01,Sweden,MOVE_DOWN,52892.0,1x39ZFLN9EioPbnm85DjAT
41,2021-07-01,Sweden,SAME_POSITION,51190.0,2AfIH7lNuwcbKBBfZH3ks5
42,2021-07-01,Sweden,MOVE_UP,49606.0,5K6Ssv4Z3zRvxt0P6EKUAP
43,2021-07-01,Sweden,SAME_POSITION,49071.0,1pmGoAvlHYVrJHM5TJwshR
44,2021-07-01,Sweden,MOVE_DOWN,48870.0,32z2QHVJTOPzzczl4MjmHo
45,2021-07-01,Sweden,MOVE_DOWN,47257.0,0k4d5YPDr1r7FX77VdqWez
46,2021-07-01,Sweden,MOVE_UP,47130.0,2gwirjNHYJPlBwOJ5Aftwv
47,2021-07-01,Sweden,SAME_POSITION,45974.0,1YKR6UJR7wX1GVlfjMfW9x
48,2021-07-01,Sweden,MOVE_DOWN,45431.0,2dTCGgZ3e6kzPpYXcn0PWM
49,2021-07-01,Sweden,SAME_POSITION,45150.0,2YjWAJEES4VMcwoOWvqk08
50,2021-07-01,Sweden,SAME_POSITION,44612.0,4uDhts78RdwIDjEqPrYVKp
51,2021-07-01,Sweden,SAME_POSITION,41852.0,0VjIjW4GlUZAMYd2vXMi3b
52,2021-07-01,Sweden,SAME_POSITION,38481.0,5nujrmhLynf4yMoMtj8AQF
53,2021-07-01,Sweden,MOVE_UP,37346.0,5zxZ7M4RgWZUHlMEwac8vt
54,2021-07-01,Sweden,MOVE_DOWN,35922.0,7so58ol060zp1rKlmeSng4
