rank,date,region,trend,streams,track_id
1,2019-05-01,Switzerland,SAME_POSITION,35180.0,2Fxmhks0bxGSBdJ92vM42m
2,2019-05-01,Switzerland,SAME_POSITION,32514.0,53CJANUxooaqGOtdsBTh7O
3,2019-05-01,Switzerland,MOVE_UP,31156.0,5w9c2J52mkdntKOmRLeM2m
4,2019-05-01,Switzerland,MOVE_UP,26804.0,6nDKrPlXdpomGBgAlO7UdP
5,2019-05-01,Switzerland,MOVE_DOWN,26123.0,1x4MJYA9mJRph3fygU51K4
6,2019-05-01,Switzerland,SAME_POSITION,25122.0,6u7jPi22kF8CTQ3rb9DHE7
7,2019-05-01,Switzerland,MOVE_UP,25083.0,5WHTFyqSii0lmT9R21abT8
8,2019-05-01,Switzerland,MOVE_DOWN,23346.0,38lQ7lYhN3eSWepnZHaiBF
9,2019-05-01,Switzerland,SAME_POSITION,22538.0,3r1cV21xPMkgCmxk8VqWOB
10,2019-05-01,Switzerland,SAME_POSITION,22460.0,5iwz1NiezX7WWjnCgY5TH4
11,2019-05-01,Switzerland,SAME_POSITION,19918.0,2TIlqbIneP0ZY1O0EzYLlc
12,2019-05-01,Switzerland,MOVE_UP,19769.0,2VxeLyX666F8uXCJ0dZF8B
13,2019-05-01,Switzerland,MOVE_UP,18651.0,7uH27oIt4a6cIFCA8ZPcyG
14,2019-05-01,Switzerland,MOVE_UP,18473.0,25sgk305KZfyuqVBQIahim
15,2019-05-01,Switzerland,MOVE_DOWN,18180.0,0WGG3xWyW6AlXOaW6CHu4A
16,2019-05-01,Switzerland,MOVE_UP,18096.0,2qxmye6gAegTMjLKEBoR3d
17,2019-05-01,Switzerland,MOVE_DOWN,18033.0,5lCxlSBFyP5g4EhVypAoOu
18,2019-05-01,Switzerland,MOVE_UP,17895.0,4y3OI86AEP6PQoDE6olYhO
19,2019-05-01,Switzerland,MOVE_UP,17061.0,4Sib57MmYGJzSvkW84jTwh
20,2019-05-01,Switzerland,MOVE_DOWN,16900.0,68av1mZz0VsIYXJWATZWUW
21,2019-05-01,Switzerland,MOVE_DOWN,16096.0,5xIODxqlpUnRVA9ewZUCug
22,2019-05-01,Switzerland,MOVE_UP,15326.0,6ocbgoVGwYJhOv1GgI9NsF
23,2019-05-01,Switzerland,MOVE_UP,15122.0,1rqqCSm0Qe4I9rUvWncaom
24,2019-05-01,Switzerland,MOVE_DOWN,14758.0,1ag6DENIjtcmRFCx5JjUng
25,2019-05-01,Switzerland,SAME_POSITION,14604.0,2rbDhOo9Fh61Bbu23T2qCk
26,2019-05-01,Switzerland,MOVE_UP,14536.0,6v0lAdFF4haL8xjBIUjtOw
27,2019-05-01,Switzerland,MOVE_DOWN,14348.0,3ld409h4DdrdPJzEdeU1WS
28,2019-05-01,Switzerland,MOVE_UP,14309.0,0uUNN1nSoUx1A4fkDCWDQ7
29,2019-05-01,Switzerland,MOVE_DOWN,14199.0,2RSHsoi04658QL5xgQVov3
30,2019-05-01,Switzerland,MOVE_UP,13611.0,200cTjC6si5Xz9af2QeHi2
31,2019-05-01,Switzerland,MOVE_UP,13583.0,1rCcsYnmqbMYdkG7kS9GC5
32,2019-05-01,Switzerland,MOVE_UP,13475.0,31UjYv5vLsDkzchJOtUMtW
33,2019-05-01,Switzerland,MOVE_DOWN,13451.0,0oOPa0AlLnjCO6eci0HIdH
34,2019-05-01,Switzerland,MOVE_DOWN,13371.0,0Tq0EhQpVeQJwV3E3P5Jti
35,2019-05-01,Switzerland,MOVE_UP,13347.0,5itOtNx0WxtJmi1TQ3RuRd
36,2019-05-01,Switzerland,SAME_POSITION,13245.0,6MWtB6iiXyIwun0YzU6DFP
37,2019-05-01,Switzerland,MOVE_DOWN,13184.0,4SSnFejRGlZikf02HLewEF
38,2019-05-01,Switzerland,MOVE_UP,12611.0,43DtCXAz2qUJ4YiTX6ICT0
39,2019-05-01,Switzerland,MOVE_UP,12523.0,2jX5c5RFp0A9E1GDsvGxIa
40,2019-05-01,Switzerland,MOVE_UP,12365.0,0E9ZjEAyAwOXZ7wJC0PD33
41,2019-05-01,Switzerland,MOVE_DOWN,12130.0,43zdsphuZLzwA9k4DJhU0I
42,2019-05-01,Switzerland,MOVE_UP,11864.0,0OGNtqKkjI7FCE9HZ4Khgo
43,2019-05-01,Switzerland,MOVE_UP,11679.0,4n7jnSxVLd8QioibtTDBDq
44,2019-05-01,Switzerland,MOVE_UP,11624.0,17Xaa5Iikz9Mhqzkgg4Wy4
45,2019-05-01,Switzerland,MOVE_DOWN,11581.0,2S1LebN6AXXQqJolBxlWgO
46,2019-05-01,Switzerland,MOVE_DOWN,11539.0,7FOQJQcTDqzXZJ72hZikCl
47,2019-05-01,Switzerland,MOVE_DOWN,11324.0,0geta4Y77R76wvOVlGWnsl
48,2019-05-01,Switzerland,MOVE_UP,11243.0,0gyO8zq1Hw5GTQ33EXcc40
49,2019-05-01,Switzerland,MOVE_DOWN,11127.0,2H4gf1wLxvYreMj1jcaN0k
50,2019-05-01,Switzerland,MOVE_UP,10563.0,6jfEZdUJ2Yla6h7gTJgKuo
51,2019-05-01,Switzerland,MOVE_UP,10510.0,3WRQUvzRvBDr4AxMWhXc5E
52,2019-05-01,Switzerland,MOVE_DOWN,10506.0,3Zg80xruh2KHx3jXrkSz6u
53,2019-05-01,Switzerland,MOVE_DOWN,10500.0,5lytS4eOWjLWKad2jipjc7
54,2019-05-01,Switzerland,MOVE_UP,10224.0,3JjaofJ0lCeEsFSZqppzOp
55,2019-05-01,Switzerland,MOVE_DOWN,10222.0,5KawlOMHjWeUjQtnuRs22c
56,2019-05-01,Switzerland,MOVE_DOWN,10180.0,60yqRJXgkrPEvP977ZIOWb
