rank,trend,streams,track_id
1,SAME_POSITION,41009.0,6v3KW9xbzN5yKLt9YKDYA2
2,MOVE_UP,27081.0,70eFcWOvlMObDhURTqT4Fv
3,MOVE_DOWN,26892.0,1dGr1c8CrMLDpV6mPbImSI
4,SAME_POSITION,25262.0,3PkOwdI6mZKr63PSoKwotv
5,SAME_POSITION,22435.0,6b2RcmUt1g9N9mQ3CbjX2Y
6,MOVE_UP,21931.0,6wo37KVqFJhtuxPTpLCcfe
7,MOVE_UP,21416.0,322tcqPhma7F6hfCeLisx0
8,MOVE_DOWN,20879.0,3RauEVgRgj1IuWdJ9fDs70
9,SAME_POSITION,20393.0,0Ryd8975WihbObpp5cPW1t
10,SAME_POSITION,19517.0,2Fxmhks0bxGSBdJ92vM42m
11,SAME_POSITION,19033.0,2GJ9TC1R5yzZ2gYPKGPGyp
12,MOVE_UP,18918.0,6iNH42q8haGYDYGhKK6XiJ
13,MOVE_UP,18602.0,3Pe36EsFqHzcy1BQxWWRpC
14,MOVE_DOWN,18436.0,6vBdBCoOhKHiYDDOcorfNo
15,MOVE_DOWN,18180.0,2IAumRplFr0Ns09kKgt2je
16,SAME_POSITION,17420.0,6ZoJngyuPof3KsFhFKA5P5
17,MOVE_UP,17399.0,4VginDwYTP2eaHJzO0QMjG
18,MOVE_DOWN,16884.0,5cou0WKPqA01UCnu40WGgY
19,MOVE_UP,16770.0,1ZSleGniKMWNrWvK5cGALO
20,MOVE_DOWN,16602.0,7mCr6Rn5jx04Fisvts97Z3
21,MOVE_DOWN,16509.0,4a6q8CR2hzLk2plDkSxkfD
22,MOVE_UP,16439.0,6BL2V0CvfW9QVHm9oU4Lmk
23,MOVE_UP,15907.0,2Pb9edPBz4ei2SSuXygf1c
24,MOVE_DOWN,15876.0,7qEHsqek33rTcFNT9PFqLf
25,SAME_POSITION,15549.0,2Rk4JlNc2TPmZe2af99d45
26,MOVE_DOWN,15540.0,0hVXuCcriWRGvwMV1r5Yn9
27,MOVE_DOWN,15421.0,6RRNNciQGZEXnqk8SQ9yv5
28,MOVE_DOWN,15409.0,3707IBa4HnS3zDDoWfeUBl
29,SAME_POSITION,15371.0,44ADyYoY5liaRa3EOAl4uf
30,SAME_POSITION,14302.0,26wLOs3ZuHJa2Ihhx6QIE6
31,SAME_POSITION,14275.0,5OOzgFpKtU0SuoJUZtDCH2
32,SAME_POSITION,14269.0,2HmM5p02Q2qrYZvXJRLVx3
33,MOVE_UP,14015.0,1SllkYDv4yk2cyCNC1BajT
34,MOVE_DOWN,13995.0,2bT1PH7Cw3J9p3t7nlXCdh
35,MOVE_DOWN,13938.0,5oITtQMQgQr4jKmgToNNIJ
36,MOVE_DOWN,13851.0,5KawlOMHjWeUjQtnuRs22c
37,SAME_POSITION,13815.0,5Gip2UwE4f8L4MQWsvcvfA
38,MOVE_UP,13604.0,6XY80Ofqd8j0SGiEdRLwCp
39,MOVE_DOWN,13292.0,2BgEsaKNfHUdlh97KmvFyo
40,MOVE_DOWN,13281.0,0bIbgooxvBkww2ZGeu8VMR
41,MOVE_DOWN,13253.0,1SNiXDwSilLujcYdvfqVpT
42,SAME_POSITION,13231.0,7J6wLr8qRqLPMeOZlR54NM
43,MOVE_DOWN,13189.0,37BXaP8wCJrH0M3AdtSNyk
44,SAME_POSITION,12648.0,7fjGyTWookViY8LlvjqpVq
45,SAME_POSITION,12467.0,7EoyERNueJuFlQbyrRB0US
46,MOVE_UP,12137.0,0g2XnkKghVN22yze1gTJzl
47,MOVE_UP,12042.0,2VxeLyX666F8uXCJ0dZF8B
48,MOVE_DOWN,11769.0,4NmE2ytXI8S2svTRSmEdpO
49,MOVE_DOWN,11708.0,2uHMTG5xr9Xk7MrXIWrVUH
50,SAME_POSITION,11605.0,1rBNaat7Ll5ROj2Fwb026e
51,MOVE_UP,11301.0,7cE5ehlKJ3L9Ejhzm3udcF
52,MOVE_UP,11106.0,1ZLrDPgR7mvuTco3rQK8Pk
53,MOVE_DOWN,11058.0,3pHkh7d0lzM2AldUtz2x37
54,SAME_POSITION,11055.0,6EOKwHETwSkZ9gW2b6ASE0
55,MOVE_DOWN,11000.0,7BgO5vZaywxKoHPUBdEzrr
56,MOVE_UP,10862.0,2LoGv4HSbilp1SVoQ10Qw6
57,MOVE_DOWN,10807.0,4vUmTMuQqjdnvlZmAH61Qk
58,SAME_POSITION,10741.0,75Rm8fulB9P9O6F7hdXNcE
59,MOVE_UP,10648.0,4F7ZAsndEIJXyFzJUHNlRu
60,MOVE_UP,10384.0,0TMGV2zMZXOILVtQLtkI3G
61,MOVE_DOWN,10259.0,2YpeDb67231RjR0MgVLzsG
62,MOVE_DOWN,10244.0,615gGVIbH6KEwchWKcFlfs
63,MOVE_UP,10155.0,7COXchtUOMd6uIT6HvmRaI
64,MOVE_UP,10116.0,7jull1gaxsZER8FpByefNk
65,MOVE_UP,9834.0,0mjAU3yKR1QnXnHtjGJqTM
66,MOVE_UP,9790.0,5PYQUBXc7NYeI1obMKSJK0
67,MOVE_UP,9773.0,3BBahK6YhmPosOymF45cMu
68,MOVE_UP,9689.0,33LJXFLqeifw9YxsVoeOgM
69,MOVE_UP,9600.0,3KkXRkHbMCARz0aVfEt68P
70,MOVE_UP,9481.0,3YAEHjR8nRsMMNHcdIpSIn
71,MOVE_DOWN,9426.0,3yNZ5r3LKfdmjoS3gkhUCT
72,MOVE_DOWN,9399.0,1w4etUoKfql47wtTFq031f
73,MOVE_UP,9355.0,0cONHWTIfgEpAuVwbbwGgc
74,MOVE_UP,9288.0,0BuTVSIbiQGdxW7njjKng7
75,MOVE_DOWN,9178.0,6439IQyiZV5I7aOo8UREgm
76,MOVE_UP,9173.0,78XpXhSG9ZutKcFALbx2Tx
77,MOVE_UP,9089.0,25sQT3yCEgd1uE6LC9ivcs
78,MOVE_DOWN,9086.0,22vgEDb5hykfaTwLuskFGD
79,MOVE_UP,9071.0,6ocbgoVGwYJhOv1GgI9NsF
80,MOVE_DOWN,9025.0,1rgnBhdG2JDFTbYkYRZAku
81,MOVE_UP,8930.0,1bkvGbgK4HU8B7Ue4k7O7I
82,MOVE_DOWN,8879.0,1BxfuPKGuaTgP7aM0Bbdwr
83,MOVE_UP,8846.0,4tGo8louHXYYJZT4dUuUyk
84,MOVE_DOWN,8844.0,6sWd8ZAH5bWWyjwb7ZV2Zb
85,MOVE_UP,8799.0,5ZaPc3ILOQT4Qc26AZe9od
86,MOVE_UP,8777.0,3NNDJfWMGHuNpvHWTImmlW
87,SAME_POSITION,8767.0,2FXd6kKCtBIc6UfN1gH1pA
88,MOVE_DOWN,8748.0,1iWHabUgUuuKLBa0TzTHfk
89,MOVE_DOWN,8663.0,7KhHA3mzt7A3LFlOJEAKpI
90,MOVE_UP,8488.0,6kabSi7XCHHGThNme6J2tL
91,MOVE_DOWN,8449.0,4hPpVbbakQNv8YTHYaOJP4
92,MOVE_DOWN,8447.0,0yYwS7CXKIPC4kWPvZQfsT
93,MOVE_DOWN,8434.0,4be0YopWjDRX6XosB03GWG
94,MOVE_UP,8405.0,6OuBzoZm0GHYzPNGlvB3yx
95,SAME_POSITION,8294.0,0VsGaRXR5WAzpu51unJTis
96,SAME_POSITION,8209.0,0Uf0SvwUrf02ucIt1d0Wos
97,MOVE_UP,8083.0,50ZM3drEKbAIKDfrbRYvX8
98,MOVE_DOWN,7872.0,2GdxQw8NwoeH8tKySg6nym
99,MOVE_UP,7872.0,76WthWB0v0KXUHZoAclMVV
100,MOVE_DOWN,7846.0,5N1o6d8zGcSZSeMFkOUQOk
101,SAME_POSITION,7838.0,5i2JGF65pHKSfMEjSMrBC3
102,MOVE_UP,7641.0,66LKcDWIHdqWEaviZhcMTx
103,MOVE_DOWN,7552.0,6fTt0CH2t0mdeB2N9XFG5r
104,SAME_POSITION,7529.0,1ivCIgrYZyE0BvItL4Z8lk
105,MOVE_UP,7477.0,2gug6MRv4xQFYi9LA3PJCS
106,SAME_POSITION,7435.0,3xaJcOD4T0U8m1AVvIoZIG
107,MOVE_UP,7366.0,4TBwa15Vggx7kYNLp7H3k4
108,MOVE_UP,7265.0,5kZDxLcbqglZ2yYXg4Mkjc
109,MOVE_DOWN,7201.0,5o48kuQnPwhuRAzO2t0bCU
110,SAME_POSITION,7145.0,4a5FvWpFaCs3YOzEnnpgR0
111,MOVE_DOWN,6925.0,40OMBMYRk5IQL6xCzGM0JA
112,SAME_POSITION,6898.0,6XTDYHfU1eRG1VrK7VHQnZ
113,MOVE_DOWN,6886.0,0rIAC4PXANcKmitJfoqmVm
114,SAME_POSITION,6810.0,3CE1HoJJ0FVKo7JHsWIuvC
115,MOVE_UP,6501.0,6LunoYd3xpZ19sICOXS8Xd
116,MOVE_UP,6492.0,4jp4Z02kzzg8gK0NmDGgml
117,MOVE_UP,6485.0,1Ixyt62gP3tJN5DnF1tM5C
118,MOVE_UP,6456.0,7zyYmIdjqqiX6kLryb7QBx
119,MOVE_DOWN,6408.0,43rA71bccXFGD4C8GOpIlN
120,MOVE_DOWN,6368.0,6kls8cSlUyHW2BUOkDJIZE
121,MOVE_DOWN,6340.0,13AruKdh8wJhWx6i5dV8X1
122,MOVE_UP,6307.0,1q3C6brbmRrULTyo2mseKF
123,MOVE_DOWN,6242.0,07MNtfddtgCo6VrUm3O9dw
124,MOVE_UP,6229.0,5EXpL9orGpIsscSyBgPdSx
125,MOVE_DOWN,6175.0,6RUKPb4LETWmmr3iAEQktW
126,MOVE_UP,6174.0,0VqSdtXseb9khdZrnYVyM1
127,MOVE_DOWN,6152.0,7z2M7DsEjZjwXBkWG3zd21
128,MOVE_UP,5958.0,09WBa0t2no2UWt9XG3V5KU
129,MOVE_UP,5738.0,7fftC401ke4BzA3ucPIXES
130,MOVE_DOWN,5637.0,5ZiMscIUd9Gozq4JFPnlJQ
131,MOVE_UP,5610.0,4vBoopG4WzohMju1GUmwoi
132,MOVE_UP,5552.0,5FGzM47D9MUa0y7qb2D0Ix
133,MOVE_UP,5547.0,6WoQzK5Exbfcmow1AoNRkl
134,MOVE_DOWN,5528.0,3AELekbTKiyQewHcJcEgSU
135,MOVE_UP,5526.0,4aqlkDLLgTEdIzd6c93FFh
136,MOVE_UP,5516.0,07DWACsD58aEdq6XnDadLh
137,MOVE_DOWN,5476.0,0DCXNoop0obcYd1sccxjsD
138,MOVE_UP,5431.0,2CTAAr1Hd21pEvyjxUHHGC
139,MOVE_UP,5402.0,6mO5fCJKvB9tr5RAFvBO7z
140,MOVE_UP,5375.0,1JBs3pMTNgz0t8FEIVV5t5
141,MOVE_UP,5373.0,2IfSPLPDW6RGosdB5huwAA
142,MOVE_DOWN,5370.0,7qiZfU4dY1lWllzX7mPBI3
143,MOVE_UP,5357.0,4nyO1azSuhT5JrETvzEahs
144,MOVE_UP,5307.0,24fE1RdchWovY3MiwALEfV
145,MOVE_UP,5305.0,6ym1AfJcqGuu7TLxQIfl0m
146,MOVE_UP,5301.0,6zH8Y1jVv8HCPMTjLZQO94
147,MOVE_UP,5258.0,1ZeVIrCWzEmsJexkrgvjFv
148,MOVE_DOWN,5255.0,7DROS9S2VFY1ehft1DdqOL
149,MOVE_DOWN,5246.0,3RIgHHpnFKj5Rni1shokDj
150,MOVE_DOWN,5169.0,5CT7EBLhretfS6JuXEIMau
151,MOVE_DOWN,5142.0,447anYXT2ONrCfw3PlXLWV
152,MOVE_UP,5036.0,5icOoE6VgqFKohjWWNp0Ac
153,MOVE_DOWN,5019.0,4JFZsWTrCwk45XbRioOYiC
154,MOVE_DOWN,5017.0,6OAUhxFZzaRHHC8XiuIkvb
155,MOVE_UP,5014.0,25sgk305KZfyuqVBQIahim
156,MOVE_DOWN,4982.0,18uwL0vNUanqZH0ro2QcOP
157,MOVE_UP,4980.0,3eng6TJxpqjvDkxRpnfnhB
158,MOVE_DOWN,4971.0,25pWemriUQVrZ3yIiS2IBf
159,MOVE_DOWN,4941.0,7vWbERTWGCiu6fil02e9kj
160,MOVE_UP,4913.0,4pUCKHjJ4Ijewc37rRrvHn
161,SAME_POSITION,4899.0,4JrGpUQothsSVR6iBhR9NC
162,SAME_POSITION,4898.0,6vaDtpLtwuSY1H3KHWuRmB
163,MOVE_UP,4890.0,15xWRPHQMeqgdkGzInx3PY
164,MOVE_UP,4867.0,2eOpn0ix5JGf47vUBUqZnV
165,MOVE_UP,4854.0,4mDGkFRAqaYosoyWUI7QzM
166,MOVE_UP,4819.0,1hwQKehwDHX3Pu2in29X43
167,MOVE_UP,4794.0,52iLDrSoRtf9lcgFuLVfqE
168,MOVE_UP,4785.0,4NBTZtAt1F13VvlSKe6KTl
169,MOVE_UP,4784.0,5UAGQJmL7Rn4gn7wlkMyqS
170,MOVE_UP,4781.0,7BKLCZ1jbUBVqRi2FVlTVw
171,NEW_ENTRY,4751.0,69lAYqbyHL1A0gctdLd9WV
172,MOVE_DOWN,4733.0,4FhJ7YSRxATHnaRg4nGs6t
173,MOVE_UP,4731.0,6Qs4SXO9dwPj5GKvVOv8Ki
174,MOVE_UP,4711.0,2sb6AZQLeoD3VgA4zglQB6
175,MOVE_DOWN,4694.0,57YwYnFFAbicgEozLf4aD6
176,MOVE_UP,4686.0,0IAgufC1FlOg1nZMmRZxRr
177,MOVE_DOWN,4679.0,6XHVuErjQ4XNm6nDPVCxVX
178,MOVE_UP,4670.0,7LyCtbxher5m97MImn5M3l
179,MOVE_UP,4654.0,35KlorpQ6LQVVslvlcu1gN
180,MOVE_UP,4634.0,7B8gZQY2KaAP1Dn1fhDU67
181,MOVE_UP,4629.0,1SFVITPd1k2W6ZqZ2muaHD
182,MOVE_DOWN,4627.0,5JEx7HbmvHQQswJCsoo9rA
183,NEW_ENTRY,4592.0,7KAhj1obJrK5Avezca7YVL
184,MOVE_UP,4571.0,2DcmVSLAg0ZzfOQxDshZHY
185,MOVE_DOWN,4551.0,4IazYww9msi3dR81d9itO7
186,MOVE_UP,4542.0,6onpxF3H6OknskWoTAvMjG
187,NEW_ENTRY,4528.0,2rbDhOo9Fh61Bbu23T2qCk
188,NEW_ENTRY,4508.0,5rAtoPMDrOFN5wLdM6YmRx
189,MOVE_UP,4499.0,67LTN04r77CavIkE7dc4tF
