rank,date,region,trend,streams,track_id
1,2020-08-01,Taiwan,SAME_POSITION,40838.0,69zgyr5HVKdInjeKpq1qHa
2,2020-08-01,Taiwan,SAME_POSITION,39948.0,5QbK5PrR9wbog3M5vVAn2n
3,2020-08-01,Taiwan,SAME_POSITION,38486.0,4E5PyVOBH25CICgTURwGXM
4,2020-08-01,Taiwan,MOVE_UP,35855.0,0KWnRv3wxjltYVB3MqjNd2
5,2020-08-01,Taiwan,MOVE_UP,33833.0,3Bij7rScgMAWeCXpA3qJk9
6,2020-08-01,Taiwan,MOVE_DOWN,33377.0,3vAn0qZzdyuHamcrpkfiX3
7,2020-08-01,Taiwan,MOVE_UP,28549.0,5cU1O9P0EDA0rPkPDykhIm
8,2020-08-01,Taiwan,MOVE_DOWN,28019.0,4R2kfaDFhslZEMJqAFNpdd
9,2020-08-01,Taiwan,MOVE_UP,26102.0,3j5yYj3N0CQSgcHMF91ZlO
10,2020-08-01,Taiwan,SAME_POSITION,25013.0,3MXio1CBF3ukhBtx9aURWM
11,2020-08-01,Taiwan,MOVE_DOWN,24731.0,2kqnQCChvRpDRAasIwc4Rh
12,2020-08-01,Taiwan,SAME_POSITION,24327.0,1GJhhkVUuox5iyNHlZfGBe
13,2020-08-01,Taiwan,SAME_POSITION,24309.0,4pvb0WLRcMtbPGmtejJJ6y
14,2020-08-01,Taiwan,SAME_POSITION,24204.0,56wVfJKtnwlSZtC4NVgIrf
15,2020-08-01,Taiwan,SAME_POSITION,23527.0,0TYt1vngPocfkK2YHvu7Ze
16,2020-08-01,Taiwan,MOVE_UP,22837.0,7BYMjh3vWnHU4IFyfZdIDO
17,2020-08-01,Taiwan,MOVE_DOWN,22801.0,7mCr6Rn5jx04Fisvts97Z3
18,2020-08-01,Taiwan,SAME_POSITION,22195.0,0KpdHSo8glkLjzx063N3aw
19,2020-08-01,Taiwan,MOVE_UP,21777.0,1ZSleGniKMWNrWvK5cGALO
20,2020-08-01,Taiwan,SAME_POSITION,21469.0,1nfm4v6IxyOKOfGjvWVUj2
21,2020-08-01,Taiwan,MOVE_UP,21218.0,56XaEf9Mo2Njaxa9TIn5LR
