rank,date,region,trend,streams,track_id
1,2020-08-01,Thailand,SAME_POSITION,76039.0,0nYZ6GR0fCPmxqjPOaPGjJ
2,2020-08-01,Thailand,SAME_POSITION,72164.0,4Cg2XGrrrczeZRPOnlAG67
3,2020-08-01,Thailand,MOVE_UP,60869.0,6R9YzJHkfYoN6PianPhTdB
4,2020-08-01,Thailand,MOVE_DOWN,59731.0,3vAn0qZzdyuHamcrpkfiX3
5,2020-08-01,Thailand,MOVE_UP,58111.0,1ccwCCS7YSclzYibpK0DS4
6,2020-08-01,Thailand,MOVE_DOWN,55981.0,5AMYykC6sdveY7NfwHNUm4
7,2020-08-01,Thailand,SAME_POSITION,53170.0,1PnEuhdX2pFIQUAESQB4wm
8,2020-08-01,Thailand,SAME_POSITION,48737.0,1iK2nyld8wTLJv2dRIowSY
9,2020-08-01,Thailand,SAME_POSITION,48153.0,6LQf6ErCI7vw7KGKRP11zP
10,2020-08-01,Thailand,MOVE_UP,43845.0,3JvbGjNcSnAhNemVyvXqci
11,2020-08-01,Thailand,MOVE_DOWN,43818.0,4R2kfaDFhslZEMJqAFNpdd
12,2020-08-01,Thailand,MOVE_UP,42841.0,3EMXuZ7n0lgQSNSsVk5d3n
13,2020-08-01,Thailand,MOVE_DOWN,42075.0,0MejzQMW0yfpwfZwIjNaAH
14,2020-08-01,Thailand,MOVE_UP,39371.0,3IPtnAYykrWz9EPjPWx2D7
15,2020-08-01,Thailand,MOVE_DOWN,38822.0,5umkeJySqBIhm2uYGjidMT
16,2020-08-01,Thailand,SAME_POSITION,37582.0,4r3UvwePMdXPJrqFautgTq
17,2020-08-01,Thailand,SAME_POSITION,36091.0,1wl5vs3SCMPpHTIR8IW8nJ
18,2020-08-01,Thailand,MOVE_UP,34958.0,4Tp1SRCTJ6LO8XA3i9vuAT
19,2020-08-01,Thailand,MOVE_DOWN,34738.0,5hE4Yf2aMTogguHuG41zEL
20,2020-08-01,Thailand,SAME_POSITION,34340.0,6d3b5akoUqISvcGAdZwA7x
21,2020-08-01,Thailand,SAME_POSITION,32780.0,7IcfEY0IyV4fdALbwJCw3v
22,2020-08-01,Thailand,MOVE_UP,32014.0,5t2958ghc1UIUovv1pqMl3
23,2020-08-01,Thailand,MOVE_DOWN,31545.0,2opZpuOcnBYJbfqm2IJIMU
24,2020-08-01,Thailand,MOVE_UP,31078.0,3bxGTdVHjBjlSOjRDH9a4f
25,2020-08-01,Thailand,MOVE_DOWN,30688.0,3U2vJ9B0vutk3kLqLGkvQn
26,2020-08-01,Thailand,SAME_POSITION,29948.0,6IitkM7xiuKhDXzshXUnRa
27,2020-08-01,Thailand,MOVE_UP,29128.0,4OBZT9EnhYIV17t4pGw7ig
