rank,date,region,trend,streams,track_id
1,2017-08-01,Turkey,SAME_POSITION,259368.0,1BSsv8bVGdxyvW0NPiZy1A
2,2017-08-01,Turkey,SAME_POSITION,69172.0,5CtI0qwDJkDQGwXD1H1cLb
3,2017-08-01,Turkey,SAME_POSITION,64741.0,3xtNRxaUY785OdDP78yrpG
4,2017-08-01,Turkey,MOVE_UP,64016.0,045FwWlfQeVoaCNDvShp7m
5,2017-08-01,Turkey,MOVE_DOWN,63743.0,1vZAYNFTcxzrnooQUw5zKD
6,2017-08-01,Turkey,SAME_POSITION,54612.0,2rb5MvYT7ZIxbKW5hfcHx8
7,2017-08-01,Turkey,SAME_POSITION,51011.0,7qiZfU4dY1lWllzX7mPBI3
8,2017-08-01,Turkey,SAME_POSITION,44661.0,1OAh8uOEOvTDqkKFsKksCi
9,2017-08-01,Turkey,MOVE_UP,43538.0,0tKcYR2II1VCQWT79i5NrW
10,2017-08-01,Turkey,MOVE_DOWN,42800.0,12UuHoc1ZI6rWVCM7gwUsi
11,2017-08-01,Turkey,SAME_POSITION,39271.0,4iLqG9SeJSnt0cSPICSjxv
12,2017-08-01,Turkey,SAME_POSITION,38026.0,3EfugazgSddQvzZpkof5I4
13,2017-08-01,Turkey,SAME_POSITION,37750.0,0wscdJimrINUAGbBjy1I0E
14,2017-08-01,Turkey,SAME_POSITION,37695.0,3cFsmM51N5zMAuu1nNY4Tw
15,2017-08-01,Turkey,MOVE_UP,35293.0,2FU1HsEaZCHcjrFCXCjH9T
16,2017-08-01,Turkey,MOVE_UP,35054.0,2cR1YpQrSXHpD6iewFDsMm
17,2017-08-01,Turkey,MOVE_DOWN,34787.0,0CcQNd8CINkwQfe1RDtGV6
18,2017-08-01,Turkey,SAME_POSITION,34175.0,6kex4EBAj0WHXDKZMEJaaF
19,2017-08-01,Turkey,MOVE_UP,32514.0,2ekn2ttSfGqwhhate0LSR0
20,2017-08-01,Turkey,SAME_POSITION,32414.0,3B54sVLJ402zGa6Xm4YGNe
21,2017-08-01,Turkey,SAME_POSITION,32209.0,4ZW46Kgf0SK3pOzBQDY5cM
22,2017-08-01,Turkey,MOVE_DOWN,32036.0,4aWmUDTfIPGksMNLV2rQP2
23,2017-08-01,Turkey,SAME_POSITION,29741.0,3rOSwuTsUlJp0Pu0MkN8r8
24,2017-08-01,Turkey,MOVE_UP,28801.0,5bcTCxgc7xVfSaMV3RuVke
25,2017-08-01,Turkey,MOVE_DOWN,28282.0,0XLOf9LhyazPX9Ld8jPiUq
26,2017-08-01,Turkey,MOVE_UP,27259.0,4K84p5DmcoUm3pp64qzkHY
27,2017-08-01,Turkey,MOVE_DOWN,27117.0,3A7qX2QjDlPnazUsRk5y0M
28,2017-08-01,Turkey,SAME_POSITION,26129.0,2MLxpHtqNLlUmXTkVXai6w
29,2017-08-01,Turkey,MOVE_UP,24784.0,6mICuAdrwEjh6Y6lroV2Kg
30,2017-08-01,Turkey,MOVE_DOWN,24558.0,7tidkZuZ0kgBrnGMwVKH6d
31,2017-08-01,Turkey,MOVE_DOWN,24260.0,25C5CowdsfXld2jJanbiex
32,2017-08-01,Turkey,SAME_POSITION,23901.0,5knuzwU65gJK7IF5yJsuaW
33,2017-08-01,Turkey,MOVE_UP,23527.0,4pLw2flmaXrY6fmjr4tA9Q
34,2017-08-01,Turkey,SAME_POSITION,22752.0,4n5FsxYIcZMgQC8pJ9Y5ZN
35,2017-08-01,Turkey,MOVE_UP,22580.0,2Wf68eYFga8t2xZXLtTuU1
36,2017-08-01,Turkey,MOVE_DOWN,22289.0,0NiXXAI876aGImAd6rTj8w
37,2017-08-01,Turkey,MOVE_UP,21972.0,405klj3hdnIiwvOCQwx3su
38,2017-08-01,Turkey,MOVE_DOWN,21887.0,23KSyhPMqyUVrrLo300YiW
39,2017-08-01,Turkey,MOVE_DOWN,21415.0,7abpmGpF7PGep2rDU68GBR
40,2017-08-01,Turkey,MOVE_UP,21256.0,2ZNw6hZL5N5JIsYasznmVW
41,2017-08-01,Turkey,SAME_POSITION,21215.0,1SJtlNRJDeYHioymcvsqev
42,2017-08-01,Turkey,MOVE_DOWN,20839.0,4JWAN1SBE6r2PHbXTHzQNx
43,2017-08-01,Turkey,MOVE_DOWN,20320.0,61WbtB6ujkpNAsAf5LjF4b
44,2017-08-01,Turkey,MOVE_DOWN,19896.0,3eR23VReFzcdmS7TYCrhCe
45,2017-08-01,Turkey,SAME_POSITION,19429.0,5aAx2yezTd8zXrkmtKl66Z
46,2017-08-01,Turkey,MOVE_UP,18896.0,6RUKPb4LETWmmr3iAEQktW
47,2017-08-01,Turkey,MOVE_UP,18841.0,79cuOz3SPQTuFrp8WgftAu
48,2017-08-01,Turkey,MOVE_DOWN,18830.0,4Cu8eFxrKBhmkVdMVEH7Kj
49,2017-08-01,Turkey,MOVE_UP,18213.0,2cKe57qm50HjR4U4O1aXOb
50,2017-08-01,Turkey,MOVE_DOWN,18000.0,6520aj0B4FSKGVuKNsOCOi
51,2017-08-01,Turkey,MOVE_DOWN,17822.0,58zsLZPvfflaiIbNWoA22O
52,2017-08-01,Turkey,SAME_POSITION,16121.0,2LX6XfSqCKBrt2qJngS87z
53,2017-08-01,Turkey,SAME_POSITION,15773.0,3PEgB3fkiojxms35ntsTgs
54,2017-08-01,Turkey,MOVE_UP,14767.0,6EpRaXYhGOB3fj4V2uDkMJ
55,2017-08-01,Turkey,MOVE_UP,14682.0,1x5sYLZiu9r5E43kMlt9f8
56,2017-08-01,Turkey,MOVE_DOWN,14610.0,0JXkgrqCU4ljACQ5d1T9bb
57,2017-08-01,Turkey,MOVE_UP,14297.0,1eJkHmbduMhaJKUJDxMWLG
58,2017-08-01,Turkey,MOVE_UP,14015.0,1SLHvYH4u0l44fpmNG4ggT
59,2017-08-01,Turkey,MOVE_DOWN,13987.0,0oMGV0uqd1AS28Nho02LiP
60,2017-08-01,Turkey,MOVE_DOWN,13849.0,6nlqCVATz0Y67hvsNexCZ9
61,2017-08-01,Turkey,SAME_POSITION,13500.0,3R5cc9t10Ol60Nz7eXU2TW
62,2017-08-01,Turkey,MOVE_UP,13334.0,3SqvR3HYLlCTYzbDXJ52OC
63,2017-08-01,Turkey,MOVE_DOWN,13240.0,00lNx0OcTJrS3MKHcB80HY
64,2017-08-01,Turkey,MOVE_DOWN,13153.0,7KXjTSCq5nL1LoYtL7XAwS
65,2017-08-01,Turkey,MOVE_DOWN,13141.0,3DXncPQOG4VBw3QHh3S817
66,2017-08-01,Turkey,MOVE_UP,12877.0,6jA8HL9i4QGzsj6fjoxp8Y
67,2017-08-01,Turkey,MOVE_UP,12768.0,1kM51ZDk6fQJaJd10d7F5h
68,2017-08-01,Turkey,MOVE_UP,12493.0,1sCxVKWImDZSZKvG0U9B23
69,2017-08-01,Turkey,MOVE_UP,12351.0,2kVHAQKVtczchKctctzbtK
70,2017-08-01,Turkey,MOVE_DOWN,12225.0,7Is0OPWVcN8DdZpcNuClcy
71,2017-08-01,Turkey,MOVE_UP,12218.0,3n3EFUkEX8irsrM8eDAyhj
72,2017-08-01,Turkey,MOVE_UP,12094.0,1rIKgCH4H52lrvDcz50hS8
73,2017-08-01,Turkey,MOVE_UP,11806.0,27SdWb2rFzO6GWiYDBTD9j
74,2017-08-01,Turkey,MOVE_DOWN,11740.0,7F9vK8hNFMml4GtHsaXui6
75,2017-08-01,Turkey,MOVE_DOWN,11671.0,2WR9ohB44rJB2Ak93iwyY2
76,2017-08-01,Turkey,MOVE_UP,11668.0,1LzguIGcb1qtA1Kw9pfwAP
77,2017-08-01,Turkey,MOVE_DOWN,11524.0,3lPrs1fylHXjPPfSioDXDg
78,2017-08-01,Turkey,MOVE_DOWN,11458.0,0ikRchpmFlaqlzLRgu9qWk
79,2017-08-01,Turkey,MOVE_UP,11397.0,0QsvXIfqM0zZoerQfsI9lm
80,2017-08-01,Turkey,MOVE_UP,11173.0,6IZglq7mInwIPeFnLYvqin
81,2017-08-01,Turkey,MOVE_UP,11084.0,5OOkp4U9P9oL23maHFHL1h
82,2017-08-01,Turkey,SAME_POSITION,11049.0,62G1SbpNsFjEEB9NQhzPWJ
83,2017-08-01,Turkey,MOVE_DOWN,10945.0,3REzEumDuXBpQH45WEHAr6
84,2017-08-01,Turkey,MOVE_UP,10937.0,5dPmt30dD9XFhX1Pn6XSf0
85,2017-08-01,Turkey,MOVE_UP,10917.0,4Y86FMgexzIJ1JcR2pGxkI
86,2017-08-01,Turkey,MOVE_UP,10823.0,0bqvTiQPVbbLt3RsQU928v
87,2017-08-01,Turkey,MOVE_DOWN,10806.0,4pdPtRcBmOSQDlJ3Fk945m
88,2017-08-01,Turkey,MOVE_DOWN,10741.0,6n7CEaECHbDo4J00iVx0Gh
89,2017-08-01,Turkey,MOVE_UP,10690.0,6ZI6RjnK7LpnOoQEgJUBLW
90,2017-08-01,Turkey,MOVE_UP,10625.0,5c4IttlHETAUnlJlwJ3GpG
91,2017-08-01,Turkey,MOVE_UP,10612.0,3D4msN0SIUavlHEaaIBWu6
92,2017-08-01,Turkey,MOVE_DOWN,10551.0,2eMwDehkIC1j68U6FA3Eiq
93,2017-08-01,Turkey,MOVE_DOWN,10361.0,5lokDLCbVYenP7Gc6FAYTv
94,2017-08-01,Turkey,MOVE_DOWN,10180.0,07Af1vF3LFqNrmLC1Yzs0L
95,2017-08-01,Turkey,MOVE_UP,9998.0,4ZkwCJ2aorTrwgbx3J59oo
