rank,trend,streams,track_id
1,SAME_POSITION,67273.0,2BJkinM7TmdcsDGNvmZds8
2,SAME_POSITION,62602.0,4sa0pXDdQkBZ1r5NZWQJyV
3,SAME_POSITION,52885.0,0R0o8uOkDz40XsR6uwThfQ
4,SAME_POSITION,49568.0,5dLtu0lS5pP9ivMerk3uMA
5,SAME_POSITION,46116.0,7wGoVu4Dady5GV0Sv4UIsx
6,SAME_POSITION,44459.0,5Y3ZTBwRNrgj3AlXYASvDe
7,SAME_POSITION,43702.0,1rfofaqEpACxVEHIZBJe6W
8,SAME_POSITION,38963.0,5JaXKUIcNxwSuUyD4CsphL
9,SAME_POSITION,36868.0,5uyGQAXeaYJ7X7FcN8JJiq
10,SAME_POSITION,36693.0,2ekn2ttSfGqwhhate0LSR0
11,SAME_POSITION,34266.0,76cy1WJvNGJTj78UqeA5zr
12,SAME_POSITION,34107.0,5k38wzpLb15YgncyWdTZE4
13,SAME_POSITION,33299.0,2tcTksk6qFbYSaZogGmgfO
14,SAME_POSITION,32816.0,6Ld3bnYoP3JnmHMbtqMXYY
15,SAME_POSITION,32049.0,2XW4DbS6NddZxRPm5rMCeY
16,SAME_POSITION,29093.0,3xtNRxaUY785OdDP78yrpG
17,MOVE_UP,28572.0,04aT9IT86qeDS7p9DQGa6z
18,MOVE_DOWN,27818.0,2QD387ZxhUxTJQYLe11w9D
19,MOVE_UP,27701.0,1j4kHkkpqZRBwE0A4CN4Yv
20,SAME_POSITION,27389.0,7qiZfU4dY1lWllzX7mPBI3
21,MOVE_UP,27163.0,3hdXIz9eY9u5QoEUkBs5yN
22,SAME_POSITION,27027.0,1JvUmKSl9Mg6mQnmbjLYyz
23,MOVE_DOWN,26757.0,7gPMdD5iUC8i3LsFxr01jw
24,SAME_POSITION,24630.0,5UEnHoDYpsxlfzWLZIc7LD
25,MOVE_UP,23939.0,2qM7yVNhMjZGVvXhPQ5TFS
26,SAME_POSITION,23901.0,7EmGUiUaOSGDnUUQUDrOXC
27,SAME_POSITION,23794.0,23KSyhPMqyUVrrLo300YiW
28,SAME_POSITION,23638.0,0tKcYR2II1VCQWT79i5NrW
29,MOVE_DOWN,23436.0,3lPrs1fylHXjPPfSioDXDg
30,MOVE_DOWN,23008.0,6qkXhA5mVvG1DLyliRS1Yf
31,MOVE_UP,21605.0,0CcQNd8CINkwQfe1RDtGV6
32,MOVE_DOWN,21474.0,3CPBzUohQI0fVoFFMSZouO
33,SAME_POSITION,21438.0,5T8Fiq5hPALY1La8BqlYYn
34,MOVE_DOWN,20586.0,045FwWlfQeVoaCNDvShp7m
35,MOVE_UP,20489.0,1rY4UYyZ3PcuYgWIddkcnL
36,MOVE_DOWN,20273.0,4iLqG9SeJSnt0cSPICSjxv
37,MOVE_UP,19287.0,1BSsv8bVGdxyvW0NPiZy1A
38,MOVE_UP,19026.0,12SJpYZEdj4kzWZ8FPFg4Y
39,MOVE_UP,18851.0,1KZ2GIHODjEmMoEGUcgZKB
40,MOVE_DOWN,18810.0,3SiNhRfBah30npNwyaoS22
41,MOVE_UP,18758.0,1eIbAIEu7naoaUglyets9l
42,MOVE_UP,18456.0,3SqvR3HYLlCTYzbDXJ52OC
43,MOVE_DOWN,18374.0,43ZyHQITOjhciSUUNPVRHc
44,SAME_POSITION,18265.0,7ohDUXs6SsU3XjTI9pcKTS
45,MOVE_UP,18217.0,17KyYoAhToJhgiFV2Bt41b
46,MOVE_DOWN,18115.0,7ik3XKVDOv0s871jCMyL48
47,SAME_POSITION,18107.0,0qyGQFsJG06DkooGyCWD3U
48,MOVE_UP,17770.0,4JWAN1SBE6r2PHbXTHzQNx
49,MOVE_UP,17297.0,6QgjcU0zLnzq5OrUoSZ3OK
50,MOVE_UP,17240.0,5m0xKFMim80XzJ1HM0IBwW
51,MOVE_UP,17089.0,3YdPhm1aH5fNpjO2nkZCYT
52,MOVE_DOWN,16506.0,7DtXVEkjDpvKEH51FWdH7m
53,SAME_POSITION,15914.0,5AEtlRudpgdT5FtNiuly6Y
54,MOVE_DOWN,15430.0,1anxoJyGm5QOWpPtDkXIfc
55,MOVE_DOWN,14835.0,0VgkVdmE4gld66l8iyGjgx
56,MOVE_UP,14607.0,2DQ1ITjI0YoLFzuADN1ZBW
57,MOVE_UP,14554.0,0ikRchpmFlaqlzLRgu9qWk
58,MOVE_UP,14478.0,3B54sVLJ402zGa6Xm4YGNe
59,MOVE_UP,14359.0,5oecOcmSEHs7MZiB0NPbFu
60,MOVE_DOWN,14281.0,3Vo4wInECJQuz9BIBMOu8i
61,MOVE_DOWN,14157.0,2rb5MvYT7ZIxbKW5hfcHx8
62,MOVE_UP,13900.0,1104ZkH1GSXJLd0PP9pJAd
63,MOVE_UP,13880.0,73F8RdXGiuw93C7cEiPYIR
64,MOVE_DOWN,13869.0,3hBBKuWJfxlIlnd9QFoC8k
65,MOVE_UP,13849.0,58aGvhMxUHn88sbJpirQ1T
66,MOVE_DOWN,13731.0,0XuqoosHzwJi1I6McN61JY
67,MOVE_DOWN,13683.0,4ZW46Kgf0SK3pOzBQDY5cM
68,MOVE_DOWN,13682.0,2j69gw8fSyTDksf3glQaCH
69,MOVE_DOWN,13623.0,1jeezFfn6ccRfWEUlDT7gO
70,MOVE_UP,13478.0,1EPgODCdz5rApl9naW8Q2r
71,MOVE_DOWN,13410.0,3EfugazgSddQvzZpkof5I4
72,MOVE_UP,13359.0,7uqc6baKyMm6AnWkIxDpoB
73,MOVE_DOWN,13328.0,3iq9nhbI8fcnNamxMft1uv
74,MOVE_DOWN,13202.0,5aAx2yezTd8zXrkmtKl66Z
75,MOVE_DOWN,13094.0,2LX6XfSqCKBrt2qJngS87z
76,MOVE_DOWN,12798.0,6mrKP2jyIQmM0rw6fQryjr
77,MOVE_UP,12558.0,0LjVpGyc4NfQl2FVTPx6l2
78,MOVE_DOWN,12550.0,7EI6Iki24tBHAMxtb4xQN2
79,MOVE_UP,12532.0,1fCvwmgmuWzk5NyzywdARb
80,MOVE_UP,12513.0,32DGGj6KlNuBr6WaqRxpxi
81,MOVE_UP,12488.0,0sRkdyzTUgc4i5U0CYBENV
82,MOVE_DOWN,12444.0,5b9tj0yG0Kfn7lWG19uzAH
83,MOVE_DOWN,12289.0,7KXjTSCq5nL1LoYtL7XAwS
84,MOVE_UP,12102.0,5c4IttlHETAUnlJlwJ3GpG
85,MOVE_DOWN,12088.0,1cXRnIZuCVSZsdjUlptFiT
86,MOVE_DOWN,12055.0,79bKKv3MNqU7jec2IFKw7d
87,MOVE_DOWN,12025.0,4eWQlBRaTjPPUlzacqEeoQ
88,MOVE_DOWN,11993.0,4Lxo85WV35D46plJvewWj0
89,MOVE_DOWN,11884.0,2MLxpHtqNLlUmXTkVXai6w
90,MOVE_DOWN,11769.0,6Sg9kVAVm4Xn6MVh2mYNMd
91,MOVE_UP,11745.0,2cR1YpQrSXHpD6iewFDsMm
92,MOVE_DOWN,11733.0,1SUA45wCGWq7yyx7Nby58E
93,MOVE_UP,11596.0,58zsLZPvfflaiIbNWoA22O
94,MOVE_UP,11589.0,3DL1bxA02gZC9wzpbOdfcQ
95,MOVE_UP,11571.0,1zsG4eaZmkA1dvjDDsAGLK
96,MOVE_DOWN,11560.0,5QjUYg26ES7KeNodSgKatP
97,MOVE_DOWN,11495.0,7jqDzXJS0K0Re8uphYNit0
98,MOVE_DOWN,11451.0,4CcbJeyCBuG2s37DmGtq1n
99,MOVE_DOWN,11424.0,1wKvjOn3Qk6jYzGGTvp63B
100,MOVE_UP,11053.0,2xmrfQpmS2iJExTlklLoAL
101,MOVE_UP,11020.0,3vWE70Fde8F97cIkSGiMt0
102,MOVE_UP,11013.0,27sRogaIuUA9UteLoPcEDw
103,MOVE_UP,11013.0,2sLAykCWyB1VA5hXDjU59T
104,MOVE_UP,11000.0,2fMhwt77wUh3noEuedB3Nt
105,MOVE_DOWN,10989.0,1vZAYNFTcxzrnooQUw5zKD
106,SAME_POSITION,10897.0,1OAh8uOEOvTDqkKFsKksCi
107,MOVE_DOWN,10889.0,2FU1HsEaZCHcjrFCXCjH9T
108,MOVE_DOWN,10829.0,03INrUW4VCJpDXKQzNEaKS
109,MOVE_DOWN,10805.0,0wscdJimrINUAGbBjy1I0E
110,MOVE_UP,10749.0,1wFrBgIshbX5gtY1cD2Hd8
111,MOVE_DOWN,10705.0,5CtI0qwDJkDQGwXD1H1cLb
112,SAME_POSITION,10683.0,77JBSUsrRRPsmtxNKjB2Fx
113,MOVE_DOWN,10608.0,3cFsmM51N5zMAuu1nNY4Tw
114,MOVE_DOWN,10515.0,1mXVgsBdtIVeCLJnSnmtdV
115,MOVE_DOWN,10481.0,7D9KBLwwotrSWrseRekDxn
116,MOVE_UP,10439.0,3eR23VReFzcdmS7TYCrhCe
117,MOVE_UP,10397.0,6yr8GiTHWvFfi4o6Q5ebdT
118,MOVE_UP,10291.0,2nUJvBO87SkxCViQsLc9Zr
119,MOVE_UP,10229.0,1ro2RpCboxcjM7iKNqfQO8
120,MOVE_UP,10211.0,5CSd3cUlH0b55LSHsqz34g
121,MOVE_DOWN,10183.0,2ZNw6hZL5N5JIsYasznmVW
122,MOVE_UP,10171.0,6q5L4brzLW2pLf2pE56JIb
123,MOVE_UP,10160.0,3ldGsiEW3vblN8UVrOfDo3
124,MOVE_UP,10110.0,6kex4EBAj0WHXDKZMEJaaF
125,MOVE_DOWN,10050.0,0tgVpDi06FyKpA1z0VMD4v
126,MOVE_DOWN,10041.0,4K84p5DmcoUm3pp64qzkHY
127,MOVE_UP,10017.0,07Af1vF3LFqNrmLC1Yzs0L
128,MOVE_DOWN,9981.0,4cQSOn9oP0MiM7BgiRngFk
129,MOVE_DOWN,9900.0,6ZU2kfCaOiuu3TqVQbhHsO
130,MOVE_DOWN,9891.0,2Jp8Ztff3qgt2x5huvcjVY
131,MOVE_DOWN,9866.0,1SLHvYH4u0l44fpmNG4ggT
132,MOVE_DOWN,9823.0,4x2LYxrqs3ShH2fTEqepLe
133,MOVE_DOWN,9760.0,3NIDOSThELMihLSOMZcL4k
134,MOVE_UP,9741.0,5knuzwU65gJK7IF5yJsuaW
135,MOVE_DOWN,9706.0,3d54yF6CHGO8lzD0470vtS
136,MOVE_DOWN,9622.0,2cKe57qm50HjR4U4O1aXOb
137,MOVE_UP,9614.0,5iloeEnYSKxjR9GSOAgu4D
138,MOVE_UP,9603.0,0lX83giId8IqjzbZg2tP5B
139,NEW_ENTRY,9554.0,2eb3TzYQ9jZqpgMTP8wrQv
140,MOVE_UP,9541.0,5vTN3GaDf2KGd87cUrrxie
141,MOVE_UP,9534.0,5vZg0OnpPtQdu8YRXOiNCy
142,MOVE_DOWN,9504.0,405klj3hdnIiwvOCQwx3su
143,MOVE_DOWN,9464.0,7anBA0IdgFaN3Pbyk2tog0
144,NEW_ENTRY,9455.0,39Shd0A8AL4jZ7bmuvEWAu
145,MOVE_UP,9424.0,3IEmPrNgIiZpRisTc5swEq
146,MOVE_UP,9389.0,69iss9oVXkLRn8bYqT8h1m
147,MOVE_UP,9387.0,5HwnezK198pJCEj1l2Adjy
148,MOVE_DOWN,9381.0,4z05OycjpswjAgFdZyW6Po
149,MOVE_UP,9316.0,3yYHAwO4K7AYGyPCsObCtl
150,MOVE_DOWN,9296.0,3t2QqcZzkHTvjUaULFbe7Q
151,MOVE_DOWN,9294.0,0cJ7GPiXfc6nF8gkJHnDu9
152,MOVE_UP,9286.0,1xndOD8CreR5ctkOv5G1LN
153,MOVE_DOWN,9226.0,47OkAyPmyaAghoY65sNm0F
154,MOVE_DOWN,9202.0,4zWO4gvuFtw6EJZC5FFGlr
155,MOVE_DOWN,9177.0,3RCy0AV1CKCF2h7IAvjfpU
156,MOVE_UP,9106.0,7rdv6gmOFc5CWGNdRdaZ11
157,MOVE_UP,9089.0,7GX5flRQZVHRAGd6B4TmDO
158,MOVE_UP,9059.0,3uBz7PQ7ECnCnK2gpKrsQb
159,MOVE_DOWN,9045.0,36lkHAhOFX2hmGlpccSSrW
160,MOVE_UP,9008.0,1eJkHmbduMhaJKUJDxMWLG
161,MOVE_UP,8966.0,6kmOwoQIHyFghxiSExfuWv
162,MOVE_UP,8952.0,0hmPxTuEmQ3WOOPksJ2T0c
163,MOVE_UP,8935.0,4n5FsxYIcZMgQC8pJ9Y5ZN
164,MOVE_DOWN,8915.0,4p6GrHUjj3ZtDS0xsqPhmX
165,MOVE_UP,8907.0,3N5AZtKJALZZDHT4On8Ebx
166,MOVE_UP,8903.0,2kVHAQKVtczchKctctzbtK
167,MOVE_DOWN,8874.0,4tC96bxgSFkA9tvPI0kCMb
168,MOVE_UP,8862.0,2htRiuKy3zIkxEOawFcQLS
169,MOVE_UP,8815.0,4DsPdStdXWO8BeYVHWMD16
170,MOVE_UP,8785.0,1bhUWB0zJMIKr9yVPrkEuI
171,MOVE_DOWN,8757.0,58tUwXG7xKE7gzNOp6Msca
172,MOVE_UP,8754.0,00lNx0OcTJrS3MKHcB80HY
173,MOVE_DOWN,8699.0,0y3XEsKn5pONUKI0PDDMWa
174,MOVE_DOWN,8657.0,2ZY2eMrhpiLlGyAgf3m3nD
175,MOVE_DOWN,8656.0,3vMktt0tUZOt2j3Fao0L7s
176,MOVE_DOWN,8645.0,3rq5w4bQGigXOfdN30ATJt
177,MOVE_UP,8634.0,1x5sYLZiu9r5E43kMlt9f8
178,MOVE_DOWN,8613.0,5dPmt30dD9XFhX1Pn6XSf0
179,MOVE_UP,8610.0,79cuOz3SPQTuFrp8WgftAu
180,SAME_POSITION,8580.0,1iS9uKNLMd6DBaSwUn5rcF
181,MOVE_DOWN,8567.0,1jgjszJeQ9GZTQEZ37yvqa
182,MOVE_DOWN,8411.0,6aHbSx6TimFvdaW58cfPd3
183,MOVE_UP,8398.0,7w9bgPAmPTtrkt2v16QWvQ
184,NEW_ENTRY,8348.0,3ajYmPDtB3P7JTPQ64Dr7P
185,MOVE_DOWN,8340.0,5hYb9RIvqvk8J6mjMNL4pc
186,MOVE_DOWN,8285.0,7abpmGpF7PGep2rDU68GBR
187,NEW_ENTRY,8275.0,09IStsImFySgyp0pIQdqAc
188,MOVE_DOWN,8238.0,0tFQm8EGvBrhq23UZtkzHs
189,MOVE_DOWN,8191.0,7iPM0YAn4CHg9BR79bv47U
190,MOVE_DOWN,8184.0,2FLvbfkf8LzH8nk5NS36OU
191,NEW_ENTRY,8174.0,3n3EFUkEX8irsrM8eDAyhj
192,MOVE_DOWN,8170.0,2OALaHcDdKkjYEpAr0Qzab
193,MOVE_DOWN,8158.0,5bcTCxgc7xVfSaMV3RuVke
194,MOVE_DOWN,8150.0,0IqKeD8ZSP72KbGYyzEcAs
195,MOVE_DOWN,8146.0,5JuVI2EuPj8ygNgvBf6TFH
196,NEW_ENTRY,8108.0,2eAAEa8pxKF7My0EO4rFgR
197,MOVE_DOWN,8066.0,6RUKPb4LETWmmr3iAEQktW
198,MOVE_DOWN,8039.0,4aWmUDTfIPGksMNLV2rQP2
199,NEW_ENTRY,8025.0,0sca1GWjRFxM081N1hrO6N
200,NEW_ENTRY,7956.0,09ts3GnICqYEU5PkQCpJK3
1,SAME_POSITION,65507.0,2BJkinM7TmdcsDGNvmZds8
2,SAME_POSITION,61645.0,4sa0pXDdQkBZ1r5NZWQJyV
3,SAME_POSITION,54622.0,0R0o8uOkDz40XsR6uwThfQ
4,NEW_ENTRY,54148.0,4VUqgwjcye1knvDU7xyLBK
5,MOVE_DOWN,48192.0,5dLtu0lS5pP9ivMerk3uMA
6,MOVE_DOWN,46292.0,7wGoVu4Dady5GV0Sv4UIsx
7,MOVE_DOWN,43993.0,5Y3ZTBwRNrgj3AlXYASvDe
8,MOVE_DOWN,42793.0,1rfofaqEpACxVEHIZBJe6W
9,MOVE_DOWN,38739.0,5JaXKUIcNxwSuUyD4CsphL
10,SAME_POSITION,36084.0,2ekn2ttSfGqwhhate0LSR0
11,MOVE_DOWN,35587.0,5uyGQAXeaYJ7X7FcN8JJiq
12,MOVE_UP,33328.0,2tcTksk6qFbYSaZogGmgfO
13,MOVE_UP,32592.0,6Ld3bnYoP3JnmHMbtqMXYY
14,MOVE_DOWN,32126.0,5k38wzpLb15YgncyWdTZE4
15,MOVE_DOWN,31975.0,76cy1WJvNGJTj78UqeA5zr
16,MOVE_DOWN,31680.0,2XW4DbS6NddZxRPm5rMCeY
17,SAME_POSITION,29131.0,04aT9IT86qeDS7p9DQGa6z
18,MOVE_DOWN,28605.0,3xtNRxaUY785OdDP78yrpG
19,MOVE_UP,27448.0,3hdXIz9eY9u5QoEUkBs5yN
20,NEW_ENTRY,27400.0,4ofvoCdXq99vpMZO4Cfp8x
21,MOVE_DOWN,27304.0,2QD387ZxhUxTJQYLe11w9D
22,SAME_POSITION,26485.0,1JvUmKSl9Mg6mQnmbjLYyz
23,SAME_POSITION,26368.0,7gPMdD5iUC8i3LsFxr01jw
24,MOVE_DOWN,26293.0,1j4kHkkpqZRBwE0A4CN4Yv
25,MOVE_DOWN,26053.0,7qiZfU4dY1lWllzX7mPBI3
26,MOVE_DOWN,24847.0,2qM7yVNhMjZGVvXhPQ5TFS
27,MOVE_UP,24487.0,3YdPhm1aH5fNpjO2nkZCYT
28,MOVE_UP,23632.0,3lPrs1fylHXjPPfSioDXDg
29,MOVE_DOWN,23500.0,5UEnHoDYpsxlfzWLZIc7LD
30,SAME_POSITION,23280.0,6qkXhA5mVvG1DLyliRS1Yf
31,MOVE_DOWN,23143.0,7EmGUiUaOSGDnUUQUDrOXC
32,MOVE_DOWN,22958.0,0tKcYR2II1VCQWT79i5NrW
33,MOVE_DOWN,22917.0,23KSyhPMqyUVrrLo300YiW
34,MOVE_DOWN,21377.0,3CPBzUohQI0fVoFFMSZouO
35,MOVE_DOWN,21167.0,5T8Fiq5hPALY1La8BqlYYn
36,MOVE_DOWN,21091.0,0CcQNd8CINkwQfe1RDtGV6
37,MOVE_DOWN,20861.0,1rY4UYyZ3PcuYgWIddkcnL
38,MOVE_DOWN,20687.0,045FwWlfQeVoaCNDvShp7m
39,MOVE_DOWN,19724.0,4iLqG9SeJSnt0cSPICSjxv
40,MOVE_DOWN,19137.0,1BSsv8bVGdxyvW0NPiZy1A
41,SAME_POSITION,19046.0,1eIbAIEu7naoaUglyets9l
42,MOVE_DOWN,18621.0,3SiNhRfBah30npNwyaoS22
43,MOVE_DOWN,18613.0,1KZ2GIHODjEmMoEGUcgZKB
44,MOVE_DOWN,18384.0,43ZyHQITOjhciSUUNPVRHc
45,MOVE_DOWN,18307.0,3SqvR3HYLlCTYzbDXJ52OC
46,MOVE_UP,18280.0,0qyGQFsJG06DkooGyCWD3U
47,MOVE_DOWN,18269.0,12SJpYZEdj4kzWZ8FPFg4Y
48,MOVE_DOWN,18152.0,7ohDUXs6SsU3XjTI9pcKTS
49,MOVE_DOWN,17876.0,4JWAN1SBE6r2PHbXTHzQNx
50,MOVE_DOWN,17631.0,17KyYoAhToJhgiFV2Bt41b
51,MOVE_DOWN,16997.0,6QgjcU0zLnzq5OrUoSZ3OK
52,MOVE_DOWN,16245.0,5m0xKFMim80XzJ1HM0IBwW
53,MOVE_DOWN,16012.0,7ik3XKVDOv0s871jCMyL48
54,SAME_POSITION,15824.0,1anxoJyGm5QOWpPtDkXIfc
55,NEW_ENTRY,15131.0,4KTU5aa5s547f1JF5DImhF
56,MOVE_DOWN,15011.0,0VgkVdmE4gld66l8iyGjgx
57,MOVE_UP,14446.0,3B54sVLJ402zGa6Xm4YGNe
58,MOVE_DOWN,14369.0,0ikRchpmFlaqlzLRgu9qWk
59,MOVE_DOWN,14244.0,7DtXVEkjDpvKEH51FWdH7m
60,MOVE_DOWN,14117.0,5AEtlRudpgdT5FtNiuly6Y
61,MOVE_DOWN,13872.0,3Vo4wInECJQuz9BIBMOu8i
62,MOVE_DOWN,13855.0,2DQ1ITjI0YoLFzuADN1ZBW
