rank,date,region,trend,streams,track_id
1,2020-10-01,Ukraine,SAME_POSITION,13254.0,4EAiPdDayHEaYo3YKgbV7q
2,2020-10-01,Ukraine,SAME_POSITION,12248.0,3MPFuEXwjdrR7yKua2wrUL
3,2020-10-01,Ukraine,SAME_POSITION,8086.0,1GOiMxQXZUzjzH0Sxpck0B
4,2020-10-01,Ukraine,SAME_POSITION,7390.0,4Oun2ylbjFKMPTiaSbbCih
5,2020-10-01,Ukraine,MOVE_UP,7010.0,6t1ODAVbCVRQas6OyaGXQP
6,2020-10-01,Ukraine,MOVE_DOWN,6968.0,0VjIjW4GlUZAMYd2vXMi3b
7,2020-10-01,Ukraine,MOVE_DOWN,6442.0,6PBVlqjvNb26dYZOFKTX51
8,2020-10-01,Ukraine,MOVE_DOWN,6329.0,6qWaZ2KzYhyrv1ILuAcIIv
9,2020-10-01,Ukraine,MOVE_UP,6296.0,7hxHWCCAIIxFLCzvDgnQHX
10,2020-10-01,Ukraine,MOVE_DOWN,6077.0,40XC3Fre6dJ2JzmYKsKhUU
11,2020-10-01,Ukraine,MOVE_DOWN,5986.0,6o92Z50qYohU4Q03xbMneu
12,2020-10-01,Ukraine,MOVE_DOWN,5959.0,6Rt9Ke6dOKwQSDHQsUETfp
13,2020-10-01,Ukraine,MOVE_UP,5902.0,6HlE9t71z9DjGi7KqSyEpA
14,2020-10-01,Ukraine,MOVE_DOWN,5786.0,41bGn6u78I8eNZg86tx3vp
15,2020-10-01,Ukraine,SAME_POSITION,5542.0,5ct1HcejSSMlu6vCyWGNXM
16,2020-10-01,Ukraine,MOVE_UP,5515.0,3tjFYV6RSFtuktYl3ZtYcq
17,2020-10-01,Ukraine,MOVE_DOWN,5415.0,5rsylaCMgQ5q5IjrZBGm8q
18,2020-10-01,Ukraine,SAME_POSITION,5154.0,0t1kP63rueHleOhQkYSXFY
19,2020-10-01,Ukraine,MOVE_UP,5114.0,5weiiB92gNV7QHFYQXqxZ8
20,2020-10-01,Ukraine,MOVE_DOWN,5041.0,2MdloxY70RQRuhtfXIzdWJ
21,2020-10-01,Ukraine,MOVE_DOWN,5031.0,6Y6J8CNHtOuklPhVnvmnm1
22,2020-10-01,Ukraine,MOVE_UP,5007.0,19guFw87TvSkoxnC9EBu2Y
23,2020-10-01,Ukraine,MOVE_DOWN,4890.0,4jVBIpuOiMj1crqd8LoCrJ
24,2020-10-01,Ukraine,MOVE_DOWN,4661.0,1hfISzdAwnywAKxaSpfloo
25,2020-10-01,Ukraine,SAME_POSITION,4560.0,6UelLqGlWMcVH1E5c4H7lY
26,2020-10-01,Ukraine,MOVE_UP,4384.0,5DQxmxUHC1WElkqVLcoA6H
27,2020-10-01,Ukraine,MOVE_UP,4345.0,57rD7XtoxxJm229FITm556
28,2020-10-01,Ukraine,MOVE_DOWN,4338.0,4I7QKKTZQYyjwdGPSjCPBX
29,2020-10-01,Ukraine,MOVE_DOWN,4318.0,5m5rShfBQk4UpG7vpsEKzf
30,2020-10-01,Ukraine,MOVE_UP,4253.0,2ZRn8hzxf8sn80SXrrrFn4
31,2020-10-01,Ukraine,MOVE_DOWN,4222.0,7tWk3baLgsQsXpvqbh6CGS
32,2020-10-01,Ukraine,MOVE_UP,4218.0,46Bsw17bgxlaSxZCe0hS3a
33,2020-10-01,Ukraine,MOVE_UP,4117.0,5NqY9YoBoAPpNlVUgurcNW
34,2020-10-01,Ukraine,SAME_POSITION,4111.0,3UQSF4LRAqmoJmjXnuOle2
35,2020-10-01,Ukraine,MOVE_UP,4059.0,4HBPM8Js4NgEdd5oWRoLQW
36,2020-10-01,Ukraine,MOVE_UP,4023.0,4CNCKuEyLYrS3zCUMphITh
37,2020-10-01,Ukraine,MOVE_UP,3881.0,7iUh1Z9FGlCtg1rXTC10IV
38,2020-10-01,Ukraine,MOVE_UP,3856.0,3mj1T05zpwgUZF7X3Ans1L
39,2020-10-01,Ukraine,NEW_ENTRY,3831.0,5wUbTgZa5r8PfUqRmqAtI4
