rank,date,region,trend,streams,track_id
1,2020-07-01,United Arab Emirates,SAME_POSITION,7062.0,7ytR5pFWmSjzHJIeQkgog4
2,2020-07-01,United Arab Emirates,SAME_POSITION,5422.0,3vAn0qZzdyuHamcrpkfiX3
3,2020-07-01,United Arab Emirates,SAME_POSITION,5279.0,466cKvZn1j45IpxDdYZqdA
4,2020-07-01,United Arab Emirates,SAME_POSITION,4849.0,5RqR4ZCCKJDcBLIn4sih9l
5,2020-07-01,United Arab Emirates,SAME_POSITION,4821.0,1xQ6trAsedVPCdbtDAmk0c
6,2020-07-01,United Arab Emirates,MOVE_UP,4731.0,0nbXyq5TXYPCO7pr3N8S4I
7,2020-07-01,United Arab Emirates,MOVE_DOWN,4722.0,22LAwLoDA5b4AaGSkg6bKW
8,2020-07-01,United Arab Emirates,SAME_POSITION,4560.0,0VjIjW4GlUZAMYd2vXMi3b
9,2020-07-01,United Arab Emirates,SAME_POSITION,4523.0,6gBFPUFcJLzWGx4lenP6h2
10,2020-07-01,United Arab Emirates,MOVE_UP,4306.0,5iz2mZPb0FiXOG9X1TTfRW
11,2020-07-01,United Arab Emirates,MOVE_DOWN,4171.0,39Yp9wwQiSRIDOvrVg7mbk
12,2020-07-01,United Arab Emirates,SAME_POSITION,4118.0,7eJMfftS33KTjuF7lTsMCx
13,2020-07-01,United Arab Emirates,MOVE_DOWN,3907.0,24Yi9hE78yPEbZ4kxyoXAI
14,2020-07-01,United Arab Emirates,SAME_POSITION,3832.0,6UelLqGlWMcVH1E5c4H7lY
15,2020-07-01,United Arab Emirates,MOVE_UP,3554.0,2rRJrJEo19S2J82BDsQ3F7
16,2020-07-01,United Arab Emirates,SAME_POSITION,3507.0,3eekarcy7kvN4yt5ZFzltW
17,2020-07-01,United Arab Emirates,SAME_POSITION,3505.0,2xLMifQCjDGFmkHkpNLD9h
18,2020-07-01,United Arab Emirates,MOVE_UP,3499.0,4NhDYoQTYCdWHTvlbGVgwo
19,2020-07-01,United Arab Emirates,MOVE_DOWN,3494.0,3PfIrDoz19wz7qK7tYeu62
20,2020-07-01,United Arab Emirates,MOVE_UP,3412.0,1rgnBhdG2JDFTbYkYRZAku
21,2020-07-01,United Arab Emirates,MOVE_DOWN,3203.0,4umIPjkehX1r7uhmGvXiSV
22,2020-07-01,United Arab Emirates,SAME_POSITION,3188.0,7qEHsqek33rTcFNT9PFqLf
23,2020-07-01,United Arab Emirates,SAME_POSITION,3060.0,7ju97lgwC2rKQ6wwsf9no9
24,2020-07-01,United Arab Emirates,SAME_POSITION,3028.0,4HBZA5flZLE435QTztThqH
25,2020-07-01,United Arab Emirates,SAME_POSITION,2942.0,62aP9fBQKYKxi7PDXwcUAS
26,2020-07-01,United Arab Emirates,SAME_POSITION,2913.0,017PF4Q3l4DBUiWoXk4OWT
27,2020-07-01,United Arab Emirates,MOVE_UP,2865.0,2b8fOow8UzyDFAE27YhOZM
28,2020-07-01,United Arab Emirates,MOVE_DOWN,2742.0,4nK5YrxbMGZstTLbvj6Gxw
