rank,trend,streams,track_id
1,MOVE_UP,11717.0,5PjdY0CKGZdEuoNab3yDmX
2,MOVE_DOWN,11546.0,0gplL1WMoJ6iYaPgMCL0gX
3,SAME_POSITION,10482.0,2Xr1dTzJee307rmrkt8c0g
4,SAME_POSITION,9988.0,5Z9KJZvQzH6PFmb8SNkxuk
5,SAME_POSITION,8454.0,02MWAaffLxlfxAUY7c5dvx
6,SAME_POSITION,8047.0,50nfwKoDiSYg8zOCREWAm5
7,SAME_POSITION,7815.0,6Uj1ctrBOjOas8xZXGqKk4
8,MOVE_UP,7787.0,7hU3IHwjX150XLoTVmjD0q
9,MOVE_DOWN,7348.0,3rmo8F54jFF8OgYsqTxm5d
10,MOVE_UP,7250.0,7rglLriMNBPAyuJOMGwi39
11,MOVE_DOWN,7226.0,46HNZY1i7O6jwTA7Slo2PI
12,SAME_POSITION,6514.0,2gpWyfu7eZ01zzncHpxOtA
13,SAME_POSITION,5686.0,4gvrJnKCKIPiacNsWVQwEU
14,SAME_POSITION,5189.0,4btFHqumCO31GksfuBLLv3
15,MOVE_UP,4881.0,0e8nrvls4Qqv5Rfa2UhqmO
16,MOVE_UP,4866.0,3Wrjm47oTz2sjIgck11l5e
17,MOVE_DOWN,4779.0,3DarAbFujv6eYNliUTyqtz
18,MOVE_UP,4729.0,3Vi5XqYrmQgOYBajMWSvCi
19,MOVE_DOWN,4654.0,1SC5rEoYDGUK4NfG82494W
20,SAME_POSITION,4441.0,4ZtFanR9U6ndgddUvNcjcG
21,SAME_POSITION,4178.0,5nujrmhLynf4yMoMtj8AQF
22,MOVE_UP,4096.0,0eu4C55hL6x29mmeAjytzC
23,MOVE_DOWN,3979.0,6I3mqTwhRpn34SLVafSH7G
24,SAME_POSITION,3744.0,6f5ExP43esnvdKPddwKXJH
25,MOVE_UP,3517.0,4iJyoBOLtHqaGxP12qzhQI
26,SAME_POSITION,3480.0,0k1WUmIRnG3xU6fvvDVfRG
27,MOVE_DOWN,3438.0,07MDkzWARZaLEdKxo6yArG
28,MOVE_UP,3369.0,4RVwu0g32PAqgUiJoXsdF8
29,MOVE_UP,3329.0,40iJIUlhi6renaREYGeIDS
30,MOVE_DOWN,3296.0,0VjIjW4GlUZAMYd2vXMi3b
31,MOVE_UP,3201.0,2gQPv5jvVPqU2a9HhMNO1v
32,SAME_POSITION,3198.0,5CZ40GBx1sQ9agT82CLQCT
33,MOVE_DOWN,3151.0,6M3PsepEj5gyJoIi7Xvr7u
34,SAME_POSITION,3021.0,37BZB0z9T8Xu7U3e65qxFy
35,MOVE_UP,2987.0,15HMh4yxdf4wyxSZSlOgGZ
36,MOVE_UP,2924.0,0k4d5YPDr1r7FX77VdqWez
37,MOVE_UP,2897.0,6IPNp9PfaEqrzotY47TIWy
38,MOVE_DOWN,2862.0,6Dy1jexKYriXAVG6evyUTJ
39,MOVE_DOWN,2857.0,3uUuGVFu1V7jTQL60S1r8z
40,MOVE_DOWN,2789.0,2B4GHvToeLTOBB4QLzW3Ni
41,MOVE_DOWN,2758.0,4SqWKzw0CbA05TGszDgMlc
42,SAME_POSITION,2628.0,2QjOHCTQ1Jl3zawyYOpxh6
43,MOVE_DOWN,2617.0,2bgTY4UwhfBYhGT4HUYStN
44,MOVE_UP,2571.0,7uQZVznj0uQOGC9KhV2Mg6
45,MOVE_DOWN,2485.0,1058fW9H3fZA6QjYCdOBad
46,MOVE_UP,2440.0,1EYeZGTMCjV7uVey5fNWXM
47,SAME_POSITION,2400.0,5wANPM4fQCJwkGd4rN57mH
48,MOVE_DOWN,2380.0,6E90gq0KO6FYZVOXx8kCcC
49,MOVE_DOWN,2371.0,0W6I02J9xcqK8MtSeosEXb
50,MOVE_UP,2367.0,1is8gU4RVcN4J8xItxWoOY
51,MOVE_UP,2366.0,37y7iDayfwm3WXn5BiAoRk
52,MOVE_DOWN,2349.0,7qEHsqek33rTcFNT9PFqLf
53,MOVE_DOWN,2320.0,6UelLqGlWMcVH1E5c4H7lY
54,MOVE_UP,2320.0,1dIWPXMX4kRHj6Dt2DStUQ
55,MOVE_UP,2314.0,34YfLWuoxLEcvJQNxdI9P2
56,SAME_POSITION,2307.0,0bI7K9Becu2dtXK1Q3cZNB
57,SAME_POSITION,2284.0,4XvcHTUfIlWfyJTRG0aqlo
58,MOVE_DOWN,2249.0,32BeYxKPrig1LefHsC0Xuo
