rank,date,region,trend,streams,track_id
1,2019-11-01,United Kingdom,SAME_POSITION,654259.0,1rgnBhdG2JDFTbYkYRZAku
2,2019-11-01,United Kingdom,SAME_POSITION,383548.0,2tnVG71enUj33Ic2nFN6kZ
3,2019-11-01,United Kingdom,NEW_ENTRY,348608.0,6WrI0LAC5M1Rw2MnX2ZvEg
4,2019-11-01,United Kingdom,MOVE_DOWN,333488.0,21jGcNKet2qwijlDFuPiPb
5,2019-11-01,United Kingdom,MOVE_UP,297429.0,4vUmTMuQqjdnvlZmAH61Qk
6,2019-11-01,United Kingdom,MOVE_DOWN,289834.0,2QpGZOhTCHHiKmpSO9FW4h
7,2019-11-01,United Kingdom,SAME_POSITION,278999.0,7qEHsqek33rTcFNT9PFqLf
8,2019-11-01,United Kingdom,MOVE_DOWN,276859.0,1HfMVBKM75vxSfsQ5VefZ5
9,2019-11-01,United Kingdom,MOVE_DOWN,266952.0,3eekarcy7kvN4yt5ZFzltW
10,2019-11-01,United Kingdom,SAME_POSITION,246987.0,584UC3Qpm8SbYd7aRWKREu
11,2019-11-01,United Kingdom,MOVE_UP,245953.0,6y1UtRcHQU07aUs3oxZ8Yn
12,2019-11-01,United Kingdom,MOVE_DOWN,242123.0,2plLJpUcYPFrl1sW2pMG63
13,2019-11-01,United Kingdom,MOVE_DOWN,239053.0,2b8fOow8UzyDFAE27YhOZM
14,2019-11-01,United Kingdom,MOVE_UP,236184.0,0qaWEvPkts34WF68r8Dzx9
15,2019-11-01,United Kingdom,MOVE_DOWN,232585.0,1xPpYbCaJWonL7IFXPDjON
16,2019-11-01,United Kingdom,MOVE_DOWN,226747.0,3IWs9dAwTqN0EFhOIcBDfs
17,2019-11-01,United Kingdom,MOVE_DOWN,225162.0,7b4ky1LlQLFhXHmhZkFgqV
18,2019-11-01,United Kingdom,MOVE_DOWN,222227.0,4Ta3PhWmY50ZLU1uhKFKPE
19,2019-11-01,United Kingdom,MOVE_UP,221376.0,7CHi4DtfK4heMlQaudCuHK
20,2019-11-01,United Kingdom,MOVE_DOWN,218383.0,7aiClxsDWFRQ0Kzk5KI5ku
21,2019-11-01,United Kingdom,MOVE_UP,217281.0,6oJ6le65B3SEqPwMRNXWjY
22,2019-11-01,United Kingdom,MOVE_DOWN,212846.0,23GvTfcGK454ppLsts3W44
23,2019-11-01,United Kingdom,MOVE_DOWN,209088.0,5wfyoR8XOkw45QRtFOoxyi
24,2019-11-01,United Kingdom,SAME_POSITION,208660.0,1tNJrcVe6gwLEiZCtprs1u
25,2019-11-01,United Kingdom,MOVE_UP,194434.0,4Of7rzpRpV1mWRbhp5rAqG
26,2019-11-01,United Kingdom,NEW_ENTRY,189990.0,3GDPQVjCQj1WyJGJhAj53E
27,2019-11-01,United Kingdom,MOVE_UP,186531.0,36orMWv2PgvnzXsd5CJ0yL
28,2019-11-01,United Kingdom,MOVE_UP,182998.0,70eFcWOvlMObDhURTqT4Fv
29,2019-11-01,United Kingdom,MOVE_DOWN,182076.0,07Oz5StQ7GRoygNLaXs2pd
30,2019-11-01,United Kingdom,MOVE_DOWN,179844.0,6b2RcmUt1g9N9mQ3CbjX2Y
