rank,trend,streams,track_id
1,SAME_POSITION,1603532.0,5CtI0qwDJkDQGwXD1H1cLb
2,SAME_POSITION,1425468.0,2eMwDehkIC1j68U6FA3Eiq
3,MOVE_UP,1360966.0,1OAh8uOEOvTDqkKFsKksCi
4,MOVE_DOWN,1351254.0,3DXncPQOG4VBw3QHh3S817
5,SAME_POSITION,1275449.0,7KXjTSCq5nL1LoYtL7XAwS
6,SAME_POSITION,1121322.0,1F2HXIJrE2Xn81OzT2zZvW
7,SAME_POSITION,1038488.0,3a1lNhkSLSkpJE4MSHpDu9
8,MOVE_UP,967449.0,7tr2za8SQg2CI8EDgrdtNl
9,MOVE_UP,894628.0,5bcTCxgc7xVfSaMV3RuVke
10,SAME_POSITION,861802.0,3kxfsdsCpFgN412fpnW85Y
11,MOVE_DOWN,854914.0,6Na5uKk5SsqZimk0hAWo8y
12,SAME_POSITION,813688.0,152lZdxL1OR0ZMW6KquMif
13,SAME_POSITION,810875.0,3rOSwuTsUlJp0Pu0MkN8r8
14,MOVE_UP,807095.0,0lMbuWUpfTWhEmOKxppEau
15,MOVE_DOWN,797557.0,6HZILIRieu8S0iqY8kIKhj
16,MOVE_DOWN,752944.0,0CcQNd8CINkwQfe1RDtGV6
17,MOVE_UP,729430.0,1e1JKLEDKP7hEQzJfNAgPl
18,SAME_POSITION,721391.0,7mldq42yDuxiUNn08nvzHO
19,MOVE_DOWN,691061.0,3A7qX2QjDlPnazUsRk5y0M
20,MOVE_UP,690255.0,0KKkJNfGyhkQ5aFogxQAPU
21,MOVE_DOWN,690108.0,5tz69p7tJuGPeMGwNTxYuV
22,SAME_POSITION,663558.0,0dA2Mk56wEzDgegdC6R17g
23,MOVE_UP,656122.0,6gBFPUFcJLzWGx4lenP6h2
24,MOVE_DOWN,652770.0,1yxgsra98r3qAtxqiGZPiX
25,MOVE_DOWN,630839.0,6EpRaXYhGOB3fj4V2uDkMJ
26,MOVE_UP,624300.0,6p8NuHm8uCGnn2Dtbtf7zE
27,MOVE_DOWN,611362.0,0tKcYR2II1VCQWT79i5NrW
28,MOVE_UP,604101.0,4iLqG9SeJSnt0cSPICSjxv
