rank,date,region,trend,streams,track_id
1,2018-06-01,Uruguay,SAME_POSITION,16829.0,3V8UKqhEK5zBkBb6d6ub8i
2,2018-06-01,Uruguay,SAME_POSITION,14483.0,2ijef6ni2amuunRoKTlgww
3,2018-06-01,Uruguay,SAME_POSITION,12087.0,6jA8JUuPCGYjFcgw0AoM5T
4,2018-06-01,Uruguay,SAME_POSITION,11419.0,39N9RPD9MRb5WmoLzNzPeA
5,2018-06-01,Uruguay,MOVE_UP,9172.0,0r9d60ZYPAlFHq8qnUtkXN
6,2018-06-01,Uruguay,MOVE_DOWN,9036.0,6U2NuJILEOEpW2tVCuqKHb
7,2018-06-01,Uruguay,SAME_POSITION,8480.0,2RVrdr062uLFxXwIxwdXPH
8,2018-06-01,Uruguay,SAME_POSITION,8469.0,4QtiVmuA88tPQiCOHZuQ5b
9,2018-06-01,Uruguay,SAME_POSITION,8464.0,3uwehoqKSQLa5lFFvIX6M3
10,2018-06-01,Uruguay,SAME_POSITION,8354.0,2alIsNw1mqEShbWyO1HXZZ
11,2018-06-01,Uruguay,MOVE_UP,7325.0,0VKkyBKCXyR99navhVRqcP
12,2018-06-01,Uruguay,MOVE_DOWN,7285.0,2XVilv6s9GETnw9PG4T9Mz
13,2018-06-01,Uruguay,SAME_POSITION,7046.0,7sFYVcKSb24qg0dAkqLEFj
14,2018-06-01,Uruguay,MOVE_UP,6832.0,5Y9fnynLlIvqtM710MHzfz
15,2018-06-01,Uruguay,MOVE_DOWN,6804.0,6VrBWh90BiwWmwKtvwWFcq
16,2018-06-01,Uruguay,MOVE_DOWN,6750.0,0SaYeGhSXN0dDWstyNTQ56
17,2018-06-01,Uruguay,MOVE_UP,6394.0,2yBWnRKj0Zx7AF1kufajvW
18,2018-06-01,Uruguay,MOVE_UP,6219.0,6752EZMgXswvRBH3N2PilO
19,2018-06-01,Uruguay,MOVE_DOWN,6068.0,31M5m42C3EGlbydf9XB5to
20,2018-06-01,Uruguay,SAME_POSITION,5869.0,3TnhQSRwT3AVMdXw5JPq0x
21,2018-06-01,Uruguay,SAME_POSITION,5755.0,1j6xOGusnyXq3l6IryKF3G
22,2018-06-01,Uruguay,SAME_POSITION,5268.0,2p1AlnJxp15v7ohNuLwjbl
23,2018-06-01,Uruguay,MOVE_UP,4984.0,6Za3190Sbw39BBC77WSS1C
24,2018-06-01,Uruguay,SAME_POSITION,4890.0,2fxJDRmUMatqyZ6ZOQi7RD
25,2018-06-01,Uruguay,MOVE_UP,4685.0,2EzRdhuoPyNJDlep7lnNf2
26,2018-06-01,Uruguay,MOVE_DOWN,4617.0,3IPJg1sdqLj12kFIndaonN
27,2018-06-01,Uruguay,SAME_POSITION,4504.0,3ITvHA9zhZZdBJsOsAUegF
28,2018-06-01,Uruguay,SAME_POSITION,4423.0,2CRbiMK0W14l71SpDKqKZM
29,2018-06-01,Uruguay,MOVE_UP,4348.0,1FMNuRMIcPD6PDQGoi5Ifn
30,2018-06-01,Uruguay,SAME_POSITION,4324.0,3Ga6eKrUFf12ouh9Yw3v2D
31,2018-06-01,Uruguay,NEW_ENTRY,4323.0,5eBAi26nr0KPcO3ko2hvLN
32,2018-06-01,Uruguay,MOVE_DOWN,4299.0,5hcisvFMidkMJlElTO9Qmw
33,2018-06-01,Uruguay,MOVE_DOWN,4284.0,3xcCix7Jv1Rp90YVmgo35D
34,2018-06-01,Uruguay,MOVE_DOWN,4026.0,58q2HKrzhC3ozto2nDdN4z
35,2018-06-01,Uruguay,MOVE_UP,3993.0,5qFeMRz4TvetPmzjre9Dq7
