rank,trend,streams,track_id
1,SAME_POSITION,15271.0,1mohfLaTJtB2RplHLQVM70
2,SAME_POSITION,12604.0,3ZG8N7aWw2meb6UrI5ZmnZ
3,SAME_POSITION,11291.0,06s3QtMJVXw1AJX3UfvZG1
4,SAME_POSITION,10860.0,4TOmcZvw0gHa7GiXRbcYAW
5,SAME_POSITION,10456.0,3gD4J3RUHy4OUuZ3qAiaiG
6,SAME_POSITION,9847.0,50ZC4PM7hywH27RcCfViau
7,SAME_POSITION,9289.0,0jT8Nl0shPS8115is0wD2Q
8,SAME_POSITION,8961.0,7MCFjPDImfjQv7GynHgVrR
9,SAME_POSITION,8765.0,6Hw21Z5CmEV78jrncFpMwz
10,SAME_POSITION,8206.0,380HmhwTE2NJgawn1NwkXi
11,SAME_POSITION,7494.0,0OTtnwUO8natNWSwdZvXVF
12,MOVE_UP,7449.0,4HYDUMY0xSpeBr0AMY9cUz
13,MOVE_DOWN,7302.0,0SqqAgdovOE24BzxIClpjw
14,MOVE_DOWN,7254.0,7na7Bk98usp84FaOJFPv3d
15,MOVE_DOWN,7250.0,2DEZmgHKAvm41k4J3R2E9Y
16,SAME_POSITION,6537.0,0pgj4EzB1XRqgZemoMNG5D
17,SAME_POSITION,6472.0,2lCkncy6bIB0LTMT7kvrD1
18,MOVE_UP,6174.0,74j34STf8L6uADnTN69ohv
19,MOVE_UP,5979.0,5379uuUPHodsdVhy8pIAAr
20,MOVE_DOWN,5948.0,56Ta1O7Jxxpjnc6cWdDKUo
21,MOVE_DOWN,5878.0,3JHpk0DOTOzyh0777JFAky
22,MOVE_DOWN,5878.0,7k4t7uLgtOxPwTpFmtJNTY
23,SAME_POSITION,5667.0,0VjIjW4GlUZAMYd2vXMi3b
24,MOVE_UP,5507.0,35KmOEIUqAGn02t7n4qaIr
25,MOVE_UP,5507.0,6yVkakCN460KOVol9ZazjH
26,MOVE_UP,5455.0,2tFwfmceQa1Y6nRPhYbEtC
27,MOVE_DOWN,5425.0,5EbtodsuLbxrFDH6j5avVS
28,SAME_POSITION,5261.0,5stPVcRqb4qixbafP9e8lt
29,SAME_POSITION,5039.0,6zEgnpM0qYmHLDnh8WPejL
30,MOVE_UP,4957.0,7lUdbnz7wsv3C9zzf4WHl9
31,MOVE_DOWN,4876.0,34LI7rwi9H8w2S5KTHnv1M
32,MOVE_UP,4687.0,5m3jpKkgkfoMcym1qjToFg
33,MOVE_UP,4579.0,6NfrH0ANGmgBXyxgV2PeXt
34,MOVE_UP,4570.0,6nGM44ZP7vSo0istUW2MOq
35,MOVE_DOWN,4538.0,24Yi9hE78yPEbZ4kxyoXAI
36,MOVE_DOWN,4461.0,7sQKy5vlPQllr0k9IjYJv3
37,MOVE_UP,4460.0,5kbps8unnGH4raN5WduZuq
38,MOVE_DOWN,4454.0,1rgnBhdG2JDFTbYkYRZAku
39,MOVE_DOWN,4426.0,3PfIrDoz19wz7qK7tYeu62
40,MOVE_DOWN,4392.0,6mAN61JH0dzyZpWslS11jy
41,MOVE_UP,4374.0,4h7RYyJA1jVaURg3JO7T2y
42,MOVE_UP,4324.0,38RIEav39FGi86jppxO0du
43,MOVE_DOWN,4315.0,1Ol5LmdNDNpFu1oNwfgkux
44,MOVE_UP,4294.0,6UelLqGlWMcVH1E5c4H7lY
45,MOVE_UP,4292.0,6C1jKbkCUgFws7M0M4oGCB
46,MOVE_DOWN,4255.0,3JXhH0oMikYjoz9qDmpiWr
47,MOVE_DOWN,4251.0,2w8SKQCnT2YQK1qCqKl2uW
48,MOVE_DOWN,4137.0,2tGENA8xef0wABdHvyXwv9
49,MOVE_UP,3939.0,4gQG2Ic7hnJMAcqunk4ERT
50,MOVE_DOWN,3934.0,2w1rq80FIrbxeJy9WYURxw
51,MOVE_UP,3895.0,4w47S36wQGBhGg073q3nt7
52,SAME_POSITION,3804.0,52zq2a71SGs3f1vJuv59ui
53,SAME_POSITION,3692.0,3cg2Y9mIiYNdcPTLKaQgK3
54,MOVE_UP,3619.0,0eeKDrQxjqNl5bX5VCHDcn
55,MOVE_DOWN,3559.0,0hwEhPxCBLKiqeBMZavGAv
56,MOVE_DOWN,3504.0,2J9B63FawlTaPdg4eH5X03
57,MOVE_UP,3456.0,5eEQCfq7MXQr6aHLNRUZLs
58,SAME_POSITION,3302.0,2hDe0Ls5mVqs1XJqv7sbcM
59,MOVE_UP,3274.0,4VgYtXCVJ7IbWAZ5ryfvEQ
60,MOVE_DOWN,3235.0,7eJMfftS33KTjuF7lTsMCx
61,MOVE_DOWN,3225.0,6fNJm8sYmCBbmkKpKgTReA
62,SAME_POSITION,3218.0,4GGwM2Krtlx9G9ii1RaEOx
63,MOVE_UP,3199.0,6AzKhCHOms83jvNVLsz0Bt
64,MOVE_DOWN,3163.0,4s45VgkknMFkdiGoUcjxQU
65,MOVE_UP,3117.0,4SJHHpKhcuXwDsCsPqshXj
66,SAME_POSITION,3091.0,5cBrOhKDyiJF9bPGUHKkG0
67,MOVE_UP,3036.0,5bmSver2b3ZXyuyLKtgnFI
68,MOVE_DOWN,3006.0,5vPtzdjJ9tm7XCoKDH22Gb
69,MOVE_UP,2938.0,16DNJ8y6k97DxuMyV49W7V
70,MOVE_DOWN,2912.0,7BEPdOI0neT6p7PnLViqmH
71,MOVE_UP,2905.0,0qPbQWcqNDVrReSSvMoJxk
72,MOVE_DOWN,2884.0,3VCo2tJEa1a8GDCvSIqwP0
73,MOVE_DOWN,2883.0,3DjInVTE03icrWsq2UZV9n
74,MOVE_DOWN,2881.0,3vAn0qZzdyuHamcrpkfiX3
75,SAME_POSITION,2844.0,7ju97lgwC2rKQ6wwsf9no9
76,SAME_POSITION,2789.0,017PF4Q3l4DBUiWoXk4OWT
77,MOVE_UP,2788.0,0KkIkfsLEJbrcIhYsCL7L5
78,MOVE_DOWN,2788.0,113PlnpZbHd3WIqeYjhZWv
79,MOVE_UP,2787.0,6bLvfGI2XeU5DTl8feuNrk
80,MOVE_UP,2719.0,24IgCW19L8lXKyFZwzFtD3
81,MOVE_DOWN,2719.0,4Pu0a2TuHOYtI4CCE3HEXI
82,MOVE_UP,2618.0,5Xhqh4lwJPtMUTsdBztN1a
83,MOVE_UP,2575.0,2ACgvo2Kx4LgWqQ2amvM5C
84,MOVE_DOWN,2561.0,5fxnoiUBJ5DMAQEYb2uFOr
85,MOVE_UP,2507.0,099tjv6oy2opbpCOA3nBwX
86,MOVE_UP,2500.0,3jbT1Y5MoPwEIpZndDDwVq
87,MOVE_DOWN,2491.0,7ytR5pFWmSjzHJIeQkgog4
88,MOVE_UP,2448.0,0FktnzDqjClqU6iqOZVEs2
89,MOVE_UP,2441.0,0A37XY67wSdGqkGjtfW6aV
90,MOVE_UP,2402.0,19VunfeIrl0bx984mJ810c
91,MOVE_UP,2373.0,2hsA9YWuF3C9Gosi4dpjJN
92,MOVE_DOWN,2369.0,3jjujdWJ72nww5eGnfs2E7
93,MOVE_DOWN,2353.0,5Id5B3dxJZhPcV9GzgYZZe
94,MOVE_DOWN,2346.0,1ndyl3wJCFs872XZ3ztPk6
95,MOVE_UP,2334.0,2btKz4s1XrMn5VHe7xZJpi
