rank,date,region,trend,streams,track_id
1,2018-07-01,Vietnam,SAME_POSITION,5003.0,3aW0ds4A4tSQDIp75FqWTo
2,2018-07-01,Vietnam,MOVE_UP,4795.0,7b8YOVV5quZcSKEijDgyWB
3,2018-07-01,Vietnam,MOVE_DOWN,4712.0,7fa9MBXhVfQ8P8Df9OEbD8
4,2018-07-01,Vietnam,SAME_POSITION,4646.0,50NsdT6u77MIFociYnvzsG
5,2018-07-01,Vietnam,SAME_POSITION,3897.0,5s5WpwEoK2V0a1eZq8ES5Y
6,2018-07-01,Vietnam,NEW_ENTRY,3653.0,36ONiya0OANYknz0GgJmwB
7,2018-07-01,Vietnam,SAME_POSITION,3373.0,6XJsQ5nqCu8RUv9pv1iz1x
8,2018-07-01,Vietnam,SAME_POSITION,3245.0,4HlHNLtfxP7Y5z03j3eNOi
9,2018-07-01,Vietnam,MOVE_UP,2861.0,4yYyidLY7wb22VEIL6Hzcj
10,2018-07-01,Vietnam,MOVE_UP,2803.0,2naEVOadudtXHwtZNfjMDM
11,2018-07-01,Vietnam,MOVE_DOWN,2753.0,514rhnksEwHUh6LxXsQ4Y9
12,2018-07-01,Vietnam,MOVE_DOWN,2731.0,6kPJZM97LwdG9QIsT7khp6
13,2018-07-01,Vietnam,MOVE_DOWN,2508.0,249fiLJ8fFXYLL4NNjjgXT
14,2018-07-01,Vietnam,SAME_POSITION,2409.0,3nc420PXjTdBV5TN0gCFkS
15,2018-07-01,Vietnam,SAME_POSITION,2208.0,0kHyKhJMukHEPfeh8s7rdM
16,2018-07-01,Vietnam,SAME_POSITION,2164.0,48XfojJC87VKLlUotYV0Gm
17,2018-07-01,Vietnam,MOVE_UP,2159.0,2me4nvwIdLsSXA5omarKq5
18,2018-07-01,Vietnam,MOVE_DOWN,2121.0,4Is1b37KJY9XVCgzp81FBW
19,2018-07-01,Vietnam,SAME_POSITION,2066.0,1rfofaqEpACxVEHIZBJe6W
20,2018-07-01,Vietnam,MOVE_UP,1937.0,6ksvjB1LSB7splNtvA49xX
21,2018-07-01,Vietnam,MOVE_DOWN,1930.0,1ZEm9cJC05rawV2tptNfTS
22,2018-07-01,Vietnam,MOVE_UP,1866.0,0ZP4bO2ywAv44HiEzzHaq5
23,2018-07-01,Vietnam,SAME_POSITION,1861.0,5SxkdsY1ufZzoq9iXceLw9
24,2018-07-01,Vietnam,MOVE_UP,1859.0,2Vx8E3K5icPZR7OCklWBXX
25,2018-07-01,Vietnam,MOVE_UP,1823.0,3cdPeiCDiGLGngdRdgB01Q
26,2018-07-01,Vietnam,MOVE_DOWN,1778.0,1trFxVLL8WKhYap543e74l
27,2018-07-01,Vietnam,MOVE_UP,1729.0,7qiZfU4dY1lWllzX7mPBI3
28,2018-07-01,Vietnam,SAME_POSITION,1723.0,0mecMCPM6Szdr74FQCkIXo
29,2018-07-01,Vietnam,MOVE_UP,1707.0,5Hba2FufYnxr2mGjeyFv72
30,2018-07-01,Vietnam,MOVE_DOWN,1704.0,3ee8Jmje8o58CHK66QrVC2
31,2018-07-01,Vietnam,MOVE_UP,1696.0,3BPoSr2pO34Aan6alFfVto
32,2018-07-01,Vietnam,SAME_POSITION,1680.0,5yFSF6qQA1rcLsQRnBsZgb
33,2018-07-01,Vietnam,MOVE_DOWN,1656.0,08bNPGLD8AhKpnnERrAc6G
