rank,trend,streams,track_id
1,SAME_POSITION,44338.0,45Mswno1F7FoZkcmQkp7fi
2,SAME_POSITION,39642.0,6PQ88X9TkUIAUIZJHW2upE
3,SAME_POSITION,39396.0,5fFLotKS1286huYIMQHqz7
4,SAME_POSITION,30995.0,2bgTY4UwhfBYhGT4HUYStN
5,SAME_POSITION,29878.0,1xoadYaxtOp9gHDwgmPDuz
6,SAME_POSITION,28483.0,7BoobGhD4x5K96Me0hqC8Q
7,MOVE_UP,27569.0,17iGUekw5nFt5mIRJcUm3R
8,MOVE_DOWN,26367.0,63qZf6349d3ngku9hrzLac
9,SAME_POSITION,24322.0,2CVChktEKBsM6v4IfdFU5k
10,MOVE_UP,23702.0,3DarAbFujv6eYNliUTyqtz
11,MOVE_DOWN,23338.0,0k4d5YPDr1r7FX77VdqWez
12,MOVE_UP,23150.0,0SmQ0UWeiHKQtxUej4Rem6
13,MOVE_DOWN,22557.0,5nD5PVXUkIpv0WcwfNFrgS
14,MOVE_DOWN,21935.0,4saklk6nie3yiGePpBwUoc
15,SAME_POSITION,21577.0,34uOIsoy6ETS2sxOTWBRDF
16,SAME_POSITION,20506.0,6TD5xfffOnYHliuF1wzL6U
17,MOVE_UP,19706.0,4iJyoBOLtHqaGxP12qzhQI
18,MOVE_DOWN,19582.0,6rVaOdWvFaNyVVXda0NPJy
19,MOVE_DOWN,19342.0,5SUXc3Xe4GaWyDo45v6Lea
20,MOVE_DOWN,19106.0,014DA3BdnmD3kI5pBogH7c
21,SAME_POSITION,18815.0,2MJz8BxxMsERULatmBikDH
22,SAME_POSITION,18114.0,27F22WcGDyl4Z2KylVJkXL
23,SAME_POSITION,17635.0,7MAibcTli4IisCtbHKrGMh
24,SAME_POSITION,17336.0,0ClPIeT6MSgfSgQ9ZrJbAq
25,SAME_POSITION,16899.0,2c0QMztYu6PCfFrGLqHXIV
26,SAME_POSITION,16610.0,7wkX67ruxr3x2GFz6vyIX9
27,SAME_POSITION,16472.0,37BZB0z9T8Xu7U3e65qxFy
28,MOVE_UP,15893.0,3VOeGtJwJh2jslvQAFaaEn
29,MOVE_DOWN,15738.0,6IAqflHsPVm4EpYghXauX7
