track_id,song_with_artist
7qiZfU4dY1lWllzX7mPBI3,Shape of You - Ed Sheeran
5uCax9HTNlzGybIStD3vDh,Say You Won't Let Go - James Arthur
0tgVpDi06FyKpA1z0VMD4v,Perfect - Ed Sheeran
6gBFPUFcJLzWGx4lenP6h2,goosebumps - Travis Scott
7m9OqQk4RVRkw9JJdeAw96,Jocelyn Flores - XXXTENTACION
7BKLCZ1jbUBVqRi2FVlTVw,"Closer - The Chainsmokers, Halsey"
0pqnGHJpmpxLKifKRmU6WP,Believer - Imagine Dragons
0u2P5u6lvoDfwTYjAADbn4,lovely (with Khalid) - Billie Eilish
2VxeLyX666F8uXCJ0dZF8B,"Shallow - Lady Gaga, Bradley Cooper"
6RUKPb4LETWmmr3iAEQktW,"Something Just Like This - The Chainsmokers, Coldplay"
3ee8Jmje8o58CHK66QrVC2,SAD! - XXXTENTACION
6fxVffaTuwjgEk5h9QyRjy,Photograph - Ed Sheeran
285pBltuF7vW8TeWk8hdRR,Lucid Dreams - Juice WRLD
2xLMifQCjDGFmkHkpNLD9h,SICKO MODE - Travis Scott
0e7ipj03S05BNilyu5bRzt,rockstar (feat. 21 Savage) - Post Malone
4u7EnebtmKWzUH433cf5Qv,Bohemian Rhapsody - Remastered 2011 - Queen
6ocbgoVGwYJhOv1GgI9NsF,7 rings - Ariana Grande
7qEHsqek33rTcFNT9PFqLf,Someone You Loved - Lewis Capaldi
2Fxmhks0bxGSBdJ92vM42m,bad guy - Billie Eilish
0JP9xo3adEtGSdUEISiszL,Moonlight - XXXTENTACION
3a1lNhkSLSkpJE4MSHpDu9,"Congratulations - Post Malone, Quavo"
1Slwb6dOYkBlWal1PGtnNg,Thinking out Loud - Ed Sheeran
6v3KW9xbzN5yKLt9YKDYA2,"Señorita - Shawn Mendes, Camila Cabello"
3U4isOIWM3VvDubwSI3y7a,All of Me - John Legend
0RiRZpuVRbi7oqRdSMwhQY,"Sunflower - Spider-Man: Into the Spider-Verse - Post Malone, Swae Lee"
21jGcNKet2qwijlDFuPiPb,Circles - Post Malone
2dpaYNEQHiRxtZbfNsse99,"Happier - Marshmello, Bastille"
7dt6x5M1jzdTEt8oCbisTK,Better Now - Post Malone
2gMXnyrvIjhVBUZwvLZDMP,Before You Go - Lewis Capaldi
2iUXsYOEPhVqEBwsqP70rE,Youngblood - 5 Seconds of Summer
1mXVgsBdtIVeCLJnSnmtdV,Too Good At Goodbyes - Sam Smith
6UelLqGlWMcVH1E5c4H7lY,Watermelon Sugar - Harry Styles
1rgnBhdG2JDFTbYkYRZAku,Dance Monkey - Tones And I
2P91MQbaiQOfbiz9VqhqKQ,I Like Me Better - Lauv
1rqqCSm0Qe4I9rUvWncaom,High Hopes - Panic! At The Disco
5qqabIl2vWzo9ApSC317sa,Wonderwall - Remastered - Oasis
7fa9MBXhVfQ8P8Df9OEbD8,Girls Like You (feat. Cardi B) - Maroon 5
7GX5flRQZVHRAGd6B4TmDO,XO Tour Llif3 - Lil Uzi Vert
7KXjTSCq5nL1LoYtL7XAwS,HUMBLE. - Kendrick Lamar
2tnVG71enUj33Ic2nFN6kZ,Ride It - Regard
25sgk305KZfyuqVBQIahim,Sweet but Psycho - Ava Max
43zdsphuZLzwA9k4DJhU0I,when the party's over - Billie Eilish
3jjujdWJ72nww5eGnfs2E7,Adore You - Harry Styles
0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights - The Weeknd
6Hj9jySrnFppAI0sEMCZpJ,Robbery - Juice WRLD
3PfIrDoz19wz7qK7tYeu62,Don't Start Now - Dua Lipa
1rfofaqEpACxVEHIZBJe6W,Havana (feat. Young Thug) - Camila Cabello
2b8fOow8UzyDFAE27YhOZM,Memories - Maroon 5
75ZvA4QfFiZvzhj2xkaWAh,I Fall Apart - Post Malone
2RttW7RAu5nOAfq6YFvApB,Happier - Ed Sheeran
3eekarcy7kvN4yt5ZFzltW,HIGHEST IN THE ROOM - Travis Scott
5vdp5UmvTsnMEMESIF2Ym7,Another One Bites The Dust - Remastered 2011 - Queen
0nbXyq5TXYPCO7pr3N8S4I,The Box - Roddy Ricch
